dataset,source_index,ear,lower_bin,lower_frequency_hz,parallel_phase_rad,octave_increment_rad,theta_deg,ara_x,quadrant
NH2,545,0,9,1687.5,-3.979832756690429,-8.050402252424028,63.69384483023365,0.8863349919844395,--
NH2,545,0,41,7687.5,-33.99120098645204,-39.058283501329,48.967969851692715,1.312961665837587,--
NH2,545,1,24,4500.0,-27.755756671156966,-33.07573325608442,49.99804720111295,1.2856274364598321,--
NH2,546,0,7,1312.5,-2.580286042266637,-5.8078145457951145,66.04546011506416,0.8120233639066784,--
NH2,546,0,39,7312.5,-32.064061729909916,-45.763002542496345,54.98281292262595,1.1476442649443106,--
NH2,546,1,18,3375.0,-19.005322034473576,-21.609166625907438,48.66828221617333,1.3208349028577797,--
NH2,546,1,50,9375.0,-59.85922119894667,-45.45923442241845,37.21433693855904,1.5927572123956275,--
NH2,547,0,33,6187.5,-24.66697356086421,-37.320704018848545,56.53744596435901,1.1027837538369518,--
NH2,547,1,12,2250.0,-11.903835377163606,-16.05665130710281,53.44806538013596,1.191102364716556,--
NH2,547,1,44,8250.0,-58.53465451664764,-54.67541251164503,43.04758805894349,1.4615740063938225,--
NH2,548,0,25,4687.5,-16.01996216796834,-26.502479240242305,58.848283514382935,1.0346120093356317,--
NH2,548,1,3,562.5,3.0125723023654443,-2.156303032130194,35.59387722586435,1.6263259271195187,+-
NH2,548,1,35,6562.5,-36.245548064127725,-48.939728305877956,53.47575813477142,1.190325691263203,--
NH2,549,0,16,3000.0,-9.55985968618793,-13.123233640287491,53.92784859592907,1.1776071290764993,--
NH2,549,0,48,9000.0,-38.44663775888816,-34.20132752079675,41.65562483457268,1.4943063487690544,--
NH2,549,1,27,5062.5,-26.23795914913633,-41.88863686387673,57.938034927949175,1.0616722270510361,--
NH2,550,0,9,1687.5,-3.9086986579418017,-7.88996324650487,63.64612165509511,0.8878280197301527,--
NH2,550,0,41,7687.5,-31.83515925467927,-37.970460120808156,50.02288863321962,1.284963074860285,--
NH2,550,1,20,3750.0,-23.083112954282573,-28.429053234851235,50.92495406759668,1.2606755112742427,--
NH2,550,1,52,9750.0,-71.4600642260748,-50.16919245654272,35.071125509145375,1.636878780508688,--
NH2,551,0,32,6000.0,-23.944475154267703,-30.048592360486158,51.45011418028204,1.2463915909055105,--
NH2,551,1,11,2062.5,-11.047260213577916,-14.672783079058197,53.023605699714054,1.2029718730100587,--
NH2,551,1,43,8062.5,-54.8381184841901,-57.541458369280356,46.37800928149279,1.37979487531517,--
NH2,552,0,27,5062.5,-21.180973163529,-27.85140030874179,52.74703309195106,1.2106704121140837,--
NH2,552,1,8,1500.0,-6.78194765581546,-9.243082060897184,53.73130088613046,1.1831456180395978,--
NH2,552,1,40,7500.0,-47.255695199087484,-52.62808130242949,48.078765550746255,1.3362167193747487,--
NH2,553,0,22,4125.0,-23.795871506839084,-21.448260448308396,42.029721180141195,1.4855952514990147,--
NH2,553,1,5,937.5,-1.429461600324785,-3.586082899684535,68.26709900779342,0.7405604653529991,--
NH2,553,1,37,6937.5,-33.22819414732699,-34.800793103614936,46.32424782628334,1.3811527726718078,--
NH2,554,0,18,3375.0,-13.323045888496507,-15.242749424020202,48.84466020500585,1.3162055540368114,--
NH2,554,0,50,9375.0,-39.52448165512447,-49.379087872707636,51.32518753465913,1.249799029004748,--
NH2,554,1,30,5625.0,-22.148617659900587,-26.307182132021943,49.9052081875126,1.2881081914591683,--
NH2,555,0,13,2437.5,-6.3209526912913745,-17.628217210503934,70.2736812045877,0.6750553739903852,--
NH2,555,0,45,8437.5,-53.05626788064127,-53.693794727259075,45.34217463188043,1.405742605251106,--
NH2,555,1,24,4500.0,-16.702925949201465,-21.584293865586048,52.26563646966757,1.2240029436479287,--
NH2,556,0,3,562.5,-0.1451581619681156,-2.1257874008786746,86.0936547886976,0.1362515572455112,--
NH2,556,0,35,6562.5,-26.416000572921774,-32.921930648282014,51.25703163134007,1.2516555121098067,--
NH2,556,1,13,2437.5,-7.473778555764547,-17.88579717181036,67.3218483534211,0.7711084535797295,--
NH2,556,1,45,8437.5,-48.7783352269798,-61.67734498862128,51.660828946216604,1.2406308203097167,--
NH2,557,0,28,5250.0,-26.85746278781406,-36.34596654622635,53.53784869596275,1.1885832834730623,--
NH2,557,1,13,2437.5,-7.00358651601016,-11.839019770817451,59.392794555603565,1.0182993150958102,--
NH2,557,1,45,8437.5,-35.15188407407273,-35.13334874989673,44.98489019983427,1.4145864635998515,--
NH2,558,0,23,4312.5,-19.289948108797937,-25.718286305065654,53.1283438334606,1.2000491065965522,--
NH2,558,1,2,375.0,0.6998190957263687,-1.5710941064265351,65.99017213975593,0.8137866723830735,+-
NH2,558,1,34,6375.0,-26.167549351048468,-33.90137187537161,52.336423510459,1.2220478555912628,--
