split,run,period,field_G,partition,detector_count,detector_first_one_based,detector_last_one_based,basis_condition,calibration_improvement,wrong_frequency_improvement_median,basic_eligible,ring_frequency_specific_eligible
development,EMU00070013,RF off,230.0,F_inner,16,1,46,1.7642298941441463,0.04860394948385131,0.01706702942524141,1,1
development,EMU00070013,RF off,230.0,F_middle,16,2,47,1.7460374350151362,0.033423785067481636,0.014861763582750534,1,1
development,EMU00070013,RF off,230.0,F_outer,16,3,48,1.9637515773030252,0.025658951572662726,0.01668448204118072,1,1
development,EMU00070013,RF off,230.0,B_inner,16,49,94,2.7509663902053,0.044587448235904104,0.021268162663841718,1,1
development,EMU00070013,RF off,230.0,B_middle,16,50,95,1.9690467647860943,0.02813924332405754,0.015129802098488713,1,1
development,EMU00070013,RF off,230.0,B_outer,16,51,96,1.1653380816962582,0.025273719672726208,0.01525495425218974,1,1
development,EMU00070019,RF on,266.0,F,48,1,48,1.4207067477436892,0.034657319311984035,0.016305922412303477,1,1
development,EMU00070019,RF on,266.0,B,48,49,96,1.1730188023354664,0.02642166038240596,0.015876393407077534,1,1
development,EMU00070019,RF on,266.0,F_inner,16,1,46,1.3209517279377745,0.04575861134860999,0.014762433804481386,1,1
development,EMU00070019,RF on,266.0,F_middle,16,2,47,2.4867993948036196,0.039127387433907486,0.015007899615736028,1,1
development,EMU00070019,RF on,266.0,F_outer,16,3,48,1.5371812142047678,0.023410025872913527,0.016612169216829634,1,1
development,EMU00070019,RF on,266.0,B_inner,16,49,94,1.0849450190167136,0.041738909350412544,0.01713920861142413,1,1
development,EMU00070019,RF on,266.0,B_middle,16,50,95,1.406253251780023,0.03259655418391951,0.016741811564075743,1,1
development,EMU00070019,RF on,266.0,B_outer,16,51,96,1.2958919454335092,0.01267806970785326,0.01715340431521259,1,0
development,EMU00070019,RF off,266.0,F,48,1,48,1.2526032796175726,0.0377817326861803,0.01758268041421635,1,1
development,EMU00070019,RF off,266.0,B,48,49,96,1.3020273220717107,0.022548974483740096,0.01777212392280951,1,1
development,EMU00070019,RF off,266.0,F_inner,16,1,46,1.3405062280602993,0.053044933163960695,0.016363568299804416,1,1
development,EMU00070019,RF off,266.0,F_middle,16,2,47,1.4710509152604476,0.03838693790816195,0.01991684546768041,1,1
development,EMU00070019,RF off,266.0,F_outer,16,3,48,1.252702125850848,0.02693695502179087,0.015452327183979202,1,1
development,EMU00070019,RF off,266.0,B_inner,16,49,94,1.8217039807042459,0.03212743829284348,0.014393310127609919,1,1
development,EMU00070019,RF off,266.0,B_middle,16,50,95,1.5141592667842383,0.02594295404591355,0.016502463588622354,1,1
development,EMU00070019,RF off,266.0,B_outer,16,51,96,2.2568568164642056,0.015283059406142356,0.0217085004735999,1,0
development,EMU00070025,RF on,302.0,F,48,1,48,1.669469754287581,0.027945980915739875,0.018651059611118712,1,1
development,EMU00070025,RF on,302.0,B,48,49,96,1.5956365346512458,0.03247464475484549,0.01616690911721739,1,1
development,EMU00070025,RF on,302.0,F_inner,16,1,46,1.5862641341229327,0.04140188768584857,0.020292729077966525,1,1
development,EMU00070025,RF on,302.0,F_middle,16,2,47,2.073166953558745,0.03424121392615883,0.018127540511417052,1,1
development,EMU00070025,RF on,302.0,F_outer,16,3,48,2.3111773988446407,0.010585941941571241,0.01452576001057974,1,0
development,EMU00070025,RF on,302.0,B_inner,16,49,94,1.3318148338310074,0.052869336330152374,0.017028113129009467,1,1
development,EMU00070025,RF on,302.0,B_middle,16,50,95,1.9048521806848469,0.031522582768574024,0.013869748861248643,1,1
development,EMU00070025,RF on,302.0,B_outer,16,51,96,2.2285961965335948,0.021116819313191832,0.017200216439613197,1,1
development,EMU00070025,RF off,302.0,F,48,1,48,1.6130915614676171,0.02922650570802354,0.014918614310439693,1,1
development,EMU00070025,RF off,302.0,B,48,49,96,1.4975286597665296,0.032205176166631704,0.016583922141795552,1,1
development,EMU00070025,RF off,302.0,F_inner,16,1,46,1.684240211656458,0.034814197874145116,0.01600395789722935,1,1
development,EMU00070025,RF off,302.0,F_middle,16,2,47,1.7094093200215708,0.03258616575763212,0.013647427813263596,1,1
development,EMU00070025,RF off,302.0,F_outer,16,3,48,1.5558814011739879,0.0237934664685998,0.016213513938715986,1,1
development,EMU00070025,RF off,302.0,B_inner,16,49,94,1.4858568044171083,0.03516225458544805,0.01852031906694747,1,1
development,EMU00070025,RF off,302.0,B_middle,16,50,95,2.0177765392107623,0.041177116628536486,0.013887715540968352,1,1
development,EMU00070025,RF off,302.0,B_outer,16,51,96,1.6968677594386936,0.023878835989257996,0.014054668656934131,1,1
development,EMU00070031,RF on,338.0,F,48,1,48,1.4501790866190347,0.023361130898041392,0.017426053108496455,1,1
development,EMU00070031,RF on,338.0,B,48,49,96,1.7984889180535446,0.021209108968615033,0.01599831374372955,1,1
development,EMU00070031,RF on,338.0,F_inner,16,1,46,2.8720616554389427,0.03577831369138541,0.017223528831856967,1,1
development,EMU00070031,RF on,338.0,F_middle,16,2,47,1.3093690951211023,0.02115193050355177,0.017780462280935154,1,1
development,EMU00070031,RF on,338.0,F_outer,16,3,48,1.2571065078608825,0.01745408961420627,0.01878520641884846,1,0
development,EMU00070031,RF on,338.0,B_inner,16,49,94,1.9967901001310877,0.0299808428450915,0.015492263949555286,1,1
development,EMU00070031,RF on,338.0,B_middle,16,50,95,4.549150760359792,0.02440965466508937,0.022033935505653923,1,1
development,EMU00070031,RF on,338.0,B_outer,16,51,96,4.3958755459436345,0.012409756238588062,0.012031121268227307,1,1
development,EMU00070031,RF off,338.0,F,48,1,48,1.548239200556575,0.02051064345544676,0.01726262893146198,1,1
development,EMU00070031,RF off,338.0,B,48,49,96,1.690729623477317,0.030940626359380528,0.016519077308960777,1,1
development,EMU00070031,RF off,338.0,F_inner,16,1,46,4.026565428898018,0.017256706958292928,0.022918416264785163,1,0
development,EMU00070031,RF off,338.0,F_middle,16,2,47,2.623099562831196,0.019955498880076795,0.018644656236862758,1,1
development,EMU00070031,RF off,338.0,F_outer,16,3,48,2.4767682503002666,0.02442361850010812,0.012218578184333424,1,1
development,EMU00070031,RF off,338.0,B_inner,16,49,94,1.688201452671923,0.03702450922399716,0.016238516113909515,1,1
development,EMU00070031,RF off,338.0,B_middle,16,50,95,4.902428659715625,0.028311121946054136,0.01237802528116587,1,1
development,EMU00070031,RF off,338.0,B_outer,16,51,96,1.282056748456474,0.025265406852508495,0.017652097281342552,1,1
development,EMU00070037,RF on,374.0,F,48,1,48,1.487449162976301,0.02061748648575888,0.017765337553578595,1,1
development,EMU00070037,RF on,374.0,B,48,49,96,1.2247387606936968,0.033093334958340305,0.018698182839351377,1,1
development,EMU00070037,RF on,374.0,F_inner,16,1,46,3.1254850423193155,0.02780907636600457,0.019418417089213928,1,1
development,EMU00070037,RF on,374.0,F_middle,16,2,47,1.2643447024684173,0.02308378573490903,0.017061227088129297,1,1
development,EMU00070037,RF on,374.0,F_outer,16,3,48,5.265516867630286,0.01372600791305354,0.01920094299056181,1,0
development,EMU00070037,RF on,374.0,B_inner,16,49,94,1.340720573896011,0.03321828123795664,0.017112477182528396,1,1
development,EMU00070037,RF on,374.0,B_middle,16,50,95,1.473865566932313,0.034570228182469416,0.022361116021349603,1,1
development,EMU00070037,RF on,374.0,B_outer,16,51,96,1.7713595267040558,0.03209361033389647,0.017453988746057955,1,1
development,EMU00070037,RF off,374.0,F,48,1,48,1.4413432776802109,0.027757655675041654,0.014672344967917006,1,1
development,EMU00070037,RF off,374.0,B,48,49,96,1.3262335854337848,0.026989912180779917,0.016012913987009627,1,1
development,EMU00070037,RF off,374.0,F_inner,16,1,46,1.6671255074566695,0.03301171727282476,0.019291186275980317,1,1
development,EMU00070037,RF off,374.0,F_middle,16,2,47,1.6031956766458024,0.032044297316836924,0.012206818479963934,1,1
development,EMU00070037,RF off,374.0,F_outer,16,3,48,1.5540141711638225,0.019079039942556143,0.011703096019485392,1,1
development,EMU00070037,RF off,374.0,B_inner,16,49,94,1.9410362762206206,0.03001849778956087,0.014949240495447602,1,1
development,EMU00070037,RF off,374.0,B_middle,16,50,95,1.5944078634705947,0.03064223468191588,0.015341088236184974,1,1
development,EMU00070037,RF off,374.0,B_outer,16,51,96,1.28973838996256,0.02206952219471219,0.017301597894442772,1,1
development,EMU00070043,RF on,410.0,F,48,1,48,1.203165114688324,0.02370386897250628,0.017044131129397358,1,1
development,EMU00070043,RF on,410.0,B,48,49,96,1.387054618628586,0.022636497890306553,0.016340546466253575,1,1
development,EMU00070043,RF on,410.0,F_inner,16,1,46,1.4143749289715228,0.036651549048007874,0.020112219276407814,1,1
development,EMU00070043,RF on,410.0,F_middle,16,2,47,1.5766016713454047,0.016096476638797725,0.014807516789425112,1,1
development,EMU00070043,RF on,410.0,F_outer,16,3,48,1.942212218551037,0.02083137654241295,0.014302869459953887,1,1
development,EMU00070043,RF on,410.0,B_inner,16,49,94,1.2567663436149334,0.01729162029913295,0.015432009261036791,1,1
development,EMU00070043,RF on,410.0,B_middle,16,50,95,2.6989528581253848,0.018766068509849604,0.016819004053231723,1,1
development,EMU00070043,RF on,410.0,B_outer,16,51,96,1.0755402281326065,0.03172998067195615,0.015562068947607704,1,1
development,EMU00070043,RF off,410.0,F,48,1,48,2.0047182098219256,0.020839130336106335,0.017989070458352456,1,1
