z_index,y_index,x_index,active_interior,occupancy_cic,relative_field_gradient,particle_first_e_magnitude_N_per_m3,field_first_e_magnitude_N_per_m3,particle_first_b_magnitude_N_per_m3,field_first_b_magnitude_N_per_m3,particle_first_total_magnitude_N_per_m3,field_first_total_magnitude_N_per_m3,total_residual_magnitude_N_per_m3,particle_first_total_x_N_per_m3,particle_first_total_y_N_per_m3,particle_first_total_z_N_per_m3,field_first_total_x_N_per_m3,field_first_total_y_N_per_m3,field_first_total_z_N_per_m3
0,2,26,0,24.974918686789078,4.19842117027672,1370983674813.5928,64907641192.696526,95306509114.7859,14443326538.702726,1330908556583.5713,68615344454.98823,1264199708934.1426,-1205480003148.572,22265522118.530907,563595417406.0264,-63210529227.32959,15176998706.291908,21957987151.531197
0,2,27,0,25.28524677622042,2.542935102869705,2246530135678.289,1121930258894.3916,207484365262.54773,201418838763.84454,2207364342266.2827,1116347962902.6082,1242634095381.0986,-87096215127.04576,265802044751.41275,2189570930987.432,371691617910.53455,81979603688.69946,1049455792318.5216
0,2,28,0,24.8822868165462,5.111742743421037,1918991029380.9634,640655531548.3972,117319646397.48013,51818060940.01505,1896959491296.205,633648364477.236,2105485849359.4724,946020587855.3275,874670787544.5867,1392282791816.6445,-589520879958.0634,21856703260.118805,231295625597.94727
0,2,29,0,24.744169024894532,3.5264208848901015,2672761397266.8555,1533615794364.118,221964262901.2629,117292830965.30232,2837797902479.1655,1590250372001.0771,1495917627153.0066,-1680667463177.189,-1818844125048.1812,1385734412616.7974,-1350828055948.6343,-729035852803.3049,415531628445.96497
0,2,30,0,25.0916210811383,5.1989526507743244,4023215492939.1035,233075095009.3304,104344201796.76636,88074019865.53543,4046034237870.9673,226676092032.0485,4214743511095.6387,-1760918329058.434,-3621607901473.331,391811051906.513,205862568708.00443,88828755275.4281,33348249430.54721
0,2,31,0,25.4771901998337,6.295022753937725,364342290114.6076,688383293874.1356,556421700977.1317,422415272885.93854,699825332223.2645,966943538802.5686,716938637439.5416,200095258693.8758,407812782265.2837,-532359012031.05585,301391704169.0162,917948590231.8882,-38900303101.90146
0,3,0,0,0.0,0.20984120136834525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0,3,1,0,0.0,0.21806252101664353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,2,0,0.0,0.3511622906785551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0,3,3,0,0.0,0.4579134777874781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,4,0,0.0,0.28093982562233355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
