replicate,gain_O,gain_U,gain_V,gain_W
242,0.17396537784507826,-0.004745278155718458,-0.03150392688663506,0.009426530570731617
243,0.013730349103453943,0.00020728685223503351,-0.0042071834191963475,-0.013681486802161746
244,0.08515712600635483,-0.031565255442491225,-0.0231320114161484,-0.005899497412354959
245,0.1374295956570999,-0.009733866757126286,-0.007373064934047546,0.020311547704569666
246,0.16216314740394477,-0.01790594299754278,-0.0262425303410867,0.007391436071719437
247,0.18151460466036617,-0.03540082199460515,-0.036458556739479064,0.017940393310499902
248,0.17845883401333396,-0.015545467165860583,-0.0021584543639925347,0.015028557966753286
249,0.12009360031856064,-0.019727834323363558,-0.021019900637978317,0.00681472805766814
250,0.1210758998123107,-0.016354052703891453,-0.029470622063602514,0.014374557906646324
251,0.181566430600134,-0.027748161717052744,0.006567714742475528,0.0012110802958712474
252,0.21892764409701537,-0.0317406140667138,-0.029847639576182194,0.018953394710095273
253,0.2177257073823835,-0.023655385572702192,-0.023890467938862736,0.00943515137611739
254,0.15647519651767605,-0.01681875858635884,-0.017430720627446217,0.015411425139865487
255,0.10036286275217177,-0.021628478616511515,-0.021369852710148907,0.008166247905901813
256,0.14567385433866764,-0.021056230437109802,0.004925719113142879,0.0023384255996975467
257,0.10167352121264439,-0.01665607306604988,-0.029640830178902622,-0.01192997474283275
258,0.06983121909326506,-0.012540180357470287,0.019740067033973463,-0.01656405711802078
259,0.14990919220938848,-0.006945900246665193,-0.008543282896004367,0.012867978931842883
260,0.10544873244777164,-0.024596268028139967,-0.012341730768683945,0.00936947385993514
261,0.09803978740429775,-0.015263891331412927,-0.01661650700357109,0.007695427549388012
262,0.027439193311515897,-0.003590205503236188,-0.031199990405292866,0.02103400415477652
263,0.021682547560309295,-0.01859529825638284,0.008377743588006692,0.016959854303533972
264,0.08743384135012877,-0.022556361210062326,-0.014846770380694263,0.013194535310062427
265,0.19930747725199238,-0.02216894644486289,-0.010080980923885319,0.0052791946939643175
266,0.10238850356815388,-0.013306671159112993,-0.022202083494812452,0.011090891383502721
267,0.1472125046176257,-0.02749619603191311,-0.024746190475086527,0.016966780270624038
268,0.1472419630222127,-0.0011934512607898462,0.00188787234804777,0.023118814755464623
269,0.17906782039142888,-0.019562995930257676,-0.01004597224523307,0.016292871502085027
270,0.11408527622234188,-0.008051470148818352,-0.007881842520292892,-0.0033459188907118964
271,0.1748309246720403,-0.014861351091488784,-0.005659108601969276,-0.017379535042100436
272,0.1707524915135411,-0.01661765824943595,-0.019851037175055763,0.007793347629949765
273,0.07568521048044319,-0.011907445859019594,0.006413509193637812,-0.0038023490655096914
274,0.22866052817488514,-0.012163814806404494,-0.028391217813718228,0.010502229752054615
275,0.15263461811262202,-0.013063170293569959,-0.017364910486000307,0.00595140086546686
276,0.2101908715352825,-0.027197552557992832,-0.008070271750222124,-0.001229368680959242
277,0.08988398414227305,-0.013587795897804122,-0.015177694103037487,-0.025571793773508045
278,0.17190453711778386,-0.015084805567503912,-0.018228866784579134,0.01640002821201747
279,0.12971679793986457,-9.541243972432945e-05,-0.019431507712077023,0.010619732709392204
280,0.16339424793020696,-0.02534451964466089,-0.004143390342294939,0.0025326807711887334
281,0.043214589718476804,-0.007085022912119321,-0.004814161049370158,0.01950568987728496
282,0.15858094446677207,-0.04263597236836114,-0.025331582475413228,0.03125260543870956
283,0.2687842189234627,-0.023113483083560205,-0.012400902454318796,0.01424009297654849
284,0.22229224940851566,-0.021962282447122394,-0.019513538454819068,0.009480127207787348
285,0.061405885861307685,-0.019883368114784084,-0.0013529932017890545,-0.012632711299353394
286,0.11696517788011207,-0.036015594890697944,-0.01467553234274277,0.01638155714584555
287,0.029245370237430346,-0.014131055610145715,-0.012576228088346797,-0.0017272371845804546
288,0.1623004132787672,-0.029184982206943877,-0.022337259864371184,0.015195171258253426
289,0.1677451279441351,-0.03190138895614569,-0.023280873030413707,0.007253220854302467
290,0.18626325250951747,-0.01712490304700931,-0.02274826787750972,0.011954576351669854
291,0.21488657230133035,-0.006441943146900275,-0.017680244160585445,0.005791890243194153
292,0.14701527046403884,0.00021962787829055141,-0.0028766990927409086,-0.003746934367447663
293,0.062240156203007824,-0.01113448594595523,-0.008032417114832713,-0.009937392185283223
