# tToFail   Slip
   -81.170     0.021
   -81.070     0.019
   -81.070     0.019
   -81.070     0.019
   -81.070     0.019
   -81.070     0.019
   -80.970     0.011
   -80.970     0.011
   -80.970     0.011
   -80.970     0.011
   -80.970     0.011
   -80.870     0.004
   -80.870     0.004
   -80.870     0.004
   -80.870     0.004
   -80.870     0.003
   -80.770     0.002
   -80.770     0.002
   -80.770     0.002
   -80.770     0.002
   -80.770     0.002
   -80.670     0.004
   -80.670     0.004
   -80.670     0.004
   -80.670     0.004
   -80.670     0.004
   -80.570     0.007
   -80.570     0.007
   -80.570     0.007
   -80.570     0.007
   -80.570     0.007
   -80.470     0.015
   -80.470     0.015
   -80.470     0.015
   -80.470     0.015
   -80.470     0.015
   -80.370     0.020
   -80.370     0.020
   -80.370     0.020
   -80.370     0.020
   -80.370     0.021
   -80.270     0.021
   -80.270     0.021
   -80.270     0.021
   -80.270     0.021
   -80.270     0.021
   -80.170     0.022
   -80.170     0.022
   -80.170     0.022
   -80.170     0.022
   -80.170     0.022
   -80.070     0.021
   -80.070     0.021
   -80.070     0.021
   -80.070     0.021
   -80.070     0.021
   -79.970     0.019
   -79.970     0.019
   -79.970     0.019
   -79.970     0.019
   -79.970     0.019
   -79.870     0.017
   -79.870     0.017
   -79.870     0.017
   -79.870     0.017
   -79.870     0.017
   -79.770     0.009
   -79.770     0.009
   -79.770     0.009
   -79.770     0.009
   -79.770     0.009
   -79.670     0.004
   -79.670     0.004
   -79.670     0.004
   -79.670     0.004
   -79.670     0.004
   -79.570     0.002
   -79.570     0.002
   -79.570     0.002
   -79.570     0.002
   -79.570     0.002
   -79.470     0.006
   -79.470     0.006
   -79.470     0.006
   -79.470     0.006
   -79.470     0.006
   -79.370     0.014
   -79.370     0.014
   -79.370     0.014
   -79.370     0.014
   -79.370     0.014
   -79.270     0.020
   -79.270     0.021
   -79.270     0.021
   -79.270     0.021
   -79.270     0.021
   -79.170     0.022
   -79.170     0.022
   -79.170     0.022
   -79.170     0.022
   -79.170     0.022
   -79.070     0.021
   -79.070     0.021
   -79.070     0.021
   -79.070     0.021
   -79.070     0.021
   -78.970     0.017
   -78.970     0.017
   -78.970     0.017
   -78.970     0.017
   -78.970     0.017
   -78.870     0.007
   -78.870     0.007
   -78.870     0.007
   -78.870     0.007
   -78.870     0.007
   -78.770     0.003
   -78.770     0.003
   -78.770     0.003
   -78.770     0.003
   -78.770     0.003
   -78.670     0.003
   -78.670     0.003
   -78.670     0.003
   -78.670     0.003
   -78.670     0.003
   -78.570     0.004
   -78.570     0.004
   -78.570     0.004
   -78.570     0.004
   -78.570     0.004
   -78.470     0.005
   -78.470     0.005
   -78.470     0.005
   -78.470     0.005
   -78.470     0.005
   -78.370     0.008
   -78.370     0.008
   -78.370     0.008
   -78.370     0.008
   -78.370     0.008
   -78.270     0.017
   -78.270     0.017
   -78.270     0.017
   -78.270     0.017
   -78.270     0.017
   -78.170     0.020
   -78.170     0.020
   -78.170     0.020
   -78.170     0.020
   -78.170     0.020
   -78.070     0.021
   -78.070     0.021
   -78.070     0.021
   -78.070     0.021
   -78.070     0.021
   -77.970     0.018
   -77.970     0.018
   -77.970     0.018
   -77.970     0.018
   -77.970     0.018
   -77.870     0.008
   -77.870     0.008
   -77.870     0.008
   -77.870     0.008
   -77.870     0.008
   -77.770     0.004
   -77.770     0.004
   -77.770     0.004
   -77.770     0.004
   -77.770     0.004
   -77.670     0.002
   -77.670     0.002
   -77.670     0.002
   -77.670     0.002
   -77.670     0.002
   -77.570     0.004
   -77.570     0.004
   -77.570     0.004
   -77.570     0.004
   -77.570     0.004
   -77.470     0.009
   -77.470     0.009
   -77.470     0.009
   -77.470     0.009
   -77.470     0.009
   -77.370     0.018
   -77.370     0.018
   -77.370     0.018
   -77.370     0.018
   -77.370     0.018
   -77.270     0.021
   -77.270     0.021
   -77.270     0.021
   -77.270     0.021
   -77.270     0.021
   -77.170     0.022
   -77.170     0.022
   -77.170     0.022
   -77.170     0.022
   -77.170     0.022
   -77.070     0.023
   -77.070     0.023
   -77.070     0.023
   -77.070     0.023
   -77.070     0.023
   -76.970     0.021
   -76.970     0.021
   -76.970     0.021
   -76.970     0.021
   -76.970     0.021
   -76.870     0.017
   -76.870     0.017
   -76.870     0.017
   -76.870     0.017
   -76.870     0.017
   -76.770     0.008
   -76.770     0.008
   -76.770     0.008
   -76.770     0.008
   -76.770     0.008
   -76.670     0.003
   -76.670     0.003
   -76.670     0.003
   -76.670     0.003
   -76.670     0.003
   -76.570     0.003
   -76.570     0.003
   -76.570     0.003
   -76.570     0.003
   -76.570     0.003
   -76.470     0.004
   -76.470     0.004
   -76.470     0.004
   -76.470     0.004
   -76.470     0.004
   -76.370     0.003
   -76.370     0.003
   -76.370     0.003
   -76.370     0.003
   -76.370     0.003
   -76.269     0.003
   -76.269     0.003
   -76.269     0.003
   -76.269     0.003
   -76.269     0.003
   -76.170     0.003
   -76.170     0.003
   -76.170     0.003
   -76.170     0.003
   -76.170     0.003
   -76.070     0.002
   -76.070     0.002
   -76.070     0.002
   -76.070     0.002
   -76.070     0.002
   -75.970     0.006
   -75.970     0.006
   -75.970     0.006
   -75.970     0.006
   -75.970     0.006
   -75.870     0.009
   -75.870     0.009
   -75.870     0.009
   -75.870     0.009
   -75.870     0.009
   -75.769     0.020
   -75.769     0.020
   -75.769     0.020
   -75.769     0.020
   -75.769     0.021
   -75.670     0.022
   -75.670     0.022
   -75.670     0.022
   -75.670     0.022
   -75.670     0.022
   -75.570     0.022
   -75.570     0.022
   -75.570     0.022
   -75.570     0.022
   -75.570     0.022
   -75.470     0.019
   -75.470     0.019
   -75.470     0.019
   -75.470     0.019
   -75.470     0.019
   -75.370     0.010
   -75.370     0.010
   -75.370     0.010
   -75.370     0.010
   -75.370     0.010
   -75.270     0.005
   -75.270     0.005
   -75.270     0.005
   -75.270     0.005
   -75.270     0.005
   -75.170     0.005
   -75.170     0.005
   -75.170     0.005
   -75.170     0.005
   -75.170     0.005
