split,alias_class,run,period,field_G,frequency_MHz,phase_bin,x_spin_mid,direction_cos,direction_sin,release_residual,parent_release_ARA,time_us,count_weight,sample_bins
validation,primary,EMU00070058,RF off,500.0,6.7745,26,1.65625,-0.01976521021980185,-0.056324074176056005,0.0979821093685002,1.1533973803508464,2.1713438438219748,196115.0,9
validation,primary,EMU00070058,RF off,500.0,6.7745,27,1.71875,0.04184459910679318,-0.038965481464312834,-5.8091128118331614e-05,1.0132391185051308,1.9687579641215613,258784.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,28,1.78125,0.031183752755097372,-0.022661361189965777,0.11309980885986398,1.0037727952393247,1.8851820241621229,277386.0,12
validation,primary,EMU00070058,RF off,500.0,6.7745,29,1.84375,0.0920496830342015,-0.02785188934352015,-0.31333414069771537,0.9862687095450006,1.9062896630065689,252472.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,30,1.90625,0.08101116025018279,-0.07545293128920878,0.28416971444379596,1.1157473285110047,2.1520443529129154,226755.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,31,1.96875,0.03296773116218609,-0.001873518117740509,-0.20270287540551574,1.094026803829344,2.0749331668102036,242048.0,11
holdout,primary,EMU00070245,RF on,1800.0,24.3882,0,0.03125,0.07896882292480356,-0.05387576914194872,0.23858661108324297,0.9818178425753848,1.8671750629206223,95687.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,1,0.09375,0.05429400225640401,-0.0192897283204525,-0.02895066006112492,1.1299069099962917,2.2611799867231803,86166.0,10
holdout,primary,EMU00070245,RF on,1800.0,24.3882,2,0.15625,0.051317090063627176,-0.005113439162396689,0.14219605546668562,1.095256836405771,2.1637154920966934,141569.0,15
holdout,primary,EMU00070245,RF on,1800.0,24.3882,3,0.21875,0.06551105045470061,0.050163449638623916,-0.11793970309105216,0.8335765104135592,1.4737406468231906,144235.0,11
holdout,primary,EMU00070245,RF on,1800.0,24.3882,4,0.28125,0.022449872066915857,0.09146340248190205,0.5537575945718278,1.041100316264706,1.9963917240206297,90627.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,5,0.34375,-0.0638817217486062,0.06622037489651375,-0.4786288879929749,1.2366136108022392,2.56696806534784,92485.0,12
holdout,primary,EMU00070245,RF on,1800.0,24.3882,6,0.40625,0.05347258965231072,0.09767472071935039,0.021957075920395332,0.9959941361151256,1.8112930357435653,159498.0,14
holdout,primary,EMU00070245,RF on,1800.0,24.3882,7,0.46875,0.012214324014731102,0.04037350763643001,0.24152493150204746,0.9691126464463451,1.8382258377467933,97046.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,8,0.53125,0.0612317206722984,0.0999815398543797,0.5485714814174305,1.0951458054479053,2.1269009346378707,85448.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,9,0.59375,-0.00010683759197198113,0.10989922390321667,0.5417208085189507,1.0904544722223062,2.22671896300437,133220.0,15
holdout,primary,EMU00070245,RF on,1800.0,24.3882,10,0.65625,-0.06877791367509799,0.03956988299089772,0.03587154717801002,0.9874579546420346,1.7519455844007539,131403.0,11
holdout,primary,EMU00070245,RF on,1800.0,24.3882,11,0.71875,-0.013411115481016473,0.1074015140819426,-0.5191180193898913,1.0274591822838997,1.968809443113213,90757.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,12,0.78125,-0.06238697445760151,0.06286786658513685,-0.4035811747875146,1.1993780299085726,2.459416194642356,87964.0,11
holdout,primary,EMU00070245,RF on,1800.0,24.3882,13,0.84375,-0.052900536627577745,-0.018538027936645312,-0.20620684727408647,1.0758945538824192,2.027487437356094,144454.0,14
holdout,primary,EMU00070245,RF on,1800.0,24.3882,14,0.90625,-0.1010409468068074,0.02170652731807308,-0.22250481808962763,0.8795261381489374,1.6057108743829716,120655.0,10
holdout,primary,EMU00070245,RF on,1800.0,24.3882,15,0.96875,-0.052158250548338864,-0.013106998627570506,-0.13657387679164734,1.08172144222318,2.097473455506759,85949.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,16,1.03125,-0.08048433298688591,-0.009787561351572728,-0.16211667981742472,1.0520961355963143,2.1605239315363303,124245.0,14
holdout,primary,EMU00070245,RF on,1800.0,24.3882,17,1.09375,-0.08540571265213134,-0.01913677834813672,0.1957501306348196,1.001422318874026,1.7807217400361333,143477.0,12
holdout,primary,EMU00070245,RF on,1800.0,24.3882,18,1.15625,-0.11222988647806183,-0.03839993806832112,-0.11231229592929567,1.01106007961598,1.929862346364341,92654.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,19,1.21875,0.012561532804645304,-0.07790147114418672,-0.16716193907313928,1.1606864198378264,2.3337446496538954,84902.0,10
holdout,primary,EMU00070245,RF on,1800.0,24.3882,20,1.28125,-0.08264500991791672,-0.042788470734109206,-0.2965036184575808,1.0808989928962316,2.0626124785861215,150913.0,15
holdout,primary,EMU00070245,RF on,1800.0,24.3882,21,1.34375,-0.04778706632832872,-0.11622708566903724,-0.1812389309788794,0.8623376251423507,1.5688096307356727,122679.0,10
holdout,primary,EMU00070245,RF on,1800.0,24.3882,22,1.40625,-0.03784652084314451,-0.057556009998655205,0.2380299680642294,1.0661019794376818,2.057760818376468,87748.0,9
holdout,primary,EMU00070245,RF on,1800.0,24.3882,23,1.46875,-0.027296263005707932,-0.0436776238678068,-0.3697597067803034,1.2814792442102154,2.6819703153446617,97272.0,13
