identity,family,delta_r_ohm,condition,lag,rho,miss_signed,miss_abs
coupled_290,coupled,290.0,shuffled,13,0.2015201696807371,-0.03210808200364161,0.28494778644766094
coupled_290,coupled,290.0,shuffled,14,0.2018497779317368,-0.01059440179788694,0.2833834579996983
coupled_290,coupled,290.0,shuffled,15,0.20837192671342158,-0.04833332088097501,0.2772258737154536
coupled_290,coupled,290.0,shuffled,16,0.2155655887138,-0.013488864217590928,0.29023404510618556
coupled_290,coupled,290.0,wrong_record,1,0.9999899429516483,0.12049653911254438,0.12049653911254438
coupled_290,coupled,290.0,wrong_record,2,0.9999632438599805,0.24098863419306157,0.24098863419306157
coupled_290,coupled,290.0,wrong_record,3,0.9999239303037355,0.36148378854195456,0.36148378854195456
coupled_290,coupled,290.0,wrong_record,4,0.9998766760812519,0.4819709952506228,0.4819709952506228
coupled_290,coupled,290.0,wrong_record,5,0.9998224350953213,-0.39756961053733586,0.39756961053733586
coupled_290,coupled,290.0,wrong_record,6,0.9997685562794365,-0.2770619453807256,0.2770619453807256
coupled_290,coupled,290.0,wrong_record,7,0.9997231367871671,-0.15657846483192445,0.15657846483192445
coupled_290,coupled,290.0,wrong_record,8,0.9996891475650088,-0.03616896909738851,0.03616896909738851
coupled_290,coupled,290.0,wrong_record,9,0.9996634897712003,0.08424543636722362,0.08424543636722362
coupled_290,coupled,290.0,wrong_record,10,0.9996541826241492,0.20466670607054727,0.20466670607054727
coupled_290,coupled,290.0,wrong_record,11,0.9996556903243601,0.3250080984767994,0.3250080984767994
coupled_290,coupled,290.0,wrong_record,12,0.999647678337553,0.44556124868762026,0.44556124868762026
coupled_290,coupled,290.0,wrong_record,13,0.9996509017782442,-0.43390189844702054,0.43390189844702054
coupled_290,coupled,290.0,wrong_record,14,0.9996554772573314,-0.31333133688061576,0.31333133688061576
coupled_290,coupled,290.0,wrong_record,15,0.9996639901592673,-0.19285026483070827,0.19285026483070827
coupled_290,coupled,290.0,wrong_record,16,0.999682563027656,-0.07237769523415744,0.07237769523415744
coupled_340,coupled,340.0,chronological,1,0.9999864400480276,0.11961289057674113,0.11961289057674113
coupled_340,coupled,340.0,chronological,2,0.9999484098537426,0.23924811005533714,0.23924811005533714
coupled_340,coupled,340.0,chronological,3,0.9998925415914981,0.358909946775397,0.358909946775397
coupled_340,coupled,340.0,chronological,4,0.9998219322449013,0.4785417989917772,0.4785417989917772
coupled_340,coupled,340.0,chronological,5,0.9997425157638081,-0.40184672646552666,0.40184672646552666
coupled_340,coupled,340.0,chronological,6,0.9996546346142379,-0.2821741851392558,0.2821741851392558
coupled_340,coupled,340.0,chronological,7,0.9995797180845201,-0.16250688048430276,0.16250688048430276
coupled_340,coupled,340.0,chronological,8,0.9995058407027164,-0.04278505029320218,0.04278505029320218
coupled_340,coupled,340.0,chronological,9,0.9994732887785689,0.07695702220635926,0.07695702220635926
coupled_340,coupled,340.0,chronological,10,0.9994328462727465,0.19665261783820814,0.19665261783820814
coupled_340,coupled,340.0,chronological,11,0.9994003716794599,0.3163275245360929,0.3163275245360929
coupled_340,coupled,340.0,chronological,12,0.9993780646465232,0.43599168609569494,0.43599168609569494
coupled_340,coupled,340.0,chronological,13,0.9993704143794069,-0.44423623034290083,0.44423623034290083
coupled_340,coupled,340.0,chronological,14,0.9993593542247771,-0.32455527764558517,0.32455527764558517
coupled_340,coupled,340.0,chronological,15,0.9993613292692964,-0.2049274064952095,0.2049274064952095
coupled_340,coupled,340.0,chronological,16,0.9993839492479032,-0.08523737259321339,0.08523737259321339
coupled_340,coupled,340.0,reversed,1,0.9999864400480276,-0.11961289057674113,0.11961289057674113
coupled_340,coupled,340.0,reversed,2,0.9999484098537423,-0.23924811005533714,0.23924811005533714
coupled_340,coupled,340.0,reversed,3,0.9998925415914981,-0.358909946775397,0.358909946775397
coupled_340,coupled,340.0,reversed,4,0.9998219322449013,-0.4785417989917772,0.4785417989917772
coupled_340,coupled,340.0,reversed,5,0.999742515763808,0.40184672646552666,0.40184672646552666
coupled_340,coupled,340.0,reversed,6,0.9996546346142379,0.2821741851392558,0.2821741851392558
coupled_340,coupled,340.0,reversed,7,0.9995797180845201,0.16250688048430278,0.16250688048430278
coupled_340,coupled,340.0,reversed,8,0.9995058407027164,0.04278505029320219,0.04278505029320219
coupled_340,coupled,340.0,reversed,9,0.9994732887785689,-0.07695702220635928,0.07695702220635928
coupled_340,coupled,340.0,reversed,10,0.9994328462727466,-0.19665261783820814,0.19665261783820814
coupled_340,coupled,340.0,reversed,11,0.9994003716794599,-0.3163275245360929,0.3163275245360929
coupled_340,coupled,340.0,reversed,12,0.9993780646465231,-0.43599168609569494,0.43599168609569494
coupled_340,coupled,340.0,reversed,13,0.9993704143794069,0.44423623034290083,0.44423623034290083
coupled_340,coupled,340.0,reversed,14,0.999359354224777,0.32455527764558517,0.32455527764558517
coupled_340,coupled,340.0,reversed,15,0.9993613292692964,0.20492740649520952,0.20492740649520952
coupled_340,coupled,340.0,reversed,16,0.9993839492479032,0.08523737259321337,0.08523737259321337
coupled_340,coupled,340.0,shuffled,1,0.15354705947674147,0.014918922846453806,0.3090817343670126
coupled_340,coupled,340.0,shuffled,2,0.15820340306971617,0.03768903660410288,0.2726658643139256
coupled_340,coupled,340.0,shuffled,3,0.15566674158224406,0.00026733731175730983,0.2887460322773086
coupled_340,coupled,340.0,shuffled,4,0.15648778491479592,0.03835033523039695,0.288035703846167
coupled_340,coupled,340.0,shuffled,5,0.16871209333780274,-0.00596226997733804,0.2989310544956748
coupled_340,coupled,340.0,shuffled,6,0.16345123338833575,0.016324361259675173,0.27625308068337506
coupled_340,coupled,340.0,shuffled,7,0.16499694876212012,0.018485712436941533,0.2810265671918377
coupled_340,coupled,340.0,shuffled,8,0.187277136377353,-0.017353587802808816,0.291064247249048
coupled_340,coupled,340.0,shuffled,9,0.18060585868305265,0.02310906141023696,0.2978592780337769
coupled_340,coupled,340.0,shuffled,10,0.18096779977205427,-0.013552031190555147,0.2782867742251796
coupled_340,coupled,340.0,shuffled,11,0.18961884420480132,-0.0031582738811454228,0.2870430565359609
coupled_340,coupled,340.0,shuffled,12,0.19291843209114035,-0.00790200274788762,0.2824558943678287
coupled_340,coupled,340.0,shuffled,13,0.19676900952873488,0.035447087297094185,0.29432027221131907
coupled_340,coupled,340.0,shuffled,14,0.19972592876424614,0.00326957478730654,0.2704482630377584
coupled_340,coupled,340.0,shuffled,15,0.2071001138493378,0.000510316677997269,0.30197367960082055
coupled_340,coupled,340.0,shuffled,16,0.209520730295654,0.02113090558497617,0.2930538801314935
coupled_340,coupled,340.0,wrong_record,1,0.9999893666745956,0.11756516376462423,0.11756516376462423
coupled_340,coupled,340.0,wrong_record,2,0.9999609504858888,0.23515091115239922,0.23515091115239922
coupled_340,coupled,340.0,wrong_record,3,0.9999187130438859,0.35275408650975004,0.35275408650975004
coupled_340,coupled,340.0,wrong_record,4,0.9998693403191419,0.47032089214489653,0.47032089214489653
coupled_340,coupled,340.0,wrong_record,5,0.9998152623374486,-0.4121660829945512,0.4121660829945512
coupled_340,coupled,340.0,wrong_record,6,0.9997605756071855,-0.29467599750374823,0.29467599750374823
coupled_340,coupled,340.0,wrong_record,7,0.9997107485812481,-0.17713830529598418,0.17713830529598418
coupled_340,coupled,340.0,wrong_record,8,0.9996701147887015,-0.05961554858308302,0.05961554858308302
coupled_340,coupled,340.0,wrong_record,9,0.9996397353758986,0.057837008900938014,0.057837008900938014
coupled_340,coupled,340.0,wrong_record,10,0.9996235634290331,0.17531142693296928,0.17531142693296928
coupled_340,coupled,340.0,wrong_record,11,0.999611688675959,0.292756526105036,0.292756526105036
coupled_340,coupled,340.0,wrong_record,12,0.9996066165780088,0.41027818162458335,0.41027818162458335
