identity,delta_r_ohm,pair,window,sample,cycle,landmark,phase,ara_phase,physical_time
coupled_170,170.0,40,2,15,1,7,0.33091780588059017,0.6618356117611803,24.4719895661795
coupled_170,170.0,40,2,16,2,0,0.455932787814735,0.91186557562947,24.778745078100407
coupled_170,170.0,40,2,17,2,1,0.5802980132450344,1.1605960264900688,25.083906250000002
coupled_170,170.0,40,2,18,2,2,0.704661232806929,1.409322465613858,25.3890625
coupled_170,170.0,40,2,19,2,3,0.8290244523688237,1.6580489047376474,25.69421875
coupled_170,170.0,40,2,20,2,4,0.9533876719307184,1.9067753438614368,25.999375
coupled_170,170.0,40,2,21,2,5,0.07716907675194662,0.15433815350389324,26.30453125
coupled_170,170.0,40,2,22,2,6,0.20060167863282352,0.40120335726564704,26.6096875
coupled_170,170.0,40,2,23,2,7,0.3240342805137004,0.6480685610274008,26.914843749999996
coupled_170,170.0,40,2,24,3,0,0.4474668823945791,0.8949337647891582,27.22
coupled_170,170.0,40,2,25,3,1,0.5715947011831322,1.1431894023662643,27.526875
coupled_170,170.0,40,2,26,3,2,0.6957225199716852,1.3914450399433704,27.83375
coupled_170,170.0,40,2,27,3,3,0.8198503387602383,1.6397006775204765,28.140625
coupled_170,170.0,40,2,28,3,4,0.9439781575487896,1.887956315097579,28.447499999999998
coupled_170,170.0,40,2,29,3,5,0.06911945812807829,0.13823891625615659,28.754375
coupled_170,170.0,40,2,30,3,6,0.19509441707717556,0.3901888341543511,29.06125
coupled_170,170.0,40,2,31,3,7,0.32106937602627283,0.6421387520525457,29.368125
coupled_170,170.0,40,3,0,0,0,0.4470443349753701,0.8940886699507402,29.675
coupled_170,170.0,40,3,1,0,1,0.5728756081577728,1.1457512163155457,29.981524981472333
coupled_170,170.0,40,3,2,0,2,0.6987068813401756,1.3974137626803511,30.288049962944665
coupled_170,170.0,40,3,3,0,3,0.8245381545225783,1.6490763090451566,30.594574944416998
coupled_170,170.0,40,3,4,0,4,0.9503694277049792,1.9007388554099585,30.901099925889326
coupled_170,170.0,40,3,5,0,5,0.07587882846232397,0.15175765692464793,31.207624907361662
coupled_170,170.0,40,3,6,0,6,0.20117858924948706,0.4023571784989741,31.51414988883399
coupled_170,170.0,40,3,7,0,7,0.32647835003665016,0.6529567000733003,31.820674870306323
coupled_170,170.0,40,3,8,1,0,0.4517730202984005,0.903546040596801,32.12718739865665
coupled_170,170.0,40,3,9,1,1,0.5758169244471443,1.1516338488942885,32.43064013617253
coupled_170,170.0,40,3,10,1,2,0.6998557380704753,1.3997114761409506,32.73408042056641
coupled_170,170.0,40,3,11,1,3,0.8238945516938081,1.6477891033876162,33.037520704960286
coupled_170,170.0,40,3,12,1,4,0.9479333653171409,1.8958667306342818,33.340960989354166
coupled_170,170.0,40,3,13,1,5,0.07228242507617288,0.14456485015234577,33.644401273748045
coupled_170,170.0,40,3,14,1,6,0.19685592534050578,0.39371185068101155,33.94784155814192
coupled_170,170.0,40,3,15,1,7,0.3214294256048422,0.6428588512096844,34.251281842535796
coupled_170,170.0,40,3,16,2,0,0.4460045618635018,0.8920091237270036,34.55472611193918
coupled_170,170.0,40,3,17,2,1,0.5724955998004138,1.1449911996008275,34.862837198513844
coupled_170,170.0,40,3,18,2,2,0.6989882737316471,1.3979765474632941,35.170952270098006
coupled_170,170.0,40,3,19,2,3,0.8254809476628822,1.6509618953257643,35.479067341682175
coupled_170,170.0,40,3,20,2,4,0.9519736215941155,1.903947243188231,35.787182413266336
coupled_170,170.0,40,3,21,2,5,0.07757457275945434,0.15514914551890868,36.095297484850505
coupled_170,170.0,40,3,22,2,6,0.202629732707031,0.405259465414062,36.403412556434674
coupled_170,170.0,40,3,23,2,7,0.3276848926546041,0.6553697853092082,36.711527628018835
coupled_170,170.0,40,3,24,3,0,0.4527392101234291,0.9054784202468582,37.01964062387578
coupled_170,170.0,40,3,25,3,1,0.5770173155493552,1.1540346310987104,37.32584116262769
coupled_170,170.0,40,3,26,3,2,0.7012945784965297,1.4025891569930593,37.63203962565237
coupled_170,170.0,40,3,27,3,3,0.8255718414437059,1.6511436828874118,37.93823808867705
coupled_170,170.0,40,3,28,3,4,0.9498491043908839,1.8996982087817678,38.24443655170174
coupled_170,170.0,40,3,29,3,5,0.07486575721517674,0.14973151443035349,38.550635014726424
coupled_170,170.0,40,3,30,3,6,0.20038265126095567,0.40076530252191134,38.8568334777511
coupled_170,170.0,40,3,31,3,7,0.32589954530673637,0.6517990906134727,39.16303194077579
coupled_170,170.0,40,4,0,0,0,0.45141638644615334,0.9028327728923067,39.469230274735395
coupled_170,170.0,40,4,1,0,1,0.5769084583820021,1.1538169167640042,39.7753681842229
coupled_170,170.0,40,4,2,0,2,0.7024004774114889,1.4048009548229778,40.08150596464533
coupled_170,170.0,40,4,3,0,3,0.827892496440974,1.655784992881948,40.38764374506776
coupled_170,170.0,40,4,4,0,4,0.9533845154704608,1.9067690309409215,40.693781525490195
coupled_170,170.0,40,4,5,0,5,0.07867899040638449,0.15735798081276897,40.99991930591262
coupled_170,170.0,40,4,6,0,6,0.2038567181538653,0.4077134363077306,41.30605708633505
coupled_170,170.0,40,4,7,0,7,0.32903444590134256,0.6580688918026851,41.61219486675748
coupled_170,170.0,40,4,8,1,0,0.45421493557363846,0.9084298711472769,41.91833940181228
coupled_170,170.0,40,4,9,1,1,0.580153816131471,1.160307632262942,42.22633867657654
coupled_170,170.0,40,4,10,1,2,0.7060954586141222,1.4121909172282443,42.53434470597317
coupled_170,170.0,40,4,11,1,3,0.8320371010967698,1.6640742021935395,42.84235073536979
coupled_170,170.0,40,4,12,1,4,0.9579787435794209,1.9159574871588418,43.15035676476643
coupled_170,170.0,40,4,13,1,5,0.08392038606206853,0.16784077212413706,43.45836279416306
coupled_170,170.0,40,4,14,1,6,0.2098620285447197,0.4197240570894394,43.76636882355968
coupled_170,170.0,40,4,15,1,7,0.33580367102737085,0.6716073420547417,44.07437485295631
coupled_170,170.0,40,4,16,2,0,0.4617392619139338,0.9234785238278675,44.38236608241827
coupled_170,170.0,40,4,17,2,1,0.5862008183374847,1.1724016366749694,44.68675237634662
coupled_170,170.0,40,4,18,2,2,0.710656323164951,1.421312646329902,44.99112387034029
coupled_170,170.0,40,4,19,2,3,0.8351118279924208,1.6702236559848416,45.295495364333966
coupled_170,170.0,40,4,20,2,4,0.959567332819887,1.919134665639774,45.59986685832764
coupled_170,170.0,40,4,21,2,5,0.08417341620944185,0.1683468324188837,45.9042383523213
coupled_170,170.0,40,4,22,2,6,0.20885195957602676,0.4177039191520535,46.20860984631498
coupled_170,170.0,40,4,23,2,7,0.33353050294261166,0.6670610058852233,46.512981340308656
coupled_170,170.0,40,4,24,3,0,0.4582105361334108,0.9164210722668216,46.817356471335685
coupled_170,170.0,40,4,25,3,1,0.5832521199825749,1.1665042399651497,47.12261423790746
coupled_170,170.0,40,4,26,3,2,0.7082951936559567,1.4165903873119134,47.42787564151261
coupled_170,170.0,40,4,27,3,3,0.833338267329335,1.66667653465867,47.73313704511774
coupled_170,170.0,40,4,28,3,4,0.9583813410027204,1.9167626820054409,48.03839844872289
coupled_170,170.0,40,4,29,3,5,0.08245338150932113,0.16490676301864227,48.343659852328024
coupled_170,170.0,40,4,30,3,6,0.2060409943049244,0.4120819886098488,48.64892125593316
