medium,event,x_P,x_R,successor_loss,successor_null_loss,radius_mean,end_index,end_position,quadrant,parent_step
dry,3,0.0,1.0616434862274362,0.0005338823386649613,0.0010057657690005126,1.3830707591680425,1455,-593.0,Ba,0.008441491630823528
dry,3,0.0,1.0686820980804261,0.0005367454946993994,0.0010044998333246253,1.3841130032075344,1471,-577.0,Ba,0.007038611852989929
dry,3,0.0,1.0816565354200764,0.0005427916011520022,0.0010036302345109976,1.3851565220104298,1487,-561.0,Ba,0.012974437339650313
dry,3,0.0,1.0833516462916941,0.0005432104780236037,0.0010028331611125708,1.3862073188447879,1503,-545.0,Ba,0.0016951108716176666
dry,3,0.0,1.0833270449217414,0.0005430784950218442,0.0010026122721990675,1.3872617614820475,1519,-529.0,Ba,2.4601369952748087e-05
dry,3,0.0,1.0786588351244557,0.0005407581550964124,0.0010026490999520154,1.3883159576581674,1535,-513.0,Ba,0.004668209797285661
dry,3,0.0,1.069721338843431,0.0005357770883500706,0.0010017133787932958,1.3893715846064456,1551,-497.0,Ba,0.008937496281024693
dry,3,0.0,1.0725114905174407,0.0005373367504148883,0.0010020158388338507,1.3904299770833601,1567,-481.0,Ba,0.0027901516740096444
dry,3,0.0,1.0781015294806964,0.0005412305270577786,0.0010040437050831017,1.3914929899877593,1583,-465.0,Ba,0.005590038963255717
dry,3,0.0,1.0897245159573872,0.0005490490378474063,0.001007684106959885,1.3925648467364624,1599,-449.0,Ba,0.0116229864766908
dry,3,0.0,1.0981294547912297,0.0005561610094729652,0.0010129243087805152,1.3936471587321262,1615,-433.0,Ba,0.008404938833842523
dry,3,0.0,1.090868976068899,0.0005548314034862834,0.0010172283118467574,1.3947332846801683,1631,-417.0,Ba,0.00726047872233071
dry,3,0.0,1.0903747963032515,0.0005560983244520134,0.001020013166733823,1.395818734564073,1647,-401.0,Ba,0.0004941797656474733
dry,3,0.0,1.096545879863055,0.0005608950752802383,0.0010230216274220777,1.3969057705091932,1663,-385.0,Ba,0.0061710835598034475
dry,3,0.0,1.095576586748336,0.000562363469416793,0.0010266073156708906,1.397992841253173,1679,-369.0,Ba,0.0009692931147189388
dry,3,0.0,1.0865436358540947,0.0005582655326668525,0.0010275989187089004,1.399077068542974,1695,-353.0,Ba,0.009032950894241276
dry,3,0.0,1.07196634994658,0.0005494272625433628,0.001025083040285253,1.4001582012197638,1711,-337.0,Ba,0.014577285907514836
dry,3,0.0,1.0555047942719107,0.0005381896566568902,0.0010197768112046037,1.401243460011116,1727,-321.0,Ba,0.016461555674669226
dry,3,0.0,1.0407012075093203,0.0005266174067452341,0.0010120434240786021,1.4023355902779007,1743,-305.0,Ba,0.014803586762590415
dry,3,0.0,1.0415898236722838,0.0005229820180364935,0.0010041995537027053,1.403426776650623,1759,-289.0,Ba,0.0008886161629635403
dry,3,0.0,1.0548386563458756,0.0005260741119833956,0.0009974494370651864,1.4045151677647585,1775,-273.0,Ba,0.013248832673591782
dry,3,0.0,1.0483902255685509,0.0005186467428188918,0.0009894154488852187,1.405600746225056,1791,-257.0,Ba,0.00644843077732471
