medium,event,relative_row,x_S,x_F,child_u,child_v,child_handover,active_Ab_child
dry,2,-128,1.9188019456053342,0.0,1.8376038912106685,-2.0,,False
dry,2,-127,1.9188895301277253,0.0,1.8377790602554507,-2.0,,False
dry,2,-126,1.91898398862053,0.0,1.83796797724106,-2.0,,False
dry,2,-125,1.919077261476102,0.0,1.838154522952204,-2.0,,False
dry,2,-124,1.9191690924877713,0.0,1.8383381849755427,-2.0,,False
dry,2,-123,1.9192642432837033,0.0,1.8385284865674065,-2.0,,False
dry,2,-122,1.9193578377604181,0.0,1.8387156755208363,-2.0,,False
dry,2,-121,1.9194444737730123,0.0,1.8388889475460246,-2.0,,False
dry,2,-120,1.9195410882176835,0.0,1.839082176435367,-2.0,,False
dry,2,-119,1.9196437725799471,0.0,1.8392875451598942,-2.0,,False
dry,2,-118,1.9197383537248913,0.0,1.8394767074497826,-2.0,,False
dry,2,-117,1.9198296069087293,0.0,1.8396592138174586,-2.0,,False
dry,2,-116,1.9199163464942286,0.0,1.8398326929884572,-2.0,,False
dry,2,-115,1.9199985670301847,0.0,1.8399971340603694,-2.0,,False
dry,2,-114,1.920085930778754,0.0,1.8401718615575078,-2.0,,False
dry,2,-113,1.9201795116274392,0.0,1.8403590232548783,-2.0,,False
dry,2,-112,1.9202740518883308,0.0,1.8405481037766616,-2.0,,False
dry,2,-111,1.9203763355869665,0.0,1.840752671173933,-2.0,,False
dry,2,-110,1.9204775726541048,0.0,1.8409551453082096,-2.0,,False
dry,2,-109,1.920573791886371,0.0,1.841147583772742,-2.0,,False
dry,2,-108,1.9206720444183827,0.0,1.8413440888367654,-2.0,,False
dry,2,-107,1.920763902686075,0.0,1.84152780537215,-2.0,,False
dry,2,-106,1.920859088914855,0.0,1.8417181778297098,-2.0,,False
dry,2,-105,1.9209599389463954,0.0,1.8419198778927908,-2.0,,False
dry,2,-104,1.9210557111797948,0.0,1.8421114223595896,-2.0,,False
