path_id,split,family,parameter,parameter_index,replicate,control,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:2:16,calibration,periodic rational,9,2,16,shuffled,0.013241876014300456,,,False
calibration:periodic rational:2:17,calibration,periodic rational,9,2,17,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:17,calibration,periodic rational,9,2,17,shuffled,0.013113463742129,,,False
calibration:periodic rational:2:18,calibration,periodic rational,9,2,18,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:18,calibration,periodic rational,9,2,18,shuffled,0.01422899048458436,,,False
calibration:periodic rational:2:19,calibration,periodic rational,9,2,19,chronological,1.0,0.22222222222222218,0.2222222222222221,True
calibration:periodic rational:2:19,calibration,periodic rational,9,2,19,shuffled,0.014063101952021043,,,False
calibration:periodic rational:2:20,calibration,periodic rational,9,2,20,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:20,calibration,periodic rational,9,2,20,shuffled,0.014066511420008553,,,False
calibration:periodic rational:2:21,calibration,periodic rational,9,2,21,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:21,calibration,periodic rational,9,2,21,shuffled,0.013128876558396632,,,False
calibration:periodic rational:2:22,calibration,periodic rational,9,2,22,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:22,calibration,periodic rational,9,2,22,shuffled,0.01410683953276875,,,False
calibration:periodic rational:2:23,calibration,periodic rational,9,2,23,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:23,calibration,periodic rational,9,2,23,shuffled,0.013498129557043548,,,False
calibration:periodic rational:2:24,calibration,periodic rational,9,2,24,chronological,1.0,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:24,calibration,periodic rational,9,2,24,shuffled,0.013349033901173916,,,False
calibration:periodic rational:2:25,calibration,periodic rational,9,2,25,chronological,1.0,0.22222222222222218,0.2222222222222221,True
calibration:periodic rational:2:25,calibration,periodic rational,9,2,25,shuffled,0.014322665793182634,,,False
calibration:periodic rational:2:26,calibration,periodic rational,9,2,26,chronological,1.0,0.22222222222222218,0.2222222222222221,True
calibration:periodic rational:2:26,calibration,periodic rational,9,2,26,shuffled,0.0131185343278007,,,False
calibration:periodic rational:2:27,calibration,periodic rational,9,2,27,chronological,1.0,0.22222222222222218,0.22222222222222218,True
calibration:periodic rational:2:27,calibration,periodic rational,9,2,27,shuffled,0.013463214564361848,,,False
calibration:periodic rational:2:28,calibration,periodic rational,9,2,28,chronological,1.0,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:28,calibration,periodic rational,9,2,28,shuffled,0.01403005637086888,,,False
calibration:periodic rational:2:29,calibration,periodic rational,9,2,29,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:29,calibration,periodic rational,9,2,29,shuffled,0.012977344140916372,,,False
calibration:periodic rational:2:30,calibration,periodic rational,9,2,30,chronological,1.0000000000000002,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:30,calibration,periodic rational,9,2,30,shuffled,0.013591043226000393,,,False
calibration:periodic rational:2:31,calibration,periodic rational,9,2,31,chronological,1.0,0.22222222222222218,0.22222222222222215,True
calibration:periodic rational:2:31,calibration,periodic rational,9,2,31,shuffled,0.013462576470991597,,,False
