path_id,direction,mode,true_center,prediction_rate,predicted_ridge_median,signed_error_median,abs_error_median,centre_range,endpoint_separation_median,x_r_peak_offset_median,wrong_center,wrong_abs_error
q17:d47:t448:r3:irrational_to_rational,irrational_to_rational,ordered,2060.0,1.0,2393.6340997335647,333.63409973356465,333.63409973356465,176.96044003107,1.7624373852297133,-281.6340997335644,1408.0,985.6340997335647
q17:d47:t448:r4:irrational_to_rational,irrational_to_rational,ordered,2084.0,1.0,2417.6188389300337,333.6188389300337,333.6188389300337,168.98825570930376,1.7598880356738391,-289.6188389300337,1432.0,985.6188389300337
q17:d47:t448:r5:irrational_to_rational,irrational_to_rational,ordered,2108.0,1.0,2440.999247012954,332.99924701295413,332.99924701295413,168.49638365497503,1.7656417094391226,-264.99924701295413,1456.0,984.9992470129541
q17:d47:t640:r0:irrational_to_rational,irrational_to_rational,ordered,2133.0,1.0,2555.450423690799,422.4504236907992,422.4504236907992,161.20003705147565,1.7638212680176717,-305.2930550149779,1480.0,1075.4504236907992
q17:d47:t640:r1:irrational_to_rational,irrational_to_rational,ordered,2157.0,1.0,2588.3233179193185,431.32331791931847,431.32331791931847,168.4351467203528,1.764257826651164,-284.3233179193187,1505.0,1083.3233179193185
q17:d47:t640:r2:irrational_to_rational,irrational_to_rational,ordered,2181.0,1.0,2614.595003821693,433.5950038216929,433.5950038216929,173.00288439617952,1.7598880356738391,-278.5950038216929,1529.0,1085.595003821693
q17:d47:t640:r3:irrational_to_rational,irrational_to_rational,ordered,2205.0,1.0,2632.9201753114385,427.92017531143847,427.92017531143847,165.48430738861225,1.7630990292236424,-280.9201753114387,1553.0,1079.9201753114385
q17:d47:t640:r4:irrational_to_rational,irrational_to_rational,ordered,2229.0,1.0,2655.931946553961,426.9319465539611,426.9319465539611,165.84121404064035,1.7598880356738391,-303.9319465539611,1577.0,1078.931946553961
q17:d47:t640:r5:irrational_to_rational,irrational_to_rational,ordered,2253.0,1.0,2680.370298906224,427.370298906224,427.370298906224,175.18886300024087,1.7624373852297133,-264.370298906224,1601.0,1079.370298906224
q23:d53:t256:r0:irrational_to_rational,irrational_to_rational,ordered,2277.0,1.0,2504.095859805258,227.095859805258,227.095859805258,160.69128365593724,1.6741008081948379,-232.095859805258,1625.0,879.095859805258
q23:d53:t256:r1:irrational_to_rational,irrational_to_rational,ordered,2302.0,1.0,2531.432182209748,229.43218220974813,229.43218220974813,157.2717194242473,1.6741008081948379,-227.43218220974813,1650.0,881.4321822097481
