delta_r,filename,sha256,rows_after_10s,columns,sampling_hz,raw_min,raw_max,pair,events,cycles,train_cycles,test_cycles,a_q05,a_q95,b_q05,b_q95
170,,,,,,,,7.0,77.0,76.0,45.0,31.0,0.094721,0.265237,0.062611,0.256483
170,,,,,,,,8.0,77.0,76.0,45.0,31.0,0.094235,0.2607354000000001,0.059048,0.2519804000000001
170,,,,,,,,9.0,77.0,76.0,45.0,31.0,0.096016,0.266856,0.05922620000000002,0.254054
170,,,,,,,,10.0,77.0,76.0,45.0,31.0,0.099255,0.2756,0.059534,0.256969
170,,,,,,,,11.0,77.0,76.0,45.0,31.0,0.098445,0.2722405,0.0607895,0.2628405
170,,,,,,,,12.0,77.0,76.0,45.0,31.0,0.098445,0.27301,0.063745,0.273004
170,,,,,,,,13.0,77.0,76.0,45.0,31.0,0.09634,0.265723,0.061801,0.25427269999999974
170,,,,,,,,14.0,77.0,76.0,45.0,31.0,0.094559,0.258112,0.059696,0.260694
170,,,,,,,,15.0,77.0,76.0,45.0,31.0,0.096016,0.26216,0.064555,0.263448
170,,,,,,,,16.0,77.0,76.0,45.0,31.0,0.095207,0.2639895999999999,0.059858,0.255187
170,,,,,,,,17.0,77.0,76.0,45.0,31.0,0.09634,0.271552,0.05759,0.245793
170,,,,,,,,18.0,77.0,76.0,45.0,31.0,0.094721,0.262646,0.060992,0.250814
170,,,,,,,,19.0,77.0,76.0,45.0,31.0,0.094721,0.262484,0.062611,0.257293
170,,,,,,,,20.0,77.0,76.0,45.0,31.0,0.092778,0.256007,0.061963,0.265391
170,,,,,,,,21.0,77.0,76.0,45.0,31.0,0.09294,0.2560713999999996,0.059048,0.25654779999999966
170,,,,,,,,22.0,77.0,76.0,45.0,31.0,0.09634,0.2722,0.062611,0.256321
170,,,,,,,,23.0,77.0,76.0,45.0,31.0,0.093587,0.25795,0.062287,0.255673
170,,,,,,,,24.0,77.0,76.0,45.0,31.0,0.092616,0.253254,0.062611,0.257293
170,,,,,,,,25.0,77.0,76.0,45.0,31.0,0.096016,0.261998,0.059534,0.2591155
170,,,,,,,,26.0,77.0,76.0,45.0,31.0,0.094559,0.263941,0.060506,0.262962
170,,,,,,,,27.0,77.0,76.0,45.0,31.0,0.096502,0.268475,0.059372,0.25428079999999964
170,,,,,,,,28.0,77.0,76.0,45.0,31.0,0.093911,0.255845,0.063907,0.260694
170,,,,,,,,29.0,77.0,76.0,45.0,31.0,0.096178,0.2677065,0.062773,0.257617
170,,,,,,,,30.0,77.0,76.0,45.0,31.0,0.096502,0.268637,0.062287,0.255187
170,,,,,,,,31.0,77.0,76.0,45.0,31.0,0.097312,0.273657,0.058562,0.253892
170,,,,,,,,32.0,77.0,76.0,45.0,31.0,0.094397,0.261836,0.062611,0.256645
170,,,,,,,,33.0,77.0,76.0,45.0,31.0,0.093587,0.26173879999999966,0.056942,0.242716
170,,,,,,,,34.0,77.0,76.0,45.0,31.0,0.099579,0.274791,0.057428,0.25070869999999973
170,,,,,,,,35.0,77.0,76.0,45.0,31.0,0.096664,0.26468619999999976,0.062287,0.2559321999999997
170,,,,,,,,36.0,77.0,76.0,45.0,31.0,0.095207,0.259083,0.059696,0.259884
170,,,,,,,,37.0,77.0,76.0,45.0,31.0,0.096502,0.264103,0.060344,0.248871
170,,,,,,,,38.0,77.0,76.0,45.0,31.0,0.095369,0.268475,0.057104,0.249681
170,,,,,,,,39.0,77.0,76.0,45.0,31.0,0.097959,0.276086,0.0584,0.253244
170,,,,,,,,40.0,77.0,76.0,45.0,31.0,0.094721,0.265237,0.057104,0.249033
190,oc091818_45.lvm,4c5b5c76388caff55bbad62fab9032fa70d6d25bdb486926b9f0ff7ab5d3ef67,38100.0,80.0,200.0,0.052245,0.303777,,,,,,,,,
190,,,,,,,,1.0,78.0,77.0,46.0,31.0,0.0992145,0.271066,0.065851,0.267173
190,,,,,,,,2.0,78.0,77.0,46.0,31.0,0.096826,0.27189219999999975,0.060344,0.264095
190,,,,,,,,3.0,78.0,77.0,46.0,31.0,0.094073,0.26135,0.061477,0.267173
190,,,,,,,,4.0,78.0,77.0,46.0,31.0,0.09634,0.268152,0.059858,0.26201429999999964
190,,,,,,,,5.0,78.0,77.0,46.0,31.0,0.096664,0.265399,0.066012,0.267335
190,,,,,,,,6.0,78.0,77.0,46.0,31.0,0.095692,0.261512,0.063259,0.257779
190,,,,,,,,7.0,78.0,77.0,46.0,31.0,0.096178,0.268799,0.062125,0.255025
190,,,,,,,,8.0,78.0,77.0,46.0,31.0,0.095692,0.263617,0.059372,0.258751
190,,,,,,,,9.0,78.0,77.0,46.0,31.0,0.097798,0.271228,0.062287,0.25292
190,,,,,,,,10.0,78.0,77.0,46.0,31.0,0.10055,0.277868,0.062449,0.254863
190,,,,,,,,11.0,78.0,77.0,46.0,31.0,0.100065,0.276086,0.063745,0.260208
190,,,,,,,,12.0,78.0,77.0,46.0,31.0,0.100388,0.27641,0.064393,0.277053
190,,,,,,,,13.0,78.0,77.0,46.0,31.0,0.097798,0.268637,0.058562,0.2591155
190,,,,,,,,14.0,78.0,77.0,46.0,31.0,0.095854,0.26297,0.062611,0.257455
190,,,,,,,,15.0,78.0,77.0,46.0,31.0,0.097798,0.26658869999999973,0.061477,0.268469
190,,,,,,,,16.0,78.0,77.0,46.0,31.0,0.096826,0.26799,0.062773,0.25454
190,,,,,,,,17.0,78.0,77.0,46.0,31.0,0.098121,0.27626419999999974,0.057752,0.251462
190,,,,,,,,18.0,78.0,77.0,46.0,31.0,0.09634,0.26637,0.06083,0.249357
190,,,,,,,,19.0,78.0,77.0,46.0,31.0,0.096178,0.265723,0.062287,0.255187
190,,,,,,,,20.0,78.0,77.0,46.0,31.0,0.094397,0.259569,0.062287,0.26946429999999966
190,,,,,,,,21.0,78.0,77.0,46.0,31.0,0.094397,0.260541,0.062125,0.253892
190,,,,,,,,22.0,78.0,77.0,46.0,31.0,0.098283,0.27641,0.062287,0.255187
190,,,,,,,,23.0,78.0,77.0,46.0,31.0,0.095045,0.261188,0.059048,0.259722
190,,,,,,,,24.0,78.0,77.0,46.0,31.0,0.094397,0.2583225999999999,0.059534,0.262152
190,,,,,,,,25.0,78.0,77.0,46.0,31.0,0.097312,0.264103,0.060668,0.265229
190,,,,,,,,26.0,78.0,77.0,46.0,31.0,0.096178,0.267018,0.060992,0.267335
190,,,,,,,,27.0,78.0,77.0,46.0,31.0,0.098121,0.2727589000000001,0.062773,0.2552599000000001
190,,,,,,,,28.0,78.0,77.0,46.0,31.0,0.095369,0.259245,0.060668,0.265877
190,,,,,,,,29.0,78.0,77.0,46.0,31.0,0.098121,0.272686,0.059534,0.261018
190,,,,,,,,30.0,78.0,77.0,46.0,31.0,0.098445,0.273333,0.062125,0.253082
190,,,,,,,,31.0,78.0,77.0,46.0,31.0,0.099093,0.27756829999999966,0.058724,0.257617
190,,,,,,,,32.0,78.0,77.0,46.0,31.0,0.095854,0.264913,0.062611,0.255511
190,,,,,,,,33.0,78.0,77.0,46.0,31.0,0.095045,0.265561,0.059534,0.241906
190,,,,,,,,34.0,78.0,77.0,46.0,31.0,0.101522,0.278515,0.060344,0.248547
190,,,,,,,,35.0,78.0,77.0,46.0,31.0,0.097959,0.266694,0.059534,0.2611880999999999
190,,,,,,,,36.0,78.0,77.0,46.0,31.0,0.096826,0.2631644000000001,0.059858,0.263124
190,,,,,,,,37.0,78.0,77.0,46.0,31.0,0.098121,0.2671961999999997,0.060344,0.24823919999999977
190,,,,,,,,38.0,78.0,77.0,46.0,31.0,0.09715,0.27206229999999965,0.060506,0.248547
190,,,,,,,,39.0,78.0,77.0,46.0,31.0,0.099579,0.279487,0.061639,0.252434
190,,,,,,,,40.0,78.0,77.0,46.0,31.0,0.096178,0.268637,0.057428,0.253244
240,oc091818_46.lvm,2552d7c944be1fab943c5bebda16f7f11c598f643ad89653e83fc5f44309465f,38100.0,80.0,200.0,0.052893,0.308311,,,,,,,,,
