q,d,duration,replicate,mode,window,true_center,irrational_to_rational,rational_to_irrational,paired_ridge,forward_error,reverse_error,paired_error,paired_abs_error
17,47,640,0,abrupt,256,2133,2221.659807235923,2048.0,2134.8299036179615,88.65980723592293,-85.0,1.8299036179614632,1.8299036179614632
17,47,640,0,abrupt,384,2133,2279.657316800057,1984.9556750794573,2132.306495939757,146.65731680005683,-148.04432492054275,-0.6935040602429581,0.6935040602429581
17,47,640,0,abrupt,512,2133,2340.2185335234053,1926.2004128887893,2133.2094732060973,207.2185335234053,-206.7995871112107,0.20947320609730014,0.20947320609730014
17,47,640,0,ordered,128,2133,2477.026767732386,1792.0,2134.513383866193,344.0267677323859,-341.0,1.5133838661931804,1.5133838661931804
17,47,640,0,ordered,256,2133,2529.3415050840285,1745.0410981658315,2137.19130162493,396.34150508402854,-387.9589018341685,4.19130162493002,4.19130162493002
17,47,640,0,ordered,384,2133,2581.55934229757,1693.475717971423,2137.517530134496,448.55934229756986,-439.5242820285771,4.517530134496155,4.517530134496155
17,47,640,0,ordered,512,2133,2638.2268047838616,1636.7263083203684,2137.4765565521147,505.22680478386155,-496.2736916796316,4.476556552114744,4.476556552114744
17,47,640,1,abrupt,128,2157,2189.001128566606,2125.1610210029444,2157.0810747847754,32.001128566605985,-31.83897899705562,0.08107478477541008,0.08107478477541008
17,47,640,1,abrupt,256,2157,2240.0,2070.120285326058,2155.060142663029,83.0,-86.87971467394209,-1.9398573369708174,1.9398573369708174
17,47,640,1,abrupt,384,2157,2304.0,2011.642275035948,2157.821137517974,147.0,-145.35772496405207,0.8211375179739662,0.8211375179739662
17,47,640,1,abrupt,512,2157,2363.272530736523,1951.0533724119437,2157.1629515742334,206.2725307365231,-205.94662758805634,0.16295157423337514,0.16295157423337514
17,47,640,1,ordered,128,2157,2506.768989146056,1810.7407328704544,2158.754861008255,349.7689891460559,-346.2592671295456,1.7548610082549203,1.7548610082549203
17,47,640,1,ordered,256,2157,2560.0,1755.797773077393,2157.8988865386964,403.0,-401.202226922607,0.898886538696388,0.898886538696388
17,47,640,1,ordered,384,2157,2616.6466358386374,1698.9796955829456,2157.8131657107915,459.6466358386374,-458.0203044170544,0.8131657107915089,0.8131657107915089
17,47,640,1,ordered,512,2157,2675.2041358664087,1642.0706437681145,2158.6373898172615,518.2041358664087,-514.9293562318855,1.6373898172614645,1.6373898172614645
17,47,640,2,abrupt,128,2181,2208.0,2144.0,2176.0,27.0,-37.0,-5.0,5.0
17,47,640,2,abrupt,256,2181,2271.0525978386627,2092.292819934931,2181.6727088867965,90.05259783866268,-88.70718006506922,0.6727088867964994,0.6727088867964994
17,47,640,2,abrupt,384,2181,2327.626210608239,2034.644054651804,2181.1351326300214,146.62621060823903,-146.35594534819597,0.13513263002141684,0.13513263002141684
17,47,640,2,abrupt,512,2181,2387.0387102097043,1974.5705594155409,2180.8046348126227,206.03871020970428,-206.42944058445914,-0.19536518737731967,0.19536518737731967
17,47,640,2,ordered,128,2181,2528.0,1831.9681618179288,2179.9840809089646,347.0,-349.03183818207117,-1.0159190910353573,1.0159190910353573
17,47,640,2,ordered,256,2181,2586.8858976371,1780.63319762715,2183.759547632125,405.8858976370998,-400.3668023728501,2.7595476321248498,2.7595476321248498
17,47,640,2,ordered,384,2181,2642.3041100062865,1724.2503508784548,2183.2772304423706,461.30411000628646,-456.7496491215452,2.2772304423706373,2.2772304423706373
17,47,640,2,ordered,512,2181,2701.0028843961795,1665.273633879894,2183.138259138037,520.0028843961795,-515.7263661201059,2.1382591380370286,2.1382591380370286
17,47,640,3,abrupt,128,2205,2240.0,2176.0,2208.0,35.0,-29.0,3.0,3.0
17,47,640,3,abrupt,256,2205,2294.541894879925,2115.679642031828,2205.1107684558765,89.54189487992517,-89.32035796817217,0.11076845587649586,0.11076845587649586
17,47,640,3,abrupt,384,2205,2351.895629539993,2059.2586667182577,2205.5771481291254,146.89562953999302,-145.7413332817423,0.5771481291253622,0.5771481291253622
17,47,640,3,abrupt,512,2205,2411.8811150222045,1999.940455815797,2205.9107854190006,206.88111502220454,-205.0595441842031,0.9107854190006037,0.9107854190006037
17,47,640,3,ordered,128,2205,2554.44010976873,1856.0,2205.220054884365,349.44010976873005,-349.0,0.22005488436479936,0.22005488436479936
17,47,640,3,ordered,256,2205,2604.988632318642,1805.670661356352,2205.329646837497,399.988632318642,-399.32933864364804,0.3296468374969663,0.3296468374969663
17,47,640,3,ordered,384,2205,2660.8517183042354,1750.4039591177077,2205.6278387109714,455.8517183042354,-454.5960408822923,0.6278387109714458,0.6278387109714458
17,47,640,3,ordered,512,2205,2719.9244171573423,1691.798777044331,2205.8615971008367,514.9244171573423,-513.201222955669,0.8615971008366614,0.8615971008366614
17,47,640,4,abrupt,128,2229,2264.2851184298543,2208.0,2236.142559214927,35.285118429854265,-21.0,7.142559214927132,7.142559214927132
17,47,640,4,abrupt,256,2229,2318.598751695992,2144.0,2231.299375847996,89.59875169599218,-85.0,2.299375847996089,2.299375847996089
17,47,640,4,abrupt,384,2229,2376.628616704817,2083.004968255247,2229.816792480032,147.62861670481698,-145.99503174475285,0.816792480031836,0.816792480031836
