path_id,split,q,d,duration,replicate,direction,mode,n_pre,n_handover,n_post,pre_x_p,post_x_p,pre_x_r,post_x_r,baseline_x_r,excursion_x_r,excess_area_x_r,band_width_states,coordinate_roughness,final_post_error_x_r
calibration:q5:d2:w256:r11:irrational_to_rational,calibration,5,2,256,11,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574099102e-05,0.0,8.181601574099102e-05,1.999918183984259,0.918722301869082,384,0.471685847083696,0.0
calibration:q5:d2:w256:r11:irrational_to_rational,calibration,5,2,256,11,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574099102e-05,0.0,8.181601574099102e-05,1.827136393241196,0.956218015532495,512,0.39983145947951954,0.0
calibration:q5:d2:w256:r11:rational_to_irrational,calibration,5,2,256,11,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.9999181839842586,0.7522478675016667,448,0.4815477428366501,0.0
calibration:q5:d2:w256:r11:rational_to_irrational,calibration,5,2,256,11,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.9999181839842586,0.94644768508563,512,0.43532305357118206,1.3552527156068805e-20
calibration:q5:d2:w256:r11:rational_to_irrational,calibration,5,2,256,11,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.4232530329190227,0.8792212847315191,640,0.32976683360432835,1.3552527156068805e-20
calibration:q5:d2:w512:r0:irrational_to_rational,calibration,5,2,512,0,irrational_to_rational,abrupt,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,1.5568112841191353,0.25923895684604586,256,0.3524764567086452,0.0
calibration:q5:d2:w512:r0:irrational_to_rational,calibration,5,2,512,0,irrational_to_rational,ordered,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,0.47026024836808245,0.1923823907588949,384,0.11879316074376274,0.0
calibration:q5:d2:w512:r0:irrational_to_rational,calibration,5,2,512,0,irrational_to_rational,shuffled,13,15,13,2.0,0.0,8.181601574135894e-05,0.0,8.181601574135894e-05,0.5276700312421725,0.25377737495406655,576,0.1603298183026869,0.0
calibration:q5:d2:w512:r0:rational_to_irrational,calibration,5,2,512,0,rational_to_irrational,abrupt,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.6007812884277006,0.31204745752186747,320,0.30392095564997296,1.3552527156068805e-20
calibration:q5:d2:w512:r0:rational_to_irrational,calibration,5,2,512,0,rational_to_irrational,ordered,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.4630495637538013,0.20799055700825966,384,0.11834151514127314,1.3552527156068805e-20
calibration:q5:d2:w512:r0:rational_to_irrational,calibration,5,2,512,0,rational_to_irrational,shuffled,13,15,13,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.614576775616509,0.27303160521062225,512,0.14714865184375872,1.3552527156068805e-20
calibration:q5:d2:w512:r1:irrational_to_rational,calibration,5,2,512,1,irrational_to_rational,abrupt,13,15,13,2.0,0.0,8.181601574089926e-05,0.0,8.181601574089926e-05,0.008205911515147485,0.0013605225724479628,0,0.14302969044935157,0.0
