Name,fluid,partition,n_snapshots,position_alignment_parent_grandchild,position_alignment_parent_child,position_alignment_child_grandchild,flow_alignment_parent_grandchild,flow_alignment_parent_child,flow_alignment_child_grandchild,median_parent_grandchild_product,opposite_side_fraction_parent_grandchild,opposite_side_fraction_parent_child,quiet_guard_child_horizons
250722p,S2,diagnostic,21,0.37860101363389653,-0.048872514801958665,0.05134986758300221,0.12226261652782373,-0.016096535763787223,-0.6674850247355382,0.030475179379379488,0.3333333333333333,0.5238095238095238,1.0
250722q,S2,diagnostic,18,0.48779933034597606,0.41892442102134825,0.14102326888330483,0.16031880512355964,-0.1942513740902376,0.0781833424938812,0.015329657654827977,0.3333333333333333,0.16666666666666666,1.0
250722r,S2,diagnostic,26,0.33339609557419136,-0.3018770786811187,-0.1839012634799343,0.11855003722015162,0.08844585312293574,-0.4543713378026595,0.014385067532039376,0.38461538461538464,0.6538461538461539,1.0
250722t,S2,diagnostic,27,0.4405449916999225,-0.31438314421599295,-0.5881185013565134,-0.06149864447542892,0.17733807783766128,-0.6200941632653246,0.02554392888961393,0.2962962962962963,0.7407407407407407,1.0
250722v,S2,diagnostic,27,0.13008048138508096,-0.11234157700429555,0.013472313551103055,0.1003305507688055,-0.09818478483424863,-0.5454031557354129,-0.010026384753077005,0.5925925925925926,0.5185185185185185,1.0
250722w,S2,diagnostic,29,-0.21918143104358076,-0.376573568630139,-0.45633458167409696,-0.06653287896904919,0.10340695386274064,-0.7435505809557703,-0.006111463495537235,0.5517241379310345,0.6551724137931034,1.0
250722x,S2,diagnostic,25,0.41131104062404605,-0.2726544760588715,-0.00917833803111652,-0.0010498393794841241,0.2087990725827847,-0.46598411505294013,0.019484614652387558,0.24,0.76,1.0
250722y,S2,diagnostic,25,0.47916971093601163,-0.17467285075787192,-0.34208099571928413,-0.0006739883385035061,0.09406906098981252,-0.6067349482727128,0.03842853455334027,0.2916666666666667,0.56,1.0
250722z,S2,diagnostic,23,0.5084098658263297,-0.40843821127954405,-0.41463005603517306,0.060122836148693605,-0.04886985302597326,-0.5601477385454178,0.03450481174423786,0.2608695652173913,0.7391304347826086,1.0
250723a,S2,diagnostic,70,0.581273483910258,-0.29595790781859277,-0.6387030991840951,-0.14231824362978662,0.45034123942665416,-0.6644276184758587,0.15642890977280643,0.2,0.6857142857142857,1.0
