split,video,frame,inherited_id,phi_real,phi_broken,phi_contact_scramble,phi_preordinary,real_minus_broken,real_minus_contact_scramble,real_minus_preordinary
evaluation,V28,1599,2707,0.8878443611544602,0.9817498197500316,0.415708406154881,0.338557214102301,-0.09390545859557142,0.47213595499957917,0.5492871470521592
evaluation,V28,1778,2974,0.7769951153629275,0.2863333997278876,0.7508689296374933,nan,0.4906617156350399,0.026126185725434237,nan
evaluation,V28,2318,3966,0.2951051214815956,0.4376481855494109,0.2951051214815956,0.9581200538325962,-0.14254306406781525,0.0,-0.6630149323510006
evaluation,V28,2668,4546,0.716519240911168,0.3140912196529331,0.24438328591158887,0.2797067256955392,0.40242802125823496,0.47213595499957917,0.4368125152156288
holdout,V33,1227,1419,0.923846484635614,0.46210569434012094,0.923846484635614,0.8195523483253542,0.4617407902954931,0.0,0.10429413631025986
holdout,V33,1437,1665,0.6947715518977403,0.8753772163675915,0.6947715518977403,nan,-0.18060566446985116,0.0,nan
holdout,V33,1745,2014,0.42248749576665445,0.9351660494680016,0.42248749576665445,0.6755928271961298,-0.5126785537013472,0.0,-0.25310533142947533
holdout,V34,313,441,0.8460542537911586,0.746037354636319,0.6818097912092622,0.023485800495042897,0.10001689915483958,0.1642444625818964,0.8225684532961157
holdout,V34,683,966,0.5382480051696463,0.7212256725656827,0.5382480051696463,0.9693229333461049,-0.18297766739603638,0.0,-0.43107492817645854
holdout,V34,726,1017,0.7526833276026461,0.5232782973391772,0.7751807173977747,0.9750360916252385,0.22940503026346892,-0.02249738979512861,-0.2223527640225924
holdout,V34,1305,1871,0.062406366063965546,0.19171275545325206,0.5345423210635447,0.025715891370549082,-0.1293063893892865,-0.47213595499957917,0.036690474693416464
holdout,V34,1882,2765,0.564508044502283,0.797040970397898,0.09237208950270381,0.5135907081487299,-0.23253292589561503,0.47213595499957917,0.05091733635355311
holdout,V34,2626,3839,0.3532513351595341,0.4284270670685435,0.3532513351595341,0.9342988909970542,-0.07517573190900939,0.0,-0.5810475558375201
holdout,V35,235,328,0.7395291685951153,0.761062480129463,0.7883348764053055,nan,-0.021533311534347677,-0.048805707810190224,nan
holdout,V35,252,393,0.559302418501734,0.4419547445923968,0.08716646350215496,0.09622931062733753,0.1173476739093372,0.47213595499957905,0.4630731078743965
holdout,V35,630,986,0.564833950531997,0.42751695678518853,0.564833950531997,0.8745084088185879,0.1373169937468085,0.0,-0.3096744582865909
holdout,V35,1021,1635,0.5439379386220339,0.5323816132620195,0.0718019836224546,nan,0.011556325360014386,0.4721359549995793,nan
