permutation,wrong_lineage_persistence,max_steering_improvement,max_reverse_improvement,loss_lambda_0,reverse_loss_lambda_0,loss_lambda_0.25,reverse_loss_lambda_0.25,loss_lambda_0.5,reverse_loss_lambda_0.5,loss_lambda_0.75,reverse_loss_lambda_0.75,loss_lambda_1,reverse_loss_lambda_1
570,0.06342854698157871,0.00389315329461537,0.0011556676358501772,1.0129406724233436,1.0129406724233436,1.0154973517630037,1.0130855922498754,1.0181873526547625,1.0152060487141612,1.0169073475717518,1.0159208677481832,1.0090475191287283,1.0117850047874934
571,0.06785425728785982,0.0017449312472670453,-0.0021175725020197156,1.0129406724233436,1.0129406724233436,1.0137107232799176,1.0150582449253633,1.0154958485740344,1.019415567818516,1.0153043184971409,1.0231271524552792,1.0111957411760766,1.0228866772950282
572,0.05600322698319259,0.011006055247174462,0.0007268296686471221,1.0129406724233436,1.0129406724233436,1.0139863321236553,1.0134990962612287,1.0144801597739421,1.0152626402791531,1.0111291412091736,1.0157219430301916,1.0019346171761692,1.0122138427546965
573,0.08165067159442163,-0.0035443556806549203,-0.003618289069466485,1.0129406724233436,1.0129406724233436,1.0164850281039985,1.01655896149281,1.0246295470025504,1.0242559853954791,1.0308491504979516,1.0291465677862468,1.028815663678034,1.0248581177325446
574,0.03558455803790563,0.007110408934839718,0.009981897516061267,1.0129406724233436,1.0129406724233436,1.014230369169437,1.0125410738473426,1.0151570757470672,1.0121084676977166,1.0130574172015847,1.0094378253463954,1.005830263488504,1.0029587749072824
575,0.06946003605099035,-5.527119314518991e-05,0.001998336305315984,1.0129406724233436,1.0129406724233436,1.0151747764619614,1.0135888750482203,1.0183328240176979,1.015878240399673,1.0186110464118308,1.0161723477046134,1.0129959436164888,1.0109423361180276
576,0.05563621488189885,-0.0030933969207038725,0.0037246362471328176,1.0129406724233436,1.0129406724233436,1.0160340693440475,1.0133028294034458,1.0206997142278664,1.0153609240027293,1.0225665737179486,1.0150920045481422,1.0177650839973644,1.0092160361762108
577,0.0636933715485001,0.007902564973721438,-0.0044464077732218055,1.0129406724233436,1.0129406724233436,1.0117512578189733,1.0173870801965654,1.0125453022795117,1.0227244061351906,1.011487695035165,1.0243414767278296,1.0050381074496222,1.0184124350858828
578,0.0552394589508942,-0.005621838570877058,0.004432699399550266,1.0129406724233436,1.0129406724233436,1.0185625109942207,1.010734836140126,1.02463471052159,1.0114756644831764,1.0264146208743412,1.0119158757330011,1.0204022864733513,1.0085079730237934
579,0.062151230751459736,-0.006137545425138224,2.753648516762297e-05,1.0129406724233436,1.0129406724233436,1.0190782178484818,1.012913135938176,1.0271589968322934,1.0183113758070637,1.0306744271406711,1.0242416489369637,1.0249440090184248,1.0249409458117207
580,0.07315569635748292,0.0007512266647498045,-0.004056594281088177,1.0129406724233436,1.0129406724233436,1.0139987699222748,1.0169972667044318,1.0176421820702417,1.024098121570247,1.0185436608755893,1.0287217867881377,1.0121894457585938,1.0253544571310138
581,0.0653603622158366,0.037477384611399156,0.022791943500143907,1.0129406724233436,1.0129406724233436,1.0096057574814015,1.0115547456885015,1.0013556538601227,1.0063858356774242,0.9891842923715097,0.998747025863437,0.9754632878119445,0.9901487289231997
582,0.06647853785135766,-0.005255787047030891,-0.0017495116621768503,1.0129406724233436,1.0129406724233436,1.0181964594703745,1.0146901840855205,1.0269731396535173,1.0209343932717623,1.031904158201996,1.0249768756333062,1.0265062609823972,1.0205173344267047
583,0.07097208322936935,0.01791330854469453,0.016771371891922793,1.0129406724233436,1.0129406724233436,1.009487076087202,1.0139271210170209,1.0048501476591116,1.011341485530845,0.9999108541588528,1.0050141822751353,0.9950273638786491,0.9961693005314208
584,0.059757971603984196,0.016095412530591657,0.014026442336139033,1.0129406724233436,1.0129406724233436,1.0137296846977222,1.0120223744408077,1.0127666902153514,1.010625733395172,1.0075848860959637,1.0068512089330608,0.996845259892752,0.9989142300872046
