x_mm,y_mm,z_mm,radius_mm,x_ara,angle_deg,lateral_index,elevation_rank,exact_elevation_tie
787.70396,660.96211,60.70945,1028.2744961610854,0.14137249187940476,40,4,34,False
795.36441,667.38998,50.40956,1038.274496508052,0.19137249366199843,40,5,23,False
803.02485,673.81786,59.73182,1048.27449562245,0.24137248928175026,40,6,31,False
810.6853,680.24573,58.66545,1058.2744959694166,0.29137249106434393,40,7,30,False
818.34574,686.67361,56.18324,1068.274495083815,0.3413724866840969,40,8,28,False
826.00619,693.10149,55.13203,1078.2745018586577,0.39137252060607103,40,9,27,False
833.66663,699.52936,52.65909,1088.2744945451798,0.4413724840864424,40,10,24,False
841.32708,705.95724,49.13812,1098.2745013200224,0.4913725180084166,40,11,21,False
848.98752,712.38512,45.87044,1108.2745004344208,0.5413725136281695,40,12,20,False
856.64796,718.81299,39.5019,1118.274493120943,0.5913724771085409,40,13,14,False
864.30841,725.24087,35.78196,1128.2744998957855,0.6413725110305151,40,14,10,False
871.96885,731.66874,32.74403,1138.2744925823076,0.6913724745108865,40,15,5,False
879.6293,738.09662,32.1125,1148.2744993571503,0.7413725084328605,40,16,3,False
887.28974,744.5245,30.16493,1158.2744984715487,0.7913725040526135,40,17,1,False
894.95019,750.95237,30.62012,1168.2744988185152,0.8413725058352072,40,18,2,False
902.61063,757.38025,33.4849,1178.2744979329136,0.8913725014549602,40,19,8,False
910.27108,763.80812,37.23041,1188.2744982798802,0.9413725032375538,40,20,12,False
917.93152,770.236,40.26132,1198.2744973942783,0.9913724988573057,40,21,15,False
925.59196,776.66388,40.42,1208.2744965086765,1.0413724944770575,40,22,16,False
933.25241,783.09175,36.31684,1218.2744968556433,1.0913724962596523,40,23,11,False
940.91285,789.51963,33.36379,1228.2744959700415,1.1413724918794041,40,24,7,False
948.5733,795.9475,32.58626,1238.274496317008,1.1913724936619978,40,25,4,False
956.23374,802.37538,33.01158,1248.2744954314062,1.2413724892817497,40,26,6,False
963.89419,808.80326,33.70265,1258.274502206249,1.291372523203725,40,27,9,False
971.55463,815.23113,38.18111,1268.2744948927711,1.3413724866840964,40,28,13,False
979.21508,821.65901,40.86887,1278.2745016676138,1.3913725206060705,40,29,17,False
986.87552,828.08688,43.87465,1288.2744943541359,1.441372484086442,40,30,18,False
994.53596,834.51476,45.6529,1298.2744934685343,1.491372479706195,40,31,19,False
1002.19641,840.94264,49.30992,1308.274500243377,1.541372513628169,40,32,22,False
1009.85685,847.37051,53.40946,1318.2744929298992,1.5913724771085416,40,33,25,False
1017.5173,853.79839,54.28094,1328.2744997047419,1.6413725110305155,40,34,26,False
1025.17774,860.22627,57.50017,1338.27449881914,1.6913725066502674,40,35,29,False
1032.83819,866.65414,60.40409,1348.2744991661066,1.741372508432861,40,36,33,False
1048.15908,879.50989,61.50011,1368.2744986274715,1.8413725058352077,40,37,35,False
1055.81952,885.93777,60.34908,1378.2744977418697,1.8913725014549596,40,38,32,False
1063.47996,892.36565,68.67109,1388.274496856268,1.9413724970747115,40,39,36,False
1071.14041,898.79352,75.32392,1398.2744972032344,1.9913724988573052,40,40,38,False
1072.46222,899.90265,78.28715,1399.9999974301252,2.0,40,41,41,True
707.10678,707.10678,74.88514,999.9999983219684,0.0,45,1,39,True
712.26975,712.26975,71.35403,1007.3015405180939,0.03650771130003723,45,2,37,False
719.34082,719.34082,71.34609,1017.3015436125834,0.08650772720993957,45,3,36,False
726.41189,726.41189,75.32466,1027.301546707073,0.13650774311984248,45,4,41,False
733.48296,733.48296,71.36828,1037.3015498015625,0.1865077590297454,45,5,38,False
740.55403,740.55403,68.16196,1047.3015528960518,0.23650777493964717,45,6,34,False
747.62509,747.62509,66.8191,1057.3015418484058,0.2865077201388716,45,7,32,False
754.69616,754.69616,64.94303,1067.3015449428954,0.33650773604877454,45,8,31,False
