elevation_rank,path_type,candidate,increment_ara,local_positive,local_negative,local_score,local_sign,parent_positive,parent_negative,parent_score,parent_sign,local_score_rank_within_candidate,parent_score_rank_within_candidate
15,control,silver_conjugate,0.8284271247461903,0.7199273433868868,0.6777962767765127,0.6777962767765127,-,0.5540028527251646,0.3573881122360115,0.3573881122360115,-,7.0,1.0
15,control,ridge,1.0,0.7952256492887158,0.7952256492887158,0.7952256492887158,+,0.48188431617932026,0.48188431617932026,0.48188431617932026,+,12.0,10.0
16,control,persistence,0.0,0.23646658252405328,0.23646658252405328,0.23646658252405328,+,0.7945491726897473,0.7945491726897473,0.7945491726897473,+,35.0,38.0
16,control,one_third,0.6666666666666666,0.6634028577263894,0.6174213245546863,0.6174213245546863,-,0.45278943552614526,0.3846089177877523,0.3846089177877523,-,10.0,8.0
16,control,one_over_e,0.7357588823428847,0.6894567345412241,0.6542239988637023,0.6542239988637023,-,0.4782075435550861,0.41033380196559577,0.41033380196559577,-,12.0,7.0
16,control,three_eighths,0.75,0.703646195524444,0.6672189653815226,0.6672189653815226,-,0.4365835707711663,0.5048304318109469,0.4365835707711663,+,12.0,13.0
16,control,fibonacci_8_21,0.7619047619047619,0.7056787055147258,0.6690639017621705,0.6690639017621705,-,0.4725976285020037,0.5061191495789076,0.4725976285020037,+,11.0,19.0
16,control,phi,0.7639320225002103,0.7056787055147258,0.6710911623576188,0.6710911623576188,-,0.5106137640763391,0.4738220297763318,0.4738220297763318,-,11.0,18.0
16,control,two_fifths,0.8,0.6996316008907688,0.6820599196726546,0.6820599196726546,-,0.4626261063912558,0.497420908497219,0.4626261063912558,+,8.0,19.0
16,control,silver_conjugate,0.8284271247461903,0.6712044761445786,0.6820599196726546,0.6712044761445786,+,0.5519985893907648,0.5678275259930197,0.5519985893907648,+,6.0,40.0
16,control,ridge,1.0,0.7635334174759467,0.7635334174759467,0.7635334174759467,+,0.4934437536639785,0.4934437536639785,0.4934437536639785,+,7.0,14.0
17,control,persistence,0.0,0.20486545230195707,0.20486545230195707,0.20486545230195707,+,0.29476648590362975,0.29476648590362975,0.29476648590362975,+,31.0,20.0
17,control,one_third,0.6666666666666666,0.6674100073764693,0.5715936526530447,0.5715936526530447,-,0.5348098231701897,0.4583414949420688,0.4583414949420688,-,6.0,20.0
17,control,one_over_e,0.7357588823428847,0.6754890255891318,0.6058692040722637,0.6058692040722637,-,0.5802356251144846,0.36637845470910535,0.36637845470910535,-,5.0,2.0
17,control,three_eighths,0.75,0.6612479079320165,0.6168632743646356,0.6168632743646356,-,0.4953551918489212,0.47689504044949405,0.47689504044949405,-,5.0,25.0
17,control,fibonacci_8_21,0.7619047619047619,0.6549661555543815,0.6287680362693975,0.6287680362693975,-,0.45159885360077956,0.5902059420877431,0.45159885360077956,+,5.0,12.0
17,control,phi,0.7639320225002103,0.6549661555543815,0.6307952968648458,0.6307952968648458,-,0.40497185990546347,0.5537152513696714,0.40497185990546347,+,5.0,6.0
17,control,two_fifths,0.8,0.6771630653560667,0.6572162357796739,0.6572162357796739,-,0.5046448081510788,0.42310495955050453,0.42310495955050453,-,5.0,9.0
17,control,silver_conjugate,0.8284271247461903,0.7018121539274611,0.6706134509632217,0.6706134509632217,-,0.518439397397144,0.5825377859151022,0.518439397397144,+,5.0,33.0
17,control,ridge,1.0,0.7951345476980429,0.7951345476980429,0.7951345476980429,+,0.48535447060303405,0.48535447060303405,0.48535447060303405,+,11.0,12.0
18,control,persistence,0.0,0.5083235635435607,0.5083235635435607,0.5083235635435607,+,0.4044936139224684,0.4044936139224684,0.4044936139224684,+,41.0,24.0
18,control,one_third,0.6666666666666666,0.5571487928816728,0.5939332871648468,0.5571487928816728,+,0.4581592048328147,0.3644179565878025,0.3644179565878025,-,3.0,3.0
18,control,one_over_e,0.7357588823428847,0.5848061521389417,0.5391406692345518,0.5391406692345518,-,0.3882455055598114,0.5179607035474126,0.3882455055598114,+,1.0,6.0
18,control,three_eighths,0.75,0.5848061521389417,0.5248995515774365,0.5248995515774365,-,0.47631362194373317,0.38623097353881075,0.38623097353881075,-,1.0,2.0
18,control,fibonacci_8_21,0.7619047619047619,0.5848061521389417,0.5129947896726746,0.5129947896726746,-,0.5234262610475924,0.37895738111647925,0.37895738111647925,-,1.0,3.0
18,control,phi,0.7639320225002103,0.5848061521389417,0.5109675290772263,0.5109675290772263,-,0.49720584715580773,0.32016682384847495,0.32016682384847495,-,1.0,2.0
18,control,two_fifths,0.8,0.5848061521389417,0.47489955157743646,0.47489955157743646,-,0.4310558633067689,0.4274287829208522,0.4274287829208522,-,1.0,11.0
18,control,silver_conjugate,0.8284271247461903,0.5848061521389417,0.48815115949471743,0.48815115949471743,-,0.5416825404986908,0.4423284115120525,0.4423284115120525,-,1.0,12.0
18,control,ridge,1.0,0.4916764364564393,0.4916764364564393,0.4916764364564393,+,0.5445432713164828,0.5445432713164828,0.5445432713164828,+,1.0,24.0
19,control,persistence,0.0,0.17209523453485365,0.17209523453485365,0.17209523453485365,+,0.40658335359084163,0.40658335359084163,0.40658335359084163,+,25.0,25.0
19,control,one_third,0.6666666666666666,0.5789710083088926,0.5602316671194997,0.5602316671194997,-,0.43156913057999247,0.4442651805992952,0.43156913057999247,+,4.0,16.0
19,control,one_over_e,0.7357588823428847,0.6480632239851106,0.6069164999652376,0.6069164999652376,-,0.45930432023668666,0.4648116365105215,0.45930432023668666,+,6.0,19.0
19,control,three_eighths,0.75,0.662304341642226,0.6211576176223529,0.6211576176223529,-,0.4532800054978954,0.592847655808135,0.4532800054978954,+,6.0,21.0
