source_file,date,split,burst,recording_fraction,fps,feature,scale_frames,scale_seconds,amount,persistence,retained_dispersion,reversal_asymmetry,abs_reversal_asymmetry,valid_blocks,total_blocks
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,512,5.122048819527811,0.9337131768094101,0.3696969696969697,0.45821138108436466,-0.2830394750968672,0.2830394750968672,11,11
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_span,1024,10.244097639055623,0.9336032308534701,0.19999999999999998,0.30592118866306434,0.916994776938962,0.916994776938962,5,5
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,1,0.010004001600640256,0.03515251411389167,0.3064001550291461,1.0,-0.0012349956019073445,0.0012349956019073445,5997,5998
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,2,0.020008003201280513,0.04309703096821737,0.3562219795447193,1.404505628896961,0.002310103691910114,0.002310103691910114,2999,2999
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,4,0.040016006402561026,0.16395287880617046,0.39883581722505745,7.668519988353949,0.005778596563688156,0.005778596563688156,1499,1499
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,8,0.08003201280512205,0.19569839596276092,0.39512899057730383,8.916817517640284,0.04036502394295501,0.04036502394295501,749,749
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,16,0.1600640256102441,0.22176917361891896,0.34447627297284666,7.4558733661308905,0.06896463811967163,0.06896463811967163,374,374
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,32,0.3201280512204882,0.24162920818233155,0.23225153737487703,5.995942639460949,0.09627437803402936,0.09627437803402936,187,187
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,64,0.6402561024409764,0.24242065980487376,0.15349166962070188,4.423868288662379,0.07246388427586403,0.07246388427586403,93,93
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,128,1.2805122048819528,0.2607769194951098,-0.00909090909090909,3.8856304353085687,0.006011577850886718,0.006011577850886718,46,46
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,256,2.5610244097639057,0.24776013573815203,0.16205533596837948,2.91947733580921,0.07982708317489273,0.07982708317489273,23,23
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,512,5.122048819527811,0.26018212095371046,0.4666666666666666,2.545314829488606,-0.7916692116009059,0.7916692116009059,11,11
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,articulation_speed,1024,10.244097639055623,0.25415618114995975,0.7999999999999999,2.0111792880617467,-0.9966111701548771,0.9966111701548771,5,5
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,1,0.010004001600640256,0.001304349361750203,0.17573446193283013,1.0,0.013377061366757268,0.013377061366757268,5997,5998
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,2,0.020008003201280513,0.009435176564143983,0.21411737803901773,0.8323704886280052,-0.037107945967662904,0.037107945967662904,2999,2999
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,4,0.040016006402561026,0.0033778076759960578,0.23832031559256342,0.6161395297572309,0.03567036887063792,0.03567036887063792,1499,1499
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,8,0.08003201280512205,0.001993560968587889,0.25677322509479494,0.4579752691201436,0.05176462704882803,0.05176462704882803,749,749
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,16,0.1600640256102441,0.0005141850591448453,0.2039852822089266,0.38589583189060955,0.10729701020742084,0.10729701020742084,374,374
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,32,0.3201280512204882,0.0012675932891432274,0.28114542004485077,0.2721282457242584,-0.1564127963611911,0.1564127963611911,187,187
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,64,0.6402561024409764,0.00030951344504527714,0.29254196014364314,0.170258060474192,0.0606768819311363,0.0606768819311363,93,93
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,128,1.2805122048819528,0.005880804303770562,0.48339920948616594,0.18580920763996767,-0.08195046277281604,0.08195046277281604,46,46
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,256,2.5610244097639057,0.011350584941007005,0.3156408808582722,0.17931731287605443,0.012299196923231758,0.012299196923231758,23,23
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,512,5.122048819527811,0.013773830241689832,0.6363636363636362,0.10583499888753166,0.8314278494745432,0.8314278494745432,11,11
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,lr_articulation_balance,1024,10.244097639055623,0.018192656108292606,1.0,0.08164540994763825,1.0,1.0,5,5
20220326_cam4_flid31.h5,20220326,development,q1,0.125,99.96,traversal_speed,1,0.010004001600640256,0.01655674764455205,0.18505846119297809,1.0,0.011936403348741775,0.011936403348741775,5997,5998
20220326_cam4_flid31.h5,20220326,development,q1,0.125,99.96,traversal_speed,2,0.020008003201280513,0.01885996684399711,0.236123967755024,0.9798461809605319,-0.01784239024622899,0.01784239024622899,2998,2999
20220326_cam4_flid31.h5,20220326,development,q1,0.125,99.96,traversal_speed,4,0.040016006402561026,0.021389452979502652,0.2713412982194085,0.9814942081180473,-0.047762798797285795,0.047762798797285795,1498,1499
20220326_cam4_flid31.h5,20220326,development,q1,0.125,99.96,traversal_speed,8,0.08003201280512205,0.023899053062030454,0.2655260955863034,0.9906286571650316,-0.2024365802926404,0.2024365802926404,749,749
20220326_cam4_flid31.h5,20220326,development,q1,0.125,99.96,traversal_speed,16,0.1600640256102441,0.025149526956710605,0.23251973263419506,0.849331403569492,-0.11171676154625462,0.11171676154625462,374,374
20220326_cam4_flid31.h5,20220326,development,q1,0.125,99.96,traversal_speed,32,0.3201280512204882,0.02663104436937827,0.18373436400001864,0.6846395314468006,0.06481081561868231,0.06481081561868231,187,187
