route_id,split,control,lag,source_pair,endpoint,destination_pair,flip,shape_error,weight
c2-0-96-56-8,development,time,6,7-8,8,2-7,Fx,0.9325148601948325,0.0006453498267471325
c2-0-116-40-4,development,exact,0,4-7,4,4-9,I,0.8276149838305629,0.0012785512659735931
c2-0-116-40-4,development,exact,1,4-7,4,4-9,I,0.8349894761828796,0.0012785512659735931
c2-0-116-40-4,development,exact,2,4-7,4,4-9,I,0.8620818434992576,0.0012785512659735931
c2-0-116-40-4,development,exact,3,4-7,4,4-9,I,0.8812843025696779,0.0012785512659735931
c2-0-116-40-4,development,exact,4,4-7,4,4-9,I,0.9133417874669584,0.0012785512659735931
c2-0-116-40-4,development,exact,5,4-7,4,5-9,Fz,0.9029903243501484,0.0012785512659735931
c2-0-116-40-4,development,exact,6,4-7,4,5-9,Fz,0.9162827505260921,0.0012785512659735931
c2-0-116-40-4,development,seed,0,4-7,4,6-10,Fz,0.9003249577017928,0.0012785512659735931
c2-0-116-40-4,development,seed,1,4-7,4,6-9,Fz,0.9018954629205136,0.0012785512659735931
c2-0-116-40-4,development,seed,2,4-7,4,6-9,Fz,0.9048333270691891,0.0012785512659735931
c2-0-116-40-4,development,seed,3,4-7,4,6-9,Fz,0.9205372834311004,0.0012785512659735931
c2-0-116-40-4,development,seed,4,4-7,4,7-9,I,0.9322832134559381,0.0012785512659735931
c2-0-116-40-4,development,seed,5,4-7,4,7-9,I,0.925516874549295,0.0012785512659735931
c2-0-116-40-4,development,seed,6,4-7,4,7-9,I,0.8994722288897341,0.0012785512659735931
c2-0-116-40-4,development,time,0,4-7,4,3-4,I,0.9038433675766298,0.0012785512659735931
c2-0-116-40-4,development,time,1,4-7,4,3-4,I,0.9337228573940171,0.0012785512659735931
c2-0-116-40-4,development,time,2,4-7,4,2-5,Fz,0.947765031139929,0.0012785512659735931
c2-0-116-40-4,development,time,3,4-7,4,3-5,Fz,0.9351630167576622,0.0012785512659735931
c2-0-116-40-4,development,time,4,4-7,4,3-5,Fz,0.9208839249724243,0.0012785512659735931
c2-0-116-40-4,development,time,5,4-7,4,2-5,Fz,0.9269341856642022,0.0012785512659735931
c2-0-116-40-4,development,time,6,4-7,4,2-5,Fz,0.905798675544436,0.0012785512659735931
c2-0-130-36-10,development,exact,0,3-10,10,4-8,I,0.9432154083964184,4.5333049548762494e-05
c2-0-130-36-10,development,exact,1,3-10,10,4-8,I,0.9329199362458148,4.5333049548762494e-05
c2-0-130-36-10,development,exact,2,3-10,10,4-8,I,0.940744785858232,4.5333049548762494e-05
c2-0-130-36-10,development,exact,3,3-10,10,4-8,I,0.9419654574696443,4.5333049548762494e-05
c2-0-130-36-10,development,exact,4,3-10,10,4-8,I,0.9532891723526563,4.5333049548762494e-05
c2-0-130-36-10,development,exact,5,3-10,10,4-10,I,0.9635214273521134,4.5333049548762494e-05
c2-0-130-36-10,development,exact,6,3-10,10,4-10,I,0.9662565977450029,4.5333049548762494e-05
c2-0-130-36-10,development,seed,0,3-10,10,0-7,I,0.9431506284440057,4.5333049548762494e-05
c2-0-130-36-10,development,seed,1,3-10,10,0-9,I,0.9571496129444012,4.5333049548762494e-05
c2-0-130-36-10,development,seed,2,3-10,10,0-6,I,0.9615437793699371,4.5333049548762494e-05
c2-0-130-36-10,development,seed,3,3-10,10,6-11,Fz,0.9497934407579838,4.5333049548762494e-05
c2-0-130-36-10,development,seed,4,3-10,10,6-11,Fz,0.9436882978200067,4.5333049548762494e-05
c2-0-130-36-10,development,seed,5,3-10,10,6-11,Fz,0.9134094707329171,4.5333049548762494e-05
c2-0-130-36-10,development,seed,6,3-10,10,6-11,Fz,0.9218736639427428,4.5333049548762494e-05
c2-0-130-36-10,development,time,0,3-10,10,1-6,Fz,0.9248700811964535,4.5333049548762494e-05
