entity,entity_type,replicate,s1,s2,s3,retained,determinant,closure,balance,relation_dominance
Bell-uniform-mixed,equal_weight_reconstruction,195,0.11028203719054554,0.07310571260877025,0.03017747832876004,0,-0.00024329828161168948,0.06242803720436203,0.2736391083945913,0.564806915822609
Phi-plus,physically_prepared,196,0.9896772675455976,0.9531457443229953,0.8823023604155145,3,-0.8322817066666665,0.9406400148177974,0.891505129347496,0.9867434473428561
Phi-minus,physically_prepared,196,1.1452319530065105,1.0596271337113905,0.6712957750243005,3,-0.8146300781250001,0.9339425176826794,0.5861657747690212,0.9761049163341663
Psi-plus,physically_prepared,196,1.034028146220478,0.9701200603853183,0.7274836316703275,3,-0.7297617085802469,0.9003133512095605,0.703543355497029,0.977140698705715
Psi-minus,physically_prepared,196,0.9557651338064413,0.8796844013528721,0.8043964871703195,3,-0.6763137855555555,0.8777740685215378,0.8416256868114876,0.9776634769393555
Phi-classical,equal_weight_reconstruction,196,0.9421479447747401,0.1137138483795723,0.05835555274147128,1,0.0062519378139467684,0.18422061021183964,0.06193884205248,0.9663840829666642
Psi-classical,equal_weight_reconstruction,196,0.9391271311120469,0.14351452156239863,0.03353435597950329,1,-0.004519706203703705,0.16533700577712332,0.03570800466577333,0.9718678918722337
Bell-uniform-mixed,equal_weight_reconstruction,196,0.16386881736552714,0.13308371877304778,0.08020989472930642,0,0.0017492391697410314,0.12048964678049075,0.4894762531323429,0.8563357039310237
Phi-plus,physically_prepared,197,1.017460222058219,0.9350416278605745,0.8674115709472269,3,-0.8252273185185184,0.9379748609754188,0.8525262729117224,0.9866726954430817
Phi-minus,physically_prepared,197,1.0710701203064443,0.9757647398164769,0.8610235195205895,3,-0.8998664062500003,0.9654416106315596,0.8038908967736321,0.9958370500898732
Psi-plus,physically_prepared,197,1.0331467775171208,0.9543922857251173,0.8012474336578329,3,-0.7900518552469135,0.9244537725633868,0.7755407567387539,0.9963453981744332
Psi-minus,physically_prepared,197,0.968578663250969,0.8625757835543054,0.815612210203848,3,-0.6814215717901235,0.8799782931070051,0.842071213365676,0.9712453301417158
Phi-classical,equal_weight_reconstruction,197,0.9486020986067504,0.09152079887682048,0.02680436861284082,1,-0.0023270700954861156,0.1325164587692408,0.02825670389324403,0.9871939073086248
Psi-classical,equal_weight_reconstruction,197,0.9224833721802495,0.07651842084726129,0.053007784576796724,1,-0.0037416589472415132,0.15524635049749447,0.05746204882968798,0.9818281073283172
Bell-uniform-mixed,equal_weight_reconstruction,197,0.1273718455314657,0.04213734920397743,0.002820491368906626,0,-1.5137892885561426e-05,0.024737462145002956,0.02214375835678582,0.6905661562716924
Phi-plus,physically_prepared,198,1.0469863002124924,0.92938964169289,0.7751497004568572,3,-0.7542657896296296,0.9102795862849877,0.7403627920437313,0.9807820156107091
Phi-minus,physically_prepared,198,1.0018657954792618,0.9727703358379153,0.892430838531758,3,-0.8697499999999999,0.954548821536945,0.8907688460457386,0.9773147818660595
Psi-plus,physically_prepared,198,0.9633863512605192,0.9200371438138911,0.7850975299075776,3,-0.6958721589506174,0.8861552614589994,0.8149352841467352,0.9962222637866484
Psi-minus,physically_prepared,198,0.9233822434507948,0.8968577870392237,0.8218329936970806,3,-0.6805948755555556,0.8796222877797116,0.8900246886119318,0.9847201627060779
Phi-classical,equal_weight_reconstruction,198,0.9306237230177097,0.09817757701804235,0.03351350183584716,1,0.0030620074189814848,0.14521185707783266,0.03601187140079966,0.9469220905045275
Psi-classical,equal_weight_reconstruction,198,0.9014604130043341,0.09953985491298116,0.03002610813100536,1,-0.0026942798765432134,0.13914926044215273,0.033308293628708685,0.9920776323528979
Bell-uniform-mixed,equal_weight_reconstruction,198,0.08310361771357085,0.04457662172736565,0.01998159790741511,0,7.402140046296296e-05,0.04198741128061228,0.2404419742144644,0.4002830981597057
Phi-plus,physically_prepared,199,1.0016815798981678,0.9493187073290081,0.877011471461211,3,-0.8339634182716049,0.9412731421817256,0.8755391823720758,0.9907200370401446
Phi-minus,physically_prepared,199,1.0663029922295983,0.9758397181057586,0.79831683768381,3,-0.8306812499999999,0.9400366856061187,0.7486772929470641,0.9695523078017211
Psi-plus,physically_prepared,199,1.0117650420123607,0.9716857733995449,0.724423836280731,3,-0.7121938938271604,0.8930300685498391,0.716000065430093,0.9903847362517703
