layer,entity,axis_a,axis_b,slot,joint_value,independent_child_product,connected_relation,ara9_coordinate
physical,Psi-plus,Z,Z,ZZ,-0.8798295193895445,9.700813320108439e-05,-0.8799265275227456,1.8799265275227457
physical,Psi-minus,X,X,XX,-0.820491232240311,0.0006257003691964139,-0.8211169326095074,1.8211169326095074
physical,Psi-minus,X,Y,XY,-0.0652284724720513,0.0004590253303156537,-0.06568749780236695,1.065687497802367
physical,Psi-minus,X,Z,XZ,0.22812134127297645,0.0003555575783379568,0.22776578369463849,0.7722342163053615
physical,Psi-minus,Y,X,YX,0.09415775649211142,-0.005259521549821766,0.09941727804193318,0.9005827219580669
physical,Psi-minus,Y,Y,YY,-0.866960199796564,-0.0038584820076258824,-0.8631017177889382,1.8631017177889382
physical,Psi-minus,Y,Z,YZ,0.015253443190952804,-0.0029887512258825154,0.01824219441683532,0.9817578055831647
physical,Psi-minus,Z,X,ZX,-0.31737723132044043,-0.00952360663187038,-0.30785362468857,1.30785362468857
physical,Psi-minus,Z,Y,ZY,-0.039748055220875114,-0.006986693464165701,-0.03276136175670941,1.0327613617567095
physical,Psi-minus,Z,Z,ZZ,-0.8462213597327767,-0.005411840359659715,-0.840809519373117,1.840809519373117
physical,Phi-classical,X,X,XX,-0.013222366522943181,-0.0005195523173605887,-0.012702814205582592,1.0127028142055825
physical,Phi-classical,X,Y,XY,0.0351255006369801,0.0002752253074850051,0.03485027532949509,0.9651497246705049
physical,Phi-classical,X,Z,XZ,-0.03408721454787181,0.00040786561079553675,-0.03449508015866735,1.0344950801586674
physical,Phi-classical,Y,X,YX,0.05463837561767733,0.0007038503608961658,0.05393452525678116,0.9460654747432189
physical,Phi-classical,Y,Y,YY,-0.0054677861038321465,-0.00037285452403560716,-0.005094931579796539,1.0050949315797966
physical,Phi-classical,Y,Z,YZ,-0.038262520699754235,-0.0005525456200714661,-0.03770997507968277,1.0377099750796828
physical,Phi-classical,Z,X,ZX,0.04957757500525796,-0.0012453054713947227,0.05082288047665268,0.9491771195233473
physical,Phi-classical,Z,Y,ZY,0.010980844082952995,0.0006596825186317044,0.01032116156432129,0.9896788384356787
physical,Phi-classical,Z,Z,ZZ,0.9345826784232767,0.0009776056419067394,0.93360507278137,0.06639492721863005
physical,Psi-classical,X,X,XX,-0.0008280694583224918,0.00169496879526943,-0.002523038253591922,1.002523038253592
physical,Psi-classical,X,Y,XY,0.056718924012245556,0.0004073649263186003,0.05631155908592696,0.943688440914073
physical,Psi-classical,X,Z,XZ,0.23712485844050565,0.0018455154059090592,0.2352793430345966,0.7647206569654034
physical,Psi-classical,Y,X,YX,-0.07018586671779765,-0.00010377239628324058,-0.07008209432151441,1.0700820943215144
physical,Psi-classical,Y,Y,YY,-0.025780290155133598,-2.49404205456816e-05,-0.025755349734587915,1.025755349734588
physical,Psi-classical,Y,Z,YZ,0.014771321683316916,-0.00011298942882212633,0.014884311112139042,0.9851156888878609
physical,Psi-classical,Z,X,ZX,-0.05900084534921339,-0.002188211531243624,-0.05681263381796977,1.0568126338179697
physical,Psi-classical,Z,Y,ZY,-0.017710954685435994,-0.0005259097581515502,-0.017185044927284444,1.0171850449272843
physical,Psi-classical,Z,Z,ZZ,-0.8630254395611605,-0.0023825678110233443,-0.8606428717501372,1.8606428717501373
physical,Bell-uniform-mixed,X,X,XX,-0.007025217990632833,0.0002311140599114008,-0.007256332050544234,1.0072563320505443
physical,Bell-uniform-mixed,X,Y,XY,0.04592221232461283,0.0003619962042872138,0.04556021612032561,0.9544397838796744
physical,Bell-uniform-mixed,X,Z,XZ,0.10151882194631694,0.0009973414885347102,0.10052148045778223,0.8994785195422178
physical,Bell-uniform-mixed,Y,X,YX,-0.007773745550060163,-0.00011172358313816082,-0.007662021966922001,1.007662021966922
physical,Bell-uniform-mixed,Y,Y,YY,-0.015624038129482869,-0.0001749937370356675,-0.015449044392447202,1.015449044392447
physical,Bell-uniform-mixed,Y,Z,YZ,-0.011745599508218659,-0.0004821280226489073,-0.011263471485569752,1.0112634714855697
physical,Bell-uniform-mixed,Z,X,ZX,-0.004711635171977712,-2.0177325034339985e-05,-0.004691457846943372,1.0046914578469435
physical,Bell-uniform-mixed,Z,Y,ZY,-0.0033650553012415,-3.1603940832939945e-05,-0.00333345136040856,1.0033334513604086
physical,Bell-uniform-mixed,Z,Z,ZZ,0.035778619431058145,-8.707251905016886e-05,0.03586569195010832,0.9641343080498916
