branch,split,child,record_index,residual_axis_1,predicted_survivor
AB,holdout,C10,4,0.17120498950112722,C10
AB,holdout,C10,5,0.16949181414785053,C10
AB,holdout,C10,6,0.13659181640988693,C10
AB,holdout,C10,7,0.3004396731976854,C10
AB,holdout,C10,8,0.28470411273004553,C10
AB,holdout,C10,9,0.19608997201651313,C10
AB,holdout,C10,10,0.2647482234584046,C10
AB,holdout,C10,11,0.19003191036597017,C10
AB,holdout,C10,12,0.21380049858201994,C10
AB,holdout,C10,13,0.23449263222937494,C10
AB,holdout,C10,14,0.1475129250067256,C10
AB,holdout,C10,15,0.23826089218481267,C10
AB,holdout,C10,16,0.22037004598721088,C10
AB,holdout,C10,17,0.2224477472022641,C10
AB,holdout,C10,18,0.1598066169295836,C10
AB,holdout,C10,19,0.2265234834074713,C10
AB,holdout,C10,20,0.1948958938191705,C10
AB,holdout,C10,21,0.1463793093613431,C10
AB,holdout,C10,22,0.16066096697359872,C10
AB,holdout,C10,23,0.14614419415957605,C10
AB,holdout,C10,24,0.21025167232361092,C10
AB,holdout,C10,25,0.10314612381893369,C10
AB,holdout,C10,26,0.22616451838462803,C10
AB,holdout,C10,27,0.09855148039786318,C10
