entity,entity_type,replicate,s1,s2,s3,chsh_smax,retained_axes_at_0p50
Phi-classical,equal_weight_reconstruction,3031,0.9228924601974829,0.07296581546757643,0.025375455227201093,1.8515447640456453,1
Psi-classical,equal_weight_reconstruction,3031,0.8857384230007282,0.0681012946693082,0.011977518851095624,1.7767051981861852,1
Bell-uniform-mixed,equal_weight_reconstruction,3031,0.09283196675895915,0.039981242658158334,0.003057530565288138,0.20215116934439964,0
Phi-plus,physically_prepared,3032,0.9876324430172131,0.91538456929887,0.9057463543381454,2.6932112818794045,3
Phi-minus,physically_prepared,3032,0.9434423984843114,0.9225292184146929,0.8716156095185604,2.6390480996652217,3
Psi-plus,physically_prepared,3032,0.9228216033015173,0.9008267161348985,0.8267201382550626,2.579215759894754,3
Psi-minus,physically_prepared,3032,0.9732873841062237,0.880008638214132,0.8689403409116117,2.624274021813901,3
Phi-classical,equal_weight_reconstruction,3032,0.9321499444285705,0.12209706638534583,0.09310322860344174,1.8802246807422718,1
Psi-classical,equal_weight_reconstruction,3032,0.9067922948452638,0.03976832765256386,0.031663561603147705,1.8153278336157594,1
Bell-uniform-mixed,equal_weight_reconstruction,3032,0.15333897762761617,0.03900770863387938,0.035387217959070544,0.3164455301801446,0
Phi-plus,physically_prepared,3033,0.9981897669441413,0.9055036722345403,0.9041399304196635,2.695418120635266,3
Phi-minus,physically_prepared,3033,0.9820979600256154,0.830783817964007,0.8129651102179258,2.572716972601011,3
Psi-plus,physically_prepared,3033,0.9293978405396028,0.8664148944503516,0.7960294869857694,2.54122420524053,3
Psi-minus,physically_prepared,3033,0.9365385789820619,0.8548670725966472,0.8170461082852644,2.53606168831257,3
Phi-classical,equal_weight_reconstruction,3033,0.9008263186416414,0.10891774103458852,0.025129715615516194,1.8147739591139496,1
Psi-classical,equal_weight_reconstruction,3033,0.899536058494486,0.08099215708721141,0.04905436619814419,1.8063497446966743,1
Bell-uniform-mixed,equal_weight_reconstruction,3033,0.121077754424227,0.018354855474637412,0.014523554494426197,0.24492221896682423,0
Phi-plus,physically_prepared,3034,0.9694097556972351,0.8865996336901695,0.8572958542781434,2.6274049439707734,3
Phi-minus,physically_prepared,3034,0.9832498581162076,0.8791484499426142,0.8651082523987118,2.6379403181437167,3
Psi-plus,physically_prepared,3034,0.9263468592329311,0.9134898168382888,0.8420495466250453,2.6019855103962177,3
Psi-minus,physically_prepared,3034,0.9444004177142614,0.8571759130218993,0.8226604780825263,2.5507980671498074,3
Phi-classical,equal_weight_reconstruction,3034,0.9113801416332372,0.048244887829455026,0.011503263452003755,1.8253123916361234,1
Psi-classical,equal_weight_reconstruction,3034,0.9063480003208114,0.06894667319254226,0.04170314463658421,1.8179332676749747,1
Bell-uniform-mixed,equal_weight_reconstruction,3034,0.12459666087489464,0.012866541678917862,0.0048876854932508535,0.2505184687479055,0
Phi-plus,physically_prepared,3035,0.9799080550451931,0.9019931790133815,0.881972690645018,2.663690290802682,3
Phi-minus,physically_prepared,3035,0.9689635272806606,0.8978682174379825,0.8894299752452539,2.642012606393421,3
Psi-plus,physically_prepared,3035,0.9539914883614542,0.8406894057098079,0.7960147619093261,2.5431149692759174,3
Psi-minus,physically_prepared,3035,0.9492020224260364,0.8777129441598195,0.8495300131932991,2.5856252564696036,3
Phi-classical,equal_weight_reconstruction,3035,0.9258288121202104,0.08879886099645819,0.03601976566916405,1.8601550764021673,1
Psi-classical,equal_weight_reconstruction,3035,0.914857228464816,0.06391166100044374,0.04383793079370259,1.8341738727679666,1
Bell-uniform-mixed,equal_weight_reconstruction,3035,0.1277179303321087,0.022430485941382517,0.004510898430327497,0.2593453020810976,0
Phi-plus,physically_prepared,3036,0.9449140253530252,0.8938787101324974,0.8441087935003079,2.6014470309710287,3
Phi-minus,physically_prepared,3036,0.9716467277136764,0.8250228355266624,0.797680926971301,2.5493215117886954,3
Psi-plus,physically_prepared,3036,0.940111717575759,0.8948462312758946,0.8367658794137981,2.5958118723450783,3
Psi-minus,physically_prepared,3036,0.9137353801521221,0.8676794049908638,0.7895761870279205,2.520142769596233,3
Phi-classical,equal_weight_reconstruction,3036,0.8956614761423302,0.07414457911759444,0.026638080516402787,1.797450303577802,1
Psi-classical,equal_weight_reconstruction,3036,0.8752390844420695,0.0686358654873261,0.029529195437519355,1.7558523137965636,1
Bell-uniform-mixed,equal_weight_reconstruction,3036,0.13690032813104128,0.01964185214893228,0.012852228139898737,0.27660442656058337,0
Phi-plus,physically_prepared,3037,0.9821951431532516,0.9221855711860064,0.9139367979802678,2.694537828227689,3
Phi-minus,physically_prepared,3037,0.9855779729471604,0.8934055215219951,0.8882628056065422,2.6604791798806633,3
Psi-plus,physically_prepared,3037,0.9339781816088073,0.8825915353622398,0.8165951975590025,2.5700451840497824,3
Psi-minus,physically_prepared,3037,0.9127409347895581,0.8464747580507129,0.8358090547604312,2.4896710867562644,3
Phi-classical,equal_weight_reconstruction,3037,0.936891175034384,0.030109576452504894,0.012475943049851555,1.874749754448799,1
Psi-classical,equal_weight_reconstruction,3037,0.8923535927722123,0.04959384446453341,0.03331517648732879,1.7874613102859012,1
Bell-uniform-mixed,equal_weight_reconstruction,3037,0.11747686149131732,0.015870062667921722,0.004123410512449718,0.2370879319993653,0
Phi-plus,physically_prepared,3038,0.990145349677435,0.9026708503745783,0.8963581283010761,2.679703325074486,3
