condition,state,wait_index,wait_us,visible_u,parent_transverse_radius,previous_v,following_v,actual_hidden_v,inferred_magnitude,temporal_direction_lock,ara_information3_fill,zero_fill,time_only_fill,positive_branch_only_fill,ara_abs_error,zero_abs_error,time_only_abs_error,positive_branch_abs_error,ara_sign_correct,magnitude_within_parent
Ramsey,Psi-minus,8,32.02,-0.050294745934901755,0.05479460880823829,-0.07929282914967471,-0.0003745105744876742,0.01648197259856264,0.021745980911229295,-0.03983366986208119,-0.021745980911229295,0.0,-0.03983366986208119,0.021745980911229295,0.03822795350979194,0.01648197259856264,0.056315642460643835,0.0052640083126666536,False,True
Ramsey,Psi-minus,9,36.02,0.005604687302715402,0.035803762634487236,0.01648197259856264,-0.03167827542742766,-0.0003745105744876742,0.03536236557451276,-0.00759815141443251,-0.03536236557451276,0.0,-0.00759815141443251,0.03536236557451276,0.03498785500002508,0.0003745105744876742,0.007223640839944836,0.03573687614900043,True,True
Hahn,Phi-plus,1,1.99,0.9427553372478498,0.9086282106093448,-0.008610081627877839,-0.10191087382044092,-0.06015081734172137,0.0,-0.05526047772415938,-0.0,0.0,-0.05526047772415938,0.0,0.06015081734172137,0.06015081734172137,0.004890339617561988,0.06015081734172137,False,True
Hahn,Phi-plus,2,3.98,0.9507372331219257,0.9196600631598231,-0.06015081734172137,-0.038905517920582805,-0.10191087382044092,0.0,-0.04952816763115209,-0.0,0.0,-0.04952816763115209,0.0,0.10191087382044092,0.10191087382044092,0.052382706189288836,0.10191087382044092,False,True
Hahn,Phi-plus,3,7.94,0.9469445709536325,0.9255749077063977,-0.10191087382044092,-0.12647868606655016,-0.038905517920582805,0.0,-0.11419477994349554,-0.0,0.0,-0.11419477994349554,0.0,0.038905517920582805,0.038905517920582805,0.07528926202291274,0.038905517920582805,False,True
Hahn,Phi-plus,4,15.85,0.9178582006815325,0.9050195756881348,-0.038905517920582805,-0.26233224794782645,-0.12647868606655016,0.0,-0.1506188829342046,-0.0,0.0,-0.1506188829342046,0.0,0.12647868606655016,0.12647868606655016,0.02414019686765445,0.12647868606655016,False,True
Hahn,Phi-plus,5,31.62,0.7970971784006211,0.8397831155293707,-0.12647868606655016,-0.6645436883993288,-0.26233224794782645,0.26433268680582195,-0.39551118723293943,-0.26433268680582195,0.0,-0.39551118723293943,0.26433268680582195,0.0020004388579955013,0.26233224794782645,0.13317893928511298,0.5266649347536484,True,True
Hahn,Phi-plus,6,63.09,0.34794396444346304,0.7402046659196037,-0.26233224794782645,-0.4012033098171557,-0.6645436883993288,0.6533283592930267,-0.3317677788824911,-0.6533283592930267,0.0,-0.3317677788824911,0.6533283592930267,0.011215329106302074,0.6645436883993288,0.33277590951683766,1.3178720476923553,True,True
Hahn,Phi-plus,7,125.89,-0.5399710819531969,0.6730834177906893,-0.6645436883993288,0.2654482858440721,-0.4012033098171557,0.4018364318464535,-0.19954770127762833,-0.4018364318464535,0.0,-0.19954770127762833,0.4018364318464535,0.0006331220292978279,0.4012033098171557,0.20165560853952735,0.8030397416636093,True,True
Hahn,Phi-plus,8,251.19,-0.2321216833465909,0.3524052524401786,-0.4012033098171557,0.035576647652543376,0.2654482858440721,0.26515841692801495,-0.18281333108230616,-0.26515841692801495,0.0,-0.18281333108230616,0.26515841692801495,0.5306067027720871,0.2654482858440721,0.4482616169263782,0.0002898689160571455,False,True
Hahn,Phi-plus,9,501.18,-0.10069269684860782,0.11398694915926008,0.2654482858440721,-0.06739014469923016,0.035576647652543376,0.05342289190964962,0.09902907057242097,0.05342289190964962,0.0,0.09902907057242097,0.05342289190964962,0.017846244257106243,0.035576647652543376,0.0634524229198776,0.017846244257106243,True,True
Hahn,Phi-minus,1,1.99,-0.9359448561259683,0.9177361938835291,0.053805245914769324,0.14919423764857914,0.05735725564211279,0.0,0.10149974178167423,0.0,0.0,0.10149974178167423,0.0,0.05735725564211279,0.05735725564211279,0.04414248613956144,0.05735725564211279,True,True
Hahn,Phi-minus,2,3.98,-0.9526866680463781,0.9536033047689498,0.05735725564211279,-0.05307594276393231,0.14919423764857914,0.04180161950155492,0.002140656439090241,0.04180161950155492,0.0,0.002140656439090241,0.04180161950155492,0.10739261814702422,0.14919423764857914,0.14705358120948891,0.10739261814702422,True,True
Hahn,Phi-minus,3,7.94,-0.9371977929309843,0.9119871140132585,0.14919423764857914,0.18618346498619848,-0.05307594276393231,0.0,0.1676888513173888,0.0,0.0,0.1676888513173888,0.0,0.05307594276393231,0.05307594276393231,0.2207647940813211,0.05307594276393231,False,True
Hahn,Phi-minus,4,15.85,-0.9342375210798339,0.9620286563810163,-0.05307594276393231,0.27252905118348253,0.18618346498619848,0.22956347685307096,0.10972655420977512,0.22956347685307096,0.0,0.10972655420977512,0.22956347685307096,0.04338001186687249,0.18618346498619848,0.07645691077642336,0.04338001186687249,True,True
Hahn,Phi-minus,5,31.62,-0.8944689324937024,0.9199785917486439,0.18618346498619848,0.6928483438238039,0.27252905118348253,0.2151416697885245,0.4395159044050012,0.2151416697885245,0.0,0.4395159044050012,0.2151416697885245,0.057387381394958026,0.27252905118348253,0.16698685322151868,0.057387381394958026,True,True
Hahn,Phi-minus,6,63.09,-0.44080948153052224,0.81274694763807,0.27252905118348253,0.30353221652391654,0.6928483438238039,0.6828210613973414,0.28803063385369954,0.6828210613973414,0.0,0.28803063385369954,0.6828210613973414,0.010027282426462447,0.6928483438238039,0.40481770997010436,0.010027282426462447,True,True
Hahn,Phi-minus,7,125.89,0.5245288875907184,0.6086649011380205,0.6928483438238039,-0.2944135190627381,0.30353221652391654,0.30877565959803216,0.1992174123805329,0.30877565959803216,0.0,0.1992174123805329,0.30877565959803216,0.005243443074115617,0.30353221652391654,0.10431480414338365,0.005243443074115617,True,True
Hahn,Phi-minus,8,251.19,0.276977209938869,0.40539856916853867,0.30353221652391654,0.02007315314418228,-0.2944135190627381,0.296026392503064,0.16180268483404942,0.296026392503064,0.0,0.16180268483404942,0.296026392503064,0.5904399115658021,0.2944135190627381,0.4562162038967875,0.5904399115658021,False,True
Hahn,Phi-minus,9,501.18,0.13180804778571065,0.12861768608786128,-0.2944135190627381,-0.16046219962319536,0.02007315314418228,0.0,-0.22743785934296673,-0.0,0.0,-0.22743785934296673,0.0,0.02007315314418228,0.02007315314418228,0.24751101248714902,0.02007315314418228,True,True
Hahn,Psi-plus,1,1.99,0.8671931337324414,0.8672127213572856,-0.1891216593660224,-0.315999200577035,-0.13283398762056275,0.005828626872341575,-0.2525604299715287,-0.005828626872341575,0.0,-0.2525604299715287,0.005828626872341575,0.1270053607482212,0.13283398762056275,0.11972644235096597,0.13866261449290432,True,True
Hahn,Psi-plus,2,3.98,0.9098588539630759,0.9505601990289549,-0.13283398762056275,-0.25934546427341143,-0.315999200577035,0.2751755037116579,-0.1960897259469871,-0.2751755037116579,0.0,-0.1960897259469871,0.2751755037116579,0.040823696865377124,0.315999200577035,0.11990947463004792,0.5911747042886929,True,True
Hahn,Psi-plus,3,7.94,0.8790652786957279,0.8943705538694,-0.315999200577035,-0.18829072638450317,-0.25934546427341143,0.16475109535374746,-0.2521449634807691,-0.16475109535374746,0.0,-0.2521449634807691,0.16475109535374746,0.09459436891966397,0.25934546427341143,0.007200500792642339,0.42409655962715886,True,True
Hahn,Psi-plus,4,15.85,0.8747974700441322,0.918492819966872,-0.25934546427341143,-0.23785213811842137,-0.18829072638450317,0.27992578790651357,-0.2485988011959164,-0.27992578790651357,0.0,-0.2485988011959164,0.27992578790651357,0.0916350615220104,0.18829072638450317,0.06030807481141323,0.46821651429101674,True,True
Hahn,Psi-plus,5,31.62,0.8249703955512373,0.8458270379771371,-0.18829072638450317,-0.29604901331876343,-0.23785213811842137,0.1866741134630414,-0.2421698698516333,-0.1866741134630414,0.0,-0.2421698698516333,0.1866741134630414,0.05117802465537996,0.23785213811842137,0.004317731733211927,0.4245262515814628,True,True
Hahn,Psi-plus,6,63.09,0.7616021473464767,0.7954347867203108,-0.23785213811842137,-0.252039861594733,-0.29604901331876343,0.22951834149370698,-0.2449459998565772,-0.22951834149370698,0.0,-0.2449459998565772,0.22951834149370698,0.06653067182505645,0.29604901331876343,0.051103013462186236,0.5255673548124704,True,True
Hahn,Psi-plus,7,125.89,0.6297346358668405,0.616705994860144,-0.29604901331876343,0.17348212016174824,-0.252039861594733,0.0,-0.061283446578507594,-0.0,0.0,-0.061283446578507594,0.0,0.252039861594733,0.252039861594733,0.19075641501622542,0.252039861594733,False,True
Hahn,Psi-plus,8,251.19,0.32227693325119255,0.3616213317071111,-0.252039861594733,-0.10422809830841898,0.17348212016174824,0.16403525791679927,-0.17813397995157598,-0.16403525791679927,0.0,-0.17813397995157598,0.16403525791679927,0.33751737807854754,0.17348212016174824,0.3516161001133242,0.009446862244948978,False,True
Hahn,Psi-plus,9,501.18,0.019400565424314627,0.12083102585006653,0.17348212016174824,0.04974733713847637,-0.10422809830841898,0.11926338444466655,0.11161472865011231,0.11926338444466655,0.0,0.11161472865011231,0.11926338444466655,0.22349148275308553,0.10422809830841898,0.2158428269585313,0.22349148275308553,False,True
Hahn,Psi-minus,1,1.99,-0.9002997606530359,0.9061260590669071,0.22411464050691632,0.2023017945905955,0.2597964975527102,0.1025903303835719,0.2132082175487559,0.1025903303835719,0.0,0.2132082175487559,0.1025903303835719,0.15720616716913832,0.2597964975527102,0.04658828000395432,0.15720616716913832,True,True
Hahn,Psi-minus,2,3.98,-0.8991060506107154,0.8995991923300823,0.2597964975527102,0.30596231241048655,0.2023017945905955,0.029782823844259843,0.28287940498159836,0.029782823844259843,0.0,0.28287940498159836,0.029782823844259843,0.17251897074633565,0.2023017945905955,0.08057761039100286,0.17251897074633565,True,True
Hahn,Psi-minus,3,7.94,-0.9336172069557827,0.9747814552325598,0.2023017945905955,0.20406946390441563,0.30596231241048655,0.28028163753872687,0.20318562924750555,0.28028163753872687,0.0,0.20318562924750555,0.28028163753872687,0.02568067487175968,0.30596231241048655,0.102776683162981,0.02568067487175968,True,True
Hahn,Psi-minus,4,15.85,-0.8909789165407839,0.892984787855158,0.30596231241048655,0.1465177409736481,0.20406946390441563,0.05981974273208192,0.22624002669206733,0.05981974273208192,0.0,0.22624002669206733,0.05981974273208192,0.1442497211723337,0.20406946390441563,0.0221705627876517,0.1442497211723337,True,True
Hahn,Psi-minus,5,31.62,-0.825630910425891,0.8132543385523845,0.20406946390441563,0.20665781875701467,0.1465177409736481,0.0,0.20536364133071516,0.0,0.0,0.20536364133071516,0.0,0.1465177409736481,0.1465177409736481,0.05884590035706708,0.1465177409736481,True,True
Hahn,Psi-minus,6,63.09,-0.7127744327832919,0.7009828367158374,0.1465177409736481,0.4251675145687006,0.20665781875701467,0.0,0.28584262777117436,0.0,0.0,0.28584262777117436,0.0,0.20665781875701467,0.20665781875701467,0.0791848090141597,0.20665781875701467,True,True
Hahn,Psi-minus,7,125.89,-0.5857905432110256,0.720874551670839,0.20665781875701467,-0.030386520040736387,0.4251675145687006,0.4201304068157465,0.08813564935813914,0.4201304068157465,0.0,0.08813564935813914,0.4201304068157465,0.005037107752954129,0.4251675145687006,0.3370318652105615,0.005037107752954129,True,True
Hahn,Psi-minus,8,251.19,-0.399917570742482,0.4097677390051395,0.4251675145687006,0.14353232476468433,-0.030386520040736387,0.08930585949878113,0.2843499196666925,0.08930585949878113,0.0,0.2843499196666925,0.08930585949878113,0.11969237953951752,0.030386520040736387,0.31473643970742887,0.11969237953951752,False,True
Hahn,Psi-minus,9,501.18,-0.13064369252422808,0.19428374708044405,-0.030386520040736387,0.005031009537983966,0.14353232476468433,0.14379986085964375,-0.01267775525137621,-0.14379986085964375,0.0,-0.01267775525137621,0.14379986085964375,0.28733218562432805,0.14353232476468433,0.15621008001606054,0.0002675360949594141,False,True
