orientation,timestamp,record_index,readout,measurement,outcome,segment_tunnelling_fraction,classified_present
IX,115222,1,1,2,DOWNDOWN,0.2,0
IX,115222,1,1,2,DOWNUP,0.175,0
IX,115222,1,1,2,UPDOWN,0.9,1
IX,115222,1,1,2,UPUP,0.175,0
IX,115222,2,1,3,DOWNDOWN,0.225,0
IX,115222,2,1,3,DOWNUP,0.3,0
IX,115222,2,1,3,UPDOWN,0.775,1
IX,115222,2,1,3,UPUP,0.2,0
IX,115222,3,1,4,DOWNDOWN,0.225,0
IX,115222,3,1,4,DOWNUP,0.175,0
IX,115222,3,1,4,UPDOWN,0.125,0
IX,115222,3,1,4,UPUP,0.725,1
IX,115222,4,1,5,DOWNDOWN,0.125,0
IX,115222,4,1,5,DOWNUP,0.875,1
IX,115222,4,1,5,UPDOWN,0.15,0
IX,115222,4,1,5,UPUP,0.175,0
IX,115222,5,1,6,DOWNDOWN,0.9,1
IX,115222,5,1,6,DOWNUP,0.125,0
IX,115222,5,1,6,UPDOWN,0.275,0
IX,115222,5,1,6,UPUP,0.175,0
IX,115222,6,1,7,DOWNDOWN,0.825,1
IX,115222,6,1,7,DOWNUP,0.1,0
IX,115222,6,1,7,UPDOWN,0.2,0
IX,115222,6,1,7,UPUP,0.075,0
IX,115222,7,1,8,DOWNDOWN,0.175,0
IX,115222,7,1,8,DOWNUP,0.225,0
IX,115222,7,1,8,UPDOWN,0.9,1
IX,115222,7,1,8,UPUP,0.3,0
IX,115222,8,1,9,DOWNDOWN,0.25,0
IX,115222,8,1,9,DOWNUP,0.275,0
IX,115222,8,1,9,UPDOWN,0.175,0
IX,115222,8,1,9,UPUP,0.7,1
IX,115222,9,1,10,DOWNDOWN,0.175,0
IX,115222,9,1,10,DOWNUP,0.2,0
IX,115222,9,1,10,UPDOWN,0.875,1
IX,115222,9,1,10,UPUP,0.3,0
IX,115222,10,1,11,DOWNDOWN,0.225,0
IX,115222,10,1,11,DOWNUP,0.275,0
IX,115222,10,1,11,UPDOWN,0.225,0
IX,115222,10,1,11,UPUP,0.8,1
IX,115222,11,1,12,DOWNDOWN,0.725,1
IX,115222,11,1,12,DOWNUP,0.25,0
IX,115222,11,1,12,UPDOWN,0.275,0
IX,115222,11,1,12,UPUP,0.125,0
IX,115222,12,1,13,DOWNDOWN,0.125,0
IX,115222,12,1,13,DOWNUP,0.15,0
IX,115222,12,1,13,UPDOWN,0.85,1
IX,115222,12,1,13,UPUP,0.15,0
IX,115222,13,1,14,DOWNDOWN,0.125,0
IX,115222,13,1,14,DOWNUP,0.2,0
IX,115222,13,1,14,UPDOWN,0.875,1
IX,115222,13,1,14,UPUP,0.25,0
IX,115222,14,1,15,DOWNDOWN,0.225,0
IX,115222,14,1,15,DOWNUP,0.8,1
IX,115222,14,1,15,UPDOWN,0.2,0
IX,115222,14,1,15,UPUP,0.35,0
IX,115222,15,1,16,DOWNDOWN,0.175,0
IX,115222,15,1,16,DOWNUP,0.075,0
IX,115222,15,1,16,UPDOWN,0.125,0
IX,115222,15,1,16,UPUP,0.825,1
IX,115222,16,1,17,DOWNDOWN,0.15,0
IX,115222,16,1,17,DOWNUP,0.875,1
IX,115222,16,1,17,UPDOWN,0.175,0
IX,115222,16,1,17,UPUP,0.2,0
IX,115222,17,1,18,DOWNDOWN,0.125,0
IX,115222,17,1,18,DOWNUP,0.25,0
IX,115222,17,1,18,UPDOWN,0.3,0
IX,115222,17,1,18,UPUP,0.8,1
IX,115222,18,1,19,DOWNDOWN,0.875,1
IX,115222,18,1,19,DOWNUP,0.3,0
IX,115222,18,1,19,UPDOWN,0.1,0
IX,115222,18,1,19,UPUP,0.225,0
IX,115222,19,1,20,DOWNDOWN,0.15,0
IX,115222,19,1,20,DOWNUP,0.225,0
IX,115222,19,1,20,UPDOWN,0.85,1
IX,115222,19,1,20,UPUP,0.25,0
IX,115222,20,1,21,DOWNDOWN,0.15,0
IX,115222,20,1,21,DOWNUP,0.225,0
IX,115222,20,1,21,UPDOWN,0.9,1
IX,115222,20,1,21,UPUP,0.325,0
IX,115222,21,1,22,DOWNDOWN,0.9,1
IX,115222,21,1,22,DOWNUP,0.325,0
IX,115222,21,1,22,UPDOWN,0.25,0
IX,115222,21,1,22,UPUP,0.15,0
IX,115222,22,1,23,DOWNDOWN,0.9,1
IX,115222,22,1,23,DOWNUP,0.25,0
IX,115222,22,1,23,UPDOWN,0.25,0
IX,115222,22,1,23,UPUP,0.3,0
IX,115222,23,1,24,DOWNDOWN,0.225,0
IX,115222,23,1,24,DOWNUP,0.1,0
IX,115222,23,1,24,UPDOWN,0.075,0
IX,115222,23,1,24,UPUP,0.775,1
IX,115222,24,1,25,DOWNDOWN,0.2,0
IX,115222,24,1,25,DOWNUP,0.8,1
IX,115222,24,1,25,UPDOWN,0.2,0
IX,115222,24,1,25,UPUP,0.1,0
IX,115222,25,1,26,DOWNDOWN,0.275,0
IX,115222,25,1,26,DOWNUP,0.175,0
IX,115222,25,1,26,UPDOWN,0.875,1
IX,115222,25,1,26,UPUP,0.3,0
IX,115222,26,1,27,DOWNDOWN,0.25,0
IX,115222,26,1,27,DOWNUP,0.225,0
IX,115222,26,1,27,UPDOWN,0.85,1
IX,115222,26,1,27,UPUP,0.3,0
IX,115222,27,1,28,DOWNDOWN,0.2,0
IX,115222,27,1,28,DOWNUP,0.225,0
IX,115222,27,1,28,UPDOWN,0.9,1
IX,115222,27,1,28,UPUP,0.275,0
IX,115222,28,1,29,DOWNDOWN,0.725,1
