branch_index,branch,seed,pair_index,pair,scale_h_q95_exposed,crest_start,crest_end,trough_start,trough_end,predicted_return,timing_tolerance,observed_return,local_reconstruction,timing_hit,timing_error,mirror_mae,persistence_mae,no_return_mae,source_hidden_trough,neighbour_hidden_crest,direct_neighbour_transfer,transfer_lag,exact_transfer_overlap,orientation_eligible,orientation_flip,orientation_before,orientation_after,final_source_x,final_neighbour_x
1,c4,12,56,7-8,0.13431917354464518,142,146,237,241,328,23,250,1,0,78,1.3246563400870945,1.1823445265422974,1.0762522434892494,316,,0,,0.3792569395131229,1,0,-1,-1,0.030710276977093397,0.23354555136782731
1,c4,12,59,7-11,0.1634182624518871,147,156,233,241,310,20,250,1,0,60,1.2068778709732686,1.5397288610953528,1.0677343897201907,284,,0,,0.3598379821338258,1,0,-1,-1,0.11342652758324584,0.843517834514244
1,c4,12,60,8-9,0.2011587247252464,98,108,242,249,376,34,285,1,0,91,1.2395131736826548,0.3952303102825739,0.39417749064254715,252,,0,,0.2986822365436295,1,0,-1,-1,0.2442883304078619,0.883759937353385
1,c4,12,61,8-10,0.21858894079923602,142,146,208,231,270,16,313,1,0,43,1.1531329395234788,0.8103730627185511,0.6250253032497762,269,,0,,0.21713640168729,1,0,-1,-1,0.02147127328650049,0.0
1,c4,12,62,8-11,0.24048986807465522,44,48,162,174,276,29,278,1,1,2,1.4181505731275574,1.5243387714585774,0.4912893217492685,289,328,0,39,0.2575379991898421,1,0,-1,-1,0.04124648669025345,0.7120333808899099
1,c4,12,63,9-10,0.23678188174962997,131,139,242,249,345,26,317,1,0,28,1.0992764024967308,0.3980839680525123,0.3987499375541092,252,266,1,14,0.2806164335668484,1,0,-1,-1,0.4532170283387463,0.8570621909670801
1,c4,12,64,9-11,0.22794291377067544,91,98,202,207,306,26,,0,0,,1.383992429697108,0.4454802278072255,0.417773071824251,253,,0,,0.3564218659616967,0,0,-1,0,1.0416826447556033,0.0
1,c4,12,65,10-11,0.21901730820536597,148,153,209,233,265,14,264,1,1,1,1.383357894338315,1.1960725310089335,0.7152303812141252,281,325,0,44,0.35381542763130147,1,0,-1,-1,0.09754173913186955,0.8594615092307394
1,c4,13,0,0-1,0.2373676061630247,20,32,141,148,250,28,349,1,0,99,1.673940548242207,0.4875189466803611,0.46483002225761316,250,,0,,0.3177683327227622,1,0,-1,-1,1.21172515565866,0.801088904948241
1,c4,13,1,0-2,0.2699693903326988,32,38,168,178,298,33,372,1,0,74,1.112486994128491,0.3567642999424941,0.35431341696487184,252,,0,,0.282044978954283,1,0,-1,-1,0.18707490549757388,0.0
1,c4,13,2,0-3,0.28356934189796407,77,86,184,213,282,25,,0,0,,1.424516040739204,0.8131437817145528,0.29611966017990116,253,,0,,0.20581188328130398,0,0,-1,0,0.677810556169569,0.13661511015869318
1,c4,13,3,0-4,0.1924279280006885,213,218,234,249,250,10,,0,0,,1.5694772979556806,0.28484924148353524,0.3554487714147115,250,,0,,0.27834709238384464,0,0,-1,0,1.168996099401147,1.084862063836427
1,c4,13,4,0-5,0.2501973204314708,152,164,219,238,274,14,341,1,0,67,1.389076617131425,1.5228486942392148,0.4162862526829376,253,,0,,0.3139446333234219,1,0,-1,-1,0.009890370128350194,0.13436868827438292
1,c4,13,5,0-6,0.16622443422675118,177,182,226,232,270,11,266,1,1,4,1.1583933988265476,0.6586717241498122,0.658690091658377,250,,0,,0.3691546093874921,1,0,-1,-1,1.478241099762062,1.2164596184028864
1,c4,13,6,0-7,0.08034378290176389,158,165,221,232,277,14,266,1,1,11,1.4939080073712905,1.2516699727930762,1.1875658498967414,272,348,0,76,0.2510296130662796,1,0,-1,-1,0.1353806280115287,0.1790361463160841
1,c4,13,7,0-8,0.15405523180961608,49,53,158,175,263,27,260,1,1,3,1.4219732609681413,0.9777649610923647,0.9723439276777155,250,486,0,236,0.2792718978301648,1,0,-1,-1,0.3951651808957912,0.19372204359796072
1,c4,13,10,0-11,0.21198456212878197,26,39,166,179,293,32,,0,0,,1.313806988259521,1.0042003589225277,0.30940158024737535,253,,0,,0.3050661177677888,0,0,-1,0,0.5116789976839069,0.9237829932774437
1,c4,13,11,1-2,0.34302103668451267,39,45,155,163,265,28,374,1,0,109,1.521620179767531,0.33395959552097393,0.3590579885657888,250,,0,,0.3409312564321336,1,0,-1,-1,0.29502166098478566,0.6585814816150823
1,c4,13,12,1-3,0.23977828994393346,96,100,178,190,256,20,308,1,0,52,1.5640784268329315,0.4900444464742972,0.38258765193896443,250,,0,,0.2604090381858482,1,0,-1,-1,1.6080319534432155,0.5699544566631217
1,c4,13,13,1-4,0.2304548345506191,173,179,217,227,255,10,416,1,0,161,1.2757535538251112,0.3560275609358064,0.3432063277289682,250,,0,,0.25034269535644044,1,0,-1,-1,1.9581605703223663,1.490127781699432
1,c4,13,14,1-5,0.34507800489664076,167,176,216,235,256,10,310,1,0,54,1.3543052392626964,0.5280661015942704,0.31307381724751804,250,,0,,0.37848043717964136,1,0,-1,-1,0.01286449776481074,0.5334686814105127
1,c4,13,15,1-6,0.3362886637449264,168,178,234,249,290,14,355,1,0,65,1.0624187525897764,0.5368703468522006,0.5308011621550454,250,448,0,198,0.38292055724502766,1,0,-1,-1,1.465846995709872,1.7958372109119038
1,c4,13,16,1-7,0.10238655023276803,95,99,179,183,259,20,278,1,1,19,1.705394011140247,1.2283410782163204,1.3513284906879235,269,,0,,0.30959472978948016,1,0,-1,-1,0.2103909207727036,0.7958922256535808
1,c4,13,17,1-8,0.20219452679157257,172,178,237,249,296,15,259,1,0,37,1.050634604243922,0.7546551006053669,0.631929949406443,250,,0,,0.30906106100237185,1,0,-1,-1,0.6034874598765056,0.7125790119200193
1,c4,13,18,1-9,0.22735607922077175,87,95,177,184,259,21,258,1,1,1,1.1977023937018314,0.4786515634453891,0.4785748389690062,250,378,0,128,0.45256461551093297,1,0,-1,-1,2.911305325037774,1.1268483108613194
1,c4,13,19,1-10,0.16091303005814553,151,155,212,237,269,15,379,1,0,110,1.4654746373059127,0.6388466015148326,0.6366188543943982,250,,0,,0.3952954937686049,1,0,-1,-1,0.5679628853892578,1.0257556928031704
1,c4,13,20,1-11,0.1923036456108093,37,42,155,162,268,29,313,1,0,45,1.5334851061347778,0.6416152898079833,0.45722942731536864,250,378,0,128,0.41604736849794527,1,0,-1,-1,1.1312200049108587,0.0
1,c4,13,21,2-3,0.3940784037113188,100,108,216,222,324,27,,0,0,,1.3055683198032726,0.24385019465163116,0.2464192136477393,258,,0,,0.16522479726591666,0,0,-1,0,0.17168721395179057,0.1303825768264189
1,c4,13,22,2-4,0.37792765796184496,11,18,169,179,320,38,,0,0,,1.6388716025314671,0.26903385455074164,0.2965461948570952,250,,0,,0.30070397196870746,0,0,-1,0,0.20947419515547194,1.1602431830828954
