archive,seed,parent_pair_count,child_pair_count,parent_forward_duration,parent_return_duration,child_forward_duration,child_return_duration,r_A,s_A,r_B,s_B,P_A,P_B,C_A,C_B,h_A,h_B,h_A_local_control,h_B_local_control,ratio_phi_error_A,ratio_phi_error_B,additive_phi_error_A,additive_phi_error_B,ratio_within_phi_band_A,ratio_within_phi_band_B,additive_within_phi_band_A,additive_within_phi_band_B
greedy,81,5,8,8.0,7.0,4.0,4.0,2.0,1.5,1.75,1.5714285714285714,1.0666666666666667,0.9333333333333333,1.0,1.0,1.4333333333333333,1.5666666666666667,1.9333333333333333,2.0666666666666664,0.3819660112501051,0.1319660112501051,0.18470065541656155,0.05136732208322825,0,0,0,1
greedy,82,4,12,7.0,8.0,4.0,4.0,1.75,1.5714285714285714,2.0,1.5,0.9333333333333333,1.0666666666666667,1.0,1.0,1.5666666666666667,1.4333333333333333,2.0666666666666664,1.9333333333333333,0.1319660112501051,0.3819660112501051,0.05136732208322825,0.18470065541656155,0,0,1,0
greedy,84,3,10,6.0,7.0,4.0,4.0,1.5,1.6666666666666665,1.75,1.5714285714285714,0.9230769230769231,1.0769230769230769,1.0,1.0,1.5769230769230769,1.4230769230769231,2.0769230769230766,1.9230769230769231,0.1180339887498949,0.1319660112501051,0.04111091182681803,0.19495706567297177,0,0,1,0
greedy,85,7,14,6.0,7.0,3.5,4.0,1.7142857142857142,1.5833333333333335,1.75,1.5714285714285714,0.9230769230769231,1.0769230769230769,0.9333333333333333,1.0666666666666667,1.5435897435897434,1.4564102564102566,2.01025641025641,1.9897435897435898,0.09625172553581929,0.1319660112501051,0.07444424516015147,0.16162373233963834,0,0,1,0
greedy,86,6,16,7.5,6.0,4.0,4.0,1.875,1.5333333333333332,1.5,1.6666666666666665,1.1111111111111112,0.8888888888888888,1.0,1.0,1.3888888888888888,1.6111111111111112,1.8888888888888888,2.111111111111111,0.2569660112501051,0.1180339887498949,0.22914509986100606,0.006922877638783742,0,0,0,1
greedy,87,1,15,6.0,5.0,4.0,4.0,1.5,1.6666666666666665,1.25,1.8,1.0909090909090908,0.9090909090909092,1.0,1.0,1.4090909090909092,1.5909090909090908,1.9090909090909092,2.090909090909091,0.1180339887498949,0.3680339887498949,0.20894307965898573,0.027124897840804074,0,0,0,1
greedy,88,6,10,7.0,8.0,4.0,3.5,1.75,1.5714285714285714,2.2857142857142856,1.4375,0.9333333333333333,1.0666666666666667,1.0666666666666667,0.9333333333333333,1.6,1.4,2.1333333333333333,1.8666666666666667,0.1319660112501051,0.6676802969643907,0.018033988749894814,0.218033988749895,0,0,1,0
greedy,89,6,13,7.0,7.5,4.0,3.0,1.75,1.5714285714285714,2.5,1.4,0.9655172413793104,1.0344827586206895,1.1428571428571428,0.8571428571428572,1.605911330049261,1.394088669950739,2.1773399014778323,1.8226600985221677,0.1319660112501051,0.8819660112501051,0.012122658700634004,0.2239453187991558,0,0,1,0
greedy,90,3,12,8.0,7.0,4.0,3.75,2.0,1.5,1.8666666666666667,1.5357142857142856,1.0666666666666667,0.9333333333333333,1.032258064516129,0.967741935483871,1.4494623655913978,1.5505376344086022,1.9655913978494624,2.0344086021505374,0.3819660112501051,0.2486326779167718,0.16857162315849705,0.06749635434129275,0,0,0,1
greedy,91,4,9,7.0,6.0,3.5,3.5,2.0,1.5,1.7142857142857142,1.5833333333333335,1.0769230769230769,0.9230769230769231,1.0,1.0,1.4230769230769231,1.5769230769230769,1.9230769230769231,2.0769230769230766,0.3819660112501051,0.09625172553581929,0.19495706567297177,0.04111091182681803,0,0,0,1
greedy,92,6,12,6.5,7.0,3.25,4.0,2.0,1.5,1.75,1.5714285714285714,0.9629629629629629,1.0370370370370372,0.896551724137931,1.103448275862069,1.4853128991060027,1.5146871008939973,1.9335887611749683,2.0664112388250317,0.3819660112501051,0.1319660112501051,0.13272108964389218,0.10334688785589763,0,0,0,0
greedy,93,5,11,7.0,7.0,4.0,3.5,1.75,1.5714285714285714,2.0,1.5,1.0,1.0,1.0666666666666667,0.9333333333333333,1.5333333333333332,1.4666666666666668,2.0666666666666664,1.9333333333333333,0.1319660112501051,0.3819660112501051,0.08470065541656169,0.15136732208322812,0,0,0,0
greedy,94,3,7,7.0,7.5,4.0,4.0,1.75,1.5714285714285714,1.875,1.5333333333333332,0.9655172413793104,1.0344827586206895,1.0,1.0,1.5344827586206895,1.4655172413793105,2.0344827586206895,1.9655172413793105,0.1319660112501051,0.2569660112501051,0.0835512301292054,0.1525167473705844,0,0,0,0
greedy,95,9,17,6.0,6.0,4.0,4.0,1.5,1.6666666666666665,1.5,1.6666666666666665,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,0.1180339887498949,0.1180339887498949,0.1180339887498949,0.1180339887498949,0,0,0,0
greedy,96,1,13,4.0,6.0,4.0,3.5,1.0,2.0,1.7142857142857142,1.5833333333333335,0.8,1.2,1.0666666666666667,0.9333333333333333,1.7333333333333334,1.2666666666666666,2.2666666666666666,1.7333333333333334,0.6180339887498949,0.09625172553581929,0.11529934458343849,0.3513673220832283,0,0,0,0
greedy,97,6,13,8.0,7.0,4.0,4.0,2.0,1.5,1.75,1.5714285714285714,1.0666666666666667,0.9333333333333333,1.0,1.0,1.4333333333333333,1.5666666666666667,1.9333333333333333,2.0666666666666664,0.3819660112501051,0.1319660112501051,0.18470065541656155,0.05136732208322825,0,0,0,1
