split,branch,seed,source_time,origin_time,shared_node,source_other_node,child_other_node,source_pair,child_pair,closing_pair_1p5,open_edge_control,weight,q28_residual_fraction,exact_1p5_error,exact_3p5_composite_error,seed_error,time_error,open_edge_error,exact_beta,exact_flip
development,c2,90,176,178,8,3,7,3-8,7-8,3-7,3-10,0.00035703112468410403,0.07257958454636687,0.987245360080492,0.07165385807997048,0.9787350025223012,0.9814502838804904,0.9974427643703805,0.014585263203667154,I
development,c2,91,52,54,4,0,3,0-4,3-4,0-3,0-9,0.00048459715551505897,0.12463980190851817,0.9786128234466728,0.12197410845952897,0.9546904571237673,0.985033232144478,0.9985965424170992,0.02121200501200487,Fz
development,c2,91,52,54,9,0,10,0-9,9-10,0-10,0-3,4.2838357550579326e-06,0.0263082999386076,0.9994569217931872,0.02629401247425265,0.9784648841257058,0.995782831351054,0.9836758958625569,0.0003555002284787766,Fx
development,c2,95,68,70,0,4,1,0-4,0-1,1-4,3-4,4.0081940827024765e-05,0.03482803966594552,0.9996420978570831,0.03481557463591548,0.9969100933663433,0.9998464680760264,0.9998759238719298,0.0032807060881344255,I
development,c2,95,82,84,2,1,3,1-2,2-3,1-3,1-10,4.90014445060882e-06,0.0016345327135610693,0.993771990320773,0.001624352827999998,0.9998208826608777,0.9999057904922343,0.9813199828210363,2.221188369518452e-05,Fz
development,c2,96,188,190,10,6,9,6-10,9-10,6-9,1-6,0.0010954653731233555,0.013942862240143662,0.9952310107205641,0.013876368879595766,0.9173257870013078,0.9970269779792273,0.9967446601419626,0.003566669173992273,I
development,c2,98,46,48,4,11,3,4-11,3-4,3-11,7-11,5.208310929865657e-06,0.018478911926542038,0.9996184102780953,0.018471860563678888,0.9731749051025397,0.9999369294586742,0.9999546439829761,0.0006280355699993052,Fz
development,c2,99,52,54,6,5,7,5-6,6-7,5-7,0-5,0.00027588046964587,0.012593296917226377,0.9879938525448173,0.01244209993749126,0.9991866983973015,0.9986390315169204,0.9677950486655128,0.00042270966360608903,Fx
development,c4,1,150,152,5,8,6,5-8,5-6,6-8,7-8,2.8499871764201164e-05,0.04512083177340722,0.9997799576128404,0.04511090327787318,0.9998715076273019,0.9876587320200793,0.9997667009212082,0.0058507252674431095,I
development,c4,4,32,34,9,0,10,0-9,9-10,0-10,0-6,0.0001342047709073091,0.17664758421881768,0.9882141790202136,0.17456564741470296,0.9814496773135881,0.9805363678000556,0.9886183854740308,0.015467683914889292,I
development,c4,4,126,128,10,9,11,9-10,10-11,9-11,4-9,0.0006518393717915016,0.06280221657771926,0.9911242586485837,0.06224480034707979,0.9907108943078018,0.9956823836138213,0.9741059827715287,0.005828192711040753,Fx
development,c4,5,234,236,11,2,10,2-11,10-11,2-10,2-9,3.533547648720825e-05,0.062358285956945515,0.9983199075861389,0.06225351827376787,0.9959386486363151,0.9906864176701187,0.9912470310012879,0.003331936388084712,Fz
development,c4,6,26,28,7,10,8,7-10,7-8,8-10,6-10,0.005355382356061256,0.06589168798551982,0.983938222891123,0.06483335037976873,0.9796512254483899,0.9795420618858272,0.9814214754014199,0.01007962252172369,Fx
development,c4,9,86,88,10,2,11,2-10,10-11,2-11,2-4,5.2184940449364475e-06,0.00019597783793755394,0.9937058920561399,0.00019474433227097064,0.9999361554425705,0.9846345698885274,0.9855545052689045,4.044902754081856e-06,Fx
development,c4,9,150,152,10,2,0,2-10,0-10,0-2,2-8,0.00023807706973669532,0.040123618489112355,0.9506688926949601,0.03814427595995947,0.9860198740204632,0.9909479324249105,0.9848180496786,0.003109023200981181,I
development,c4,12,40,42,2,0,3,0-2,2-3,0-3,0-4,3.9036948296477364e-08,0.007714162795504812,0.9999435335129414,0.007713727203831152,0.9963088807915154,0.9884644396425919,0.999838485302219,0.00014032256539590643,Fz
development,c4,12,208,210,4,10,5,4-10,4-5,5-10,1-10,4.207184916266214e-06,0.018445576578782763,0.9998907356236331,0.018443561134361155,0.9982927462564163,0.9998719405194961,0.9972501858601459,0.00016272672832532307,Fz
development,c4,13,148,150,10,6,0,6-10,0-10,0-6,5-6,9.459937174338684e-05,0.03280217118865641,0.9961481339141106,0.032675821617911285,0.9949275706768207,0.9948084970082083,0.9881776056374949,0.0029852362254526583,Fx
development,c4,16,14,16,0,2,1,0-2,0-1,1-2,2-6,1.6760120384402746e-05,0.028285922581059327,0.9995900301733396,0.02827432620628184,0.9996844994519141,0.9996430428089518,0.9980774169363712,0.0008444658412113637,I
development,c4,16,174,176,3,10,2,3-10,2-3,2-10,5-10,0.0014506129483615737,0.05364033991591717,0.9956752199860244,0.05340835724590595,0.9829280054438568,0.9901986176772526,0.9955469942421812,0.03588771024023282,Fz
development,c4,16,212,214,11,0,9,0-11,9-11,0-9,0-3,0.0008629702091922375,0.050540800742288054,0.9972911131297231,0.05040389143074399,0.9973056819315405,0.9545366935946109,0.9972208967887108,0.30842543916773824,I
development,c4,24,4,6,9,5,3,5-9,3-9,3-5,5-8,6.177989214936525e-08,0.0006621821470739279,0.9999988335232942,0.0006621813746538783,0.9999971403329284,0.9995363653605782,0.9997974751619886,2.5795214843274744e-06,Fz
development,c4,28,86,88,0,6,11,0-6,0-11,6-11,4-6,2.2125184322336375e-06,0.015426690566242065,0.999940257635286,0.015425768939267927,0.9999827681594857,0.9999337516884507,0.9999002113853848,0.0003925507639020667,I
development,c4,29,36,38,5,10,6,5-10,5-6,6-10,1-10,0.0013465593959538502,0.10066848192798923,0.9743773526600783,0.09808908891730309,0.9792925729792198,0.9882426697619322,0.989283558024584,0.01224367487240658,Fx
development,c4,29,114,116,0,3,10,0-3,0-10,3-10,3-4,4.911685583166431e-07,0.01567661338498604,0.9999019865269864,0.015675076865663082,0.9854979510010664,0.9998768118109864,0.9998939114343631,4.9042315245388126e-05,I
development,c4,34,4,6,11,4,6,4-11,6-11,4-6,4-10,1.4842137667760375e-06,0.03877804630282599,0.9997292338994466,0.03876754652244149,0.9193352447535272,0.9636379401475925,0.9992008420224521,0.00015782230950331703,I
development,c4,34,138,140,11,0,9,0-11,9-11,0-9,0-5,5.651351186711229e-05,0.041036731913882595,0.9979949341944325,0.04095445056594983,0.9988967529487665,0.9712144430696817,0.9906295684855743,0.0016746974647244642,Fx
development,c4,34,218,220,3,8,5,3-8,3-5,5-8,8-10,0.0005898452500583545,0.07274795114429532,0.995479459089498,0.07241909105499232,0.9932919231213645,0.9953586218632559,0.9948331567443945,0.012431102530118008,I
