split,branch,seed,time,source_pair,endpoint,lag,weight,release,accumulation,rotation_error,no_rotation_error,angle_deg,spectrum_similarity
hidden,c4,22,480,"(0, 2)",0,2,1.0378511112294647e-06,0.0005010694731026888,0.0020712718833237886,0.0034241039626591407,0.0034241039626591407,0.0,0.9999941377388434
hidden,c4,22,480,"(6, 11)",6,2,0.0025382353906870936,0.020153455436229706,0.12594541907310486,0.23254114866245862,1.0,180.0,0.9725865587076269
hidden,c4,22,484,"(2, 5)",2,2,2.3761646155903704e-06,0.011435151100158691,0.00020779477199539542,0.2768963942127255,1.0,180.0,0.9608997798272154
hidden,c4,22,488,"(0, 10)",0,2,7.27195236293254e-06,0.0026193885132670403,0.002776202280074358,0.0004777843562701412,1.0,180.0,0.9999998858610479
hidden,c4,24,265,"(7, 9)",9,2,4.1656525437416825e-06,0.007133424282073975,0.0005839625373482704,0.024730972143980387,0.024730972143980387,0.0,0.9996941427340733
hidden,c4,24,277,"(6, 7)",7,2,4.395545883252583e-06,0.0009275004267692566,0.004739130847156048,0.015918413633902218,0.015918413633902218,0.0,0.9998732940264881
hidden,c4,24,289,"(5, 6)",5,2,0.02372334164279888,0.12964540719985962,0.18298636376857758,0.14693472551766995,0.14693472551766995,0.0,0.9891461906295992
hidden,c4,24,293,"(5, 10)",5,2,0.0021025314745395374,0.016239561140537262,0.12946972250938416,0.10467576071852301,1.0,180.0,0.9945064027536467
hidden,c4,24,307,"(2, 4)",4,2,7.244448356036326e-05,0.006594628095626831,0.010985378175973892,0.14411089785487002,1.0,180.0,0.9895615438766119
hidden,c4,24,327,"(4, 9)",4,2,2.2173720152688682e-05,0.0007713728118687868,0.02874578908085823,0.06747115282934776,0.06747115282934776,0.0,0.9977212253610118
hidden,c4,24,349,"(7, 11)",7,2,2.4444387236366438e-05,0.009730668738484383,0.0025120973587036133,0.17456528842553223,0.17456528842553223,0.0,0.9846456012580926
hidden,c4,24,357,"(3, 5)",3,2,0.00024632513920197496,0.006830442696809769,0.03606283664703369,0.08997875214067101,0.08997875214067101,0.0,0.9959436852368749
hidden,c4,24,361,"(1, 8)",1,2,0.0012550582683265171,0.057744137942790985,0.02173481695353985,0.10782384000642413,1.0,180.0,0.9941700154029336
hidden,c4,24,361,"(3, 9)",3,2,0.0001752227436213616,0.01410675048828125,0.012421198189258575,0.09355173817095845,1.0,180.0,0.9956144194843667
hidden,c4,24,363,"(3, 6)",6,2,0.0004690318362481419,0.027610305696725845,0.01698756404221058,0.03043714427662443,0.03043714427662443,0.0,0.9995366827927248
hidden,c4,24,371,"(2, 4)",4,2,4.007334453631772e-05,0.0024045631289482117,0.016665540635585785,0.0033852642797910348,1.0,180.0,0.9999942699764611
hidden,c4,24,391,"(0, 7)",0,2,0.00017836730635701487,0.018722090870141983,0.00952710397541523,0.0334181929003977,0.0334181929003977,0.0,0.999441456206051
hidden,c4,24,393,"(7, 9)",9,2,0.0013398624328682107,0.025328047573566437,0.052900344133377075,0.06876365240883912,0.06876365240883912,0.0,0.9976329786586831
hidden,c4,24,421,"(3, 5)",3,2,0.00013312647385451543,0.005390705540776253,0.024695556610822678,0.05636932073436171,1.0,180.0,0.9984099857673434
hidden,c4,24,421,"(5, 10)",5,2,1.099589302203303e-05,0.002307014772668481,0.004766286350786686,0.01060948713863464,0.01060948713863464,0.0,0.999943717807485
hidden,c4,24,427,"(3, 6)",6,2,7.060381532530968e-05,0.006453581154346466,0.010940253734588623,0.023411849418571152,1.0,180.0,0.9997259050893911
hidden,c4,24,459,"(2, 10)",2,2,0.0025111082317685884,0.04673457145690918,0.0537312775850296,0.26549248001230114,0.26549248001230114,0.0,0.9641129306553864
hidden,c4,24,477,"(7, 11)",7,2,0.0005466748916899133,0.01078396663069725,0.05069330334663391,0.2192869670833903,0.2192869670833903,0.0,0.9756604050935798
hidden,c4,24,485,"(1, 4)",1,2,2.045161458493752e-05,0.0006505501223728061,0.03143741562962532,0.05221470712610705,0.05221470712610705,0.0,0.9986358817705955
hidden,c4,24,485,"(3, 5)",3,2,0.0006722571347209522,0.02138398215174675,0.03143741562962532,0.007743165916437356,0.007743165916437356,0.0,0.9999700212414323
hidden,c4,24,489,"(1, 8)",1,2,0.002315456018383899,0.01227639988064766,0.18861034512519836,0.296317848854414,0.296317848854414,0.0,0.9550893845343967
hidden,c4,26,264,"(5, 11)",5,2,0.0007275146309372316,0.014848008751869202,0.04899745434522629,0.039453416845210885,0.039453416845210885,0.0,0.9992214108490859
hidden,c4,26,266,"(10, 11)",10,2,0.0013539545088809835,0.047145068645477295,0.028718899935483932,0.10424376709538584,0.10424376709538584,0.0,0.9945517769436456
hidden,c4,26,284,"(4, 9)",9,2,0.0014616949111406763,0.09555643796920776,0.015296665951609612,0.2901492492562848,1.0,180.0,0.956981406901939
hidden,c4,26,290,"(6, 9)",6,2,0.00042762901879662973,0.013985466212034225,0.0305766724050045,0.05837135956768406,1.0,180.0,0.9982949385738766
hidden,c4,26,292,"(1, 5)",5,2,0.0016255834462582108,0.027840491384267807,0.05838917940855026,0.13820320778790135,1.0,180.0,0.9904038940539026
hidden,c4,26,294,"(2, 3)",2,2,0.00036744397969562526,0.01967419683933258,0.01867644116282463,0.09151898398675633,1.0,180.0,0.9958033317729118
hidden,c4,26,298,"(0, 8)",0,2,9.045630689008544e-05,0.045344024896621704,0.0019948892295360565,0.08649557586695296,0.08649557586695296,0.0,0.9962522348057463
hidden,c4,26,300,"(4, 7)",7,2,0.00010596562382839819,0.0009960016468539834,0.10639101266860962,0.1383338428220068,0.1383338428220068,0.0,0.9903856561613241
hidden,c4,26,306,"(0, 6)",6,2,2.8364129903339294e-05,0.0022994857281446457,0.012334988452494144,0.0039708538659733875,1.0,180.0,0.9999921161287098
hidden,c4,26,338,"(0, 10)",10,2,0.0006344089065399849,0.03950035572052002,0.01606084033846855,0.031114156251571688,1.0,180.0,0.9995158374336811
hidden,c4,26,346,"(5, 6)",6,2,9.135544873487868e-06,0.0023659206926822662,0.00386130646802485,0.0005451434317619113,1.0,180.0,0.9999998514093084
hidden,c4,26,354,"(0, 8)",8,2,0.00139135500040527,0.04283915460109711,0.03247858211398125,0.07152017905326025,0.07152017905326025,0.0,0.9974391530254814
hidden,c4,26,358,"(0, 4)",0,2,1.5413772449651697e-06,0.0014448855072259903,0.0010667815804481506,0.024682598557315916,0.024682598557315916,0.0,0.9996953382548397
hidden,c4,26,362,"(4, 10)",4,2,0.0015587752694932178,0.018581539392471313,0.08388838171958923,0.15811725543358962,1.0,180.0,0.9874203428804518
hidden,c4,26,388,"(1, 9)",9,2,2.88457545101462e-05,0.004127454478293657,0.0069887517020106316,0.021330098172876715,0.021330098172876715,0.0,0.9997724875750158
hidden,c4,26,396,"(4, 11)",11,2,5.2945560661928764e-05,0.002665784675627947,0.01986115425825119,0.031230149184673393,0.031230149184673393,0.0,0.9995122199262513
hidden,c4,26,418,"(0, 8)",8,2,0.003737839271244603,0.0575634241104126,0.06493427604436874,0.23352594800361412,1.0,180.0,0.972350570323797
hidden,c4,26,422,"(0, 4)",0,2,0.008382285941636314,0.07151465862989426,0.1172107383608818,0.033040919291005354,1.0,180.0,0.9994539997680759
hidden,c4,26,428,"(4, 7)",7,2,0.000180344841302707,0.02029651775956154,0.00888550654053688,0.012297387778203227,0.012297387778203227,0.0,0.9999243842680469
hidden,c4,26,430,"(2, 11)",2,2,0.00010840177229801823,0.005444479174911976,0.019910402595996857,0.030722049906352775,0.030722049906352775,0.0,0.9995279664169239
hidden,c4,26,444,"(7, 8)",7,2,4.2061168839392475e-05,0.004341762978583574,0.009687578305602074,0.0011259010783614314,0.0011259010783614314,0.0,0.99999936617318
hidden,c4,26,450,"(0, 4)",4,2,0.0010449548682278653,0.019954651594161987,0.052366480231285095,0.15812950267229237,1.0,180.0,0.9874183816319266
hidden,c4,26,454,"(8, 10)",10,2,0.0008319952669119807,0.008080803789198399,0.10295946896076202,0.2432397419772234,1.0,180.0,0.9699661993713252
hidden,c4,26,476,"(4, 9)",9,2,2.4396878540567757e-06,0.0005901685217395425,0.004133883398026228,0.016966719703769995,0.016966719703769995,0.0,0.9998560548511438
hidden,c4,26,482,"(0, 8)",8,2,0.0033810764013428862,0.05937197804450989,0.05694734305143356,0.1608186965309892,0.1608186965309892,0.0,0.9869839648373593
hidden,c4,26,484,"(1, 5)",5,2,2.5066795991852964e-06,0.0006297416985034943,0.003980488516390324,0.04773190532830545,0.04773190532830545,0.0,0.9988601830154857
hidden,c4,26,490,"(0, 8)",0,2,0.012689497477739842,0.06005766987800598,0.21128854155540466,0.0009919545231476523,0.0009919545231476523,0.0,0.9999995080129909
hidden,c4,26,490,"(2, 7)",2,2,0.0019228675489646463,0.028008650988340378,0.06865262985229492,0.006543152292425256,1.0,180.0,0.9999785933499167
hidden,c4,28,263,"(3, 7)",7,2,0.00028186913419776805,0.023230426013469696,0.01213361881673336,0.046006048443721706,1.0,180.0,0.9989411611834774
hidden,c4,28,269,"(2, 8)",2,2,0.0012329589731976398,0.00631558895111084,0.19522470235824585,0.09524480210934087,1.0,180.0,0.9954538802331089
hidden,c4,28,271,"(2, 5)",5,2,0.00015364731304617907,0.05550030618906021,0.00276840478181839,0.052790428831845135,1.0,180.0,0.9986056131545373
hidden,c4,28,293,"(7, 10)",10,2,6.749423290992873e-07,9.828992187976837e-05,0.006866851821541786,0.0025822103621738896,0.0025822103621738896,0.0,0.9999966660892653
hidden,c4,28,295,"(3, 11)",11,2,6.72161448346531e-06,0.006473522633314133,0.0010383240878582,0.000978259961456868,0.000978259961456868,0.0,0.9999995215036097
hidden,c4,28,299,"(3, 7)",3,2,0.0023981454588566375,0.027996867895126343,0.08565763384103775,0.04442075858524802,1.0,180.0,0.9990129109309402
hidden,c4,28,329,"(0, 5)",0,2,1.019533316354293e-05,0.000913180410861969,0.011164642870426178,0.09464494318932107,1.0,180.0,0.9955110922178064
hidden,c4,28,329,"(2, 4)",2,2,5.901230649692918e-06,0.0005285642109811306,0.011164642870426178,0.10876482315191378,1.0,180.0,0.994067509400007
hidden,c4,28,333,"(0, 9)",0,2,0.0001246245259088341,0.008822262287139893,0.014126141555607319,0.2927397973198172,1.0,180.0,0.9561921412902077
