condition,state,wait_index,wait_us,a_x,a_y,a_z,b_x,b_y,b_z,u,v,radius,transverse_radius,k,q8_h_linear,purity,i_child_a,i_child_b,i_relation,i_relation_core,i_relation_off,i_unresolved_to_pure,i_unresolved_half_scale,information3_sum,rho_reconstruction_fro_error,purity_closure_abs_error
Ramsey,Phi-plus,10,40.02,-0.07466987186187499,-0.14201210316902638,0.06644034688029765,-0.1701247250142315,-0.105572282432808,0.0769913513867545,0.06340425738503547,-0.03038871500740164,0.07031055293730026,0.0699503791006306,0.9637166196957075,0.9659728273669923,0.5046566971945793,0.0301573469039333,0.04601559706759917,0.9424538448067854,0.9386368707864188,0.003816974020366626,1.9813732112216824,0.9906866056108412,3.0,2.562198906145478e-16,6.661338147750939e-16
Ramsey,Phi-minus,0,0.02,-0.09225141544082191,-0.02624461250070177,-0.050402281825232986,0.09174962128583049,-0.022635859219522048,-0.04977561582018952,-0.978706456520817,-0.013335699108073595,0.978797307365644,0.9784834506277338,0.9932304313233881,0.02797226131096786,0.9828111960728845,0.011739493349337318,0.011407987058978442,2.9080973038832223,2.9025950275193133,0.005502276363908987,0.0687552157084621,0.03437760785423105,3.0,8.489628403444841e-17,0.0
Ramsey,Phi-minus,1,4.02,0.04372083766239013,0.05905625993642591,0.0026407842563949124,-0.08682099014325716,0.03358149379205093,-0.03880773919020525,0.44320101470550943,-0.7756958347673368,0.8933818710447334,0.8855440785963106,0.9234213659759543,0.1831967629793123,0.8755069261514434,0.005406127225068598,0.010171641675816103,2.486449935704889,2.4489693541636743,0.0374805815412147,0.49797229539422627,0.24898614769711314,3.0,6.198147802031964e-17,0.0
Ramsey,Phi-minus,2,8.02,-0.07629051720522226,-0.09261872516576639,0.008360132106980611,-0.04408388112204633,0.02206003874520318,0.015927828914415243,0.5360883596522966,0.5916201993772001,0.7983765963915826,0.7986802641712301,0.9827925830843304,0.21883082052408687,0.8175504712457509,0.01446836307561825,0.0026837296181494606,2.2530497922892363,2.2406916406971864,0.012358151592049893,0.7297981150169957,0.3648990575084978,2.9999999999999996,1.4373904093188747e-16,4.440892098500626e-16
Ramsey,Phi-minus,3,12.02,-0.07417845363000428,-0.0549230625346994,0.03735077935402242,-0.043733726511195455,-0.08572245535772131,0.038564049385984456,-0.4772499578016137,0.42952106350259445,0.6420715429093878,0.6406665536727252,0.9482522725700204,0.40967618452059174,0.6927458279170583,0.009914066499482064,0.010748164092157213,1.7503210810765928,1.723694104862292,0.026626976214300768,1.229016688331768,0.614508344165884,3.0,2.0232130545314869e-16,1.1102230246251565e-15
Ramsey,Phi-minus,4,16.02,0.09573604334895205,-0.13648721539243006,0.058970022265469824,-0.02218130618720992,-0.21396544266511092,0.037303445108803734,-0.1758390102537472,-0.3913146235428452,0.4290064010309124,0.427941449772965,0.9593157478913341,0.6116778510777534,0.5971988386954645,0.03127161348768203,0.04766476801603315,1.3098589732781436,1.2883796884033019,0.021479284874841742,1.6112046452181414,0.8056023226090707,3.0,7.386337672070284e-17,6.661338147750939e-16
Ramsey,Phi-minus,5,20.02,0.018993255985993863,0.05548452734756327,0.005756862317245148,-0.13363175008362294,0.002458429458573967,0.002584468703457077,0.2777332132122941,-0.11559371709846178,0.30082826521765677,0.299397239492299,0.9810151527533133,0.7181565820290299,0.5443893780048934,0.0034724180116717054,0.01787016798429379,1.1562149260236085,1.1433860202393364,0.012828905784272093,1.8224424879804257,0.9112212439902129,3.0,1.8212841038218e-16,4.440892098500626e-16
Ramsey,Phi-minus,6,24.02,0.06482447556966997,-0.024687159972384784,0.07468100865644045,0.02342052150923439,-0.07396464354418061,0.0707967805601637,0.09307632695459904,0.1291995172983959,0.15923478862829543,0.1642891685125718,0.9728571669232673,0.8679080444484373,0.5106529017868261,0.01038892155432819,0.011031473460066183,1.0211912121329105,0.9971625030529618,0.024028709079948696,1.957388392852695,0.9786941964263475,3.0,9.741966028272652e-17,4.440892098500626e-16
Ramsey,Phi-minus,7,28.02,-0.01796689501625749,-0.17742375538769523,0.006099398763623642,-0.041663591476757744,-0.09537088194929386,-0.011042429984644386,-0.0927808801771447,0.030725749501678112,0.09773619293222728,0.0988142002215669,0.9675372983438468,0.9347265087239259,0.5025993690120198,0.03183920095767562,0.010953395238494078,0.9676048798519088,0.9552331505042811,0.012371729347627647,1.9896025239519215,0.9948012619759607,3.0,2.328932892494967e-16,8.881784197001252e-16
Ramsey,Phi-minus,8,32.02,0.04324075273613293,-0.1448181212861389,0.12659087667466745,-0.1472182928916649,-0.03294972471219178,0.12015533884292368,0.03575213876581401,-0.08375859131531925,0.09106984707056828,0.0917376341019375,0.9724939251136899,0.9364362278157418,0.5110358211903134,0.03886730100729509,0.03719621557300306,0.9680797681809556,0.9623318684739445,0.005747899707011173,1.9558567152387458,0.9779283576193729,2.9999999999999996,7.71708267411326e-17,0.0
