population,estimator,left,right,mid,events,movement,axial,perpendicular,balance,x,heading,mean_relative_movement
fixed,centroid,125,150,137.5,1862,1.7200557478197165,-0.3004975930778612,0.03361377540962214,-0.17470224058654008,1.1747022405865402,0.9752272851089125,0.0009237678559719208
fixed,centroid,150,175,162.5,1869,0.7706270804699735,-0.7688027445984491,-0.027253500732950298,-0.9976326605724628,1.9976326605724628,0.99859628094418,0.0004123205352969361
fixed,centroid,175,200,187.5,1866,0.7594350949219862,-0.7573138389715458,-0.03138818539249329,-0.9972067975727954,1.9972067975727954,0.9995493942739155,0.0004069855814158554
fixed,centroid,200,225,212.5,1864,0.8385083049522858,-0.8366624972007712,-0.031708514219794245,-0.9977987006919156,1.9977987006919156,0.9989856127679773,0.00044984351124049667
fixed,centroid,225,250,237.5,1870,0.7205634357377767,-0.7189549496751478,-0.02615719604344497,-0.9977677384351568,1.9977677384351566,0.9987445764623504,0.00038532804050148486
fixed,centroid,250,275,262.5,1865,0.7941585980434194,-0.7921635343327904,-0.03653023099852022,-0.9974878270970757,1.9974878270970757,0.00029087086187026703,0.0004258223045809219
fixed,centroid,275,300,287.5,1865,0.9087665648006211,-0.9066864568118412,-0.041644903881580986,-0.9977110645688904,1.9977110645688905,0.00026170693870193216,0.0004872742974802258
fixed,centroid,300,325,312.5,1870,0.6802583192836558,-0.6786214414507278,-0.02669230751830295,-0.9975937408091508,1.9975937408091506,0.9992135522183483,0.000363774502290725
fixed,centroid,325,350,337.5,1863,0.6465246298422331,-0.6449165630619592,-0.02661645445063514,-0.9975127524829699,1.9975127524829699,0.99952149843733,0.00034703415450468766
fixed,centroid,350,375,362.5,1863,0.7262442204380529,-0.7246573923795984,-0.02978757817045384,-0.9978150214297093,1.9978150214297092,0.999495215625368,0.000389825131743453
fixed,centroid,375,400,387.5,1869,0.6941349546721879,-0.643446964837068,0.03426523675209207,-0.9269767507111671,1.9269767507111673,0.9844892952872378,0.00037139376922000423
fixed,centroid,400,425,412.5,1861,0.6545862425973774,-0.5840191001492244,-0.07947631691274547,-0.8921958057533491,1.892195805753349,0.014483102939383673,0.00035173898043921407
fixed,centroid,425,450,437.5,1862,0.6415185303013624,-0.6399153192911563,-0.029484296720082865,-0.9975009123907099,1.99750091239071,0.0002846456649674735,0.00034453197116077465
fixed,centroid,450,475,462.5,1680,11.463586198510475,-1.8695924712749359,-0.3219005006167355,-0.16308966835507915,1.163089668355079,0.020093440891652544,0.006823563213399092
fixed,centroid,475,500,487.5,31,0.8950006681311454,0.27932512150167366,-0.8251148334763682,0.3120948748395167,0.6879051251604833,0.2949079361514729,0.02887098929455308
unrestricted,centroid,0,25,12.5,55,21.467481847442233,13.390183528626759,2.5037018935621758,0.623742627280812,0.376257372719188,0.5223758617921548,0.39031785177167694
unrestricted,centroid,25,50,37.5,1025,131.55693081836895,43.992004165789304,11.386816063826256,0.3343951845952218,0.6656048154047782,0.5332674184517285,0.12834822518865263
unrestricted,centroid,50,75,62.5,1662,93.80614116568341,43.05919385936721,5.894221037310786,0.45902318680090126,0.5409768131990987,0.5146083072847747,0.05644172151966511
unrestricted,centroid,75,100,87.5,1839,39.85235498241205,21.53392943269666,1.580792220440625,0.5403427085350458,0.45965729146495415,0.5046192597187841,0.02167066611332901
unrestricted,centroid,100,125,112.5,1866,8.575433074634478,3.2922304784922396,0.09935347221183591,0.3839141941682716,0.6160858058317285,0.4977582617082276,0.004595623298303579
unrestricted,centroid,125,150,137.5,1865,2.035538438947882,-0.16076060828001107,-0.1870424632305526,-0.0789769454626974,1.0789769454626974,0.12996049825646472,0.0010914415222240653
unrestricted,centroid,150,175,162.5,1873,0.9786244000855147,-0.9761046369588758,-0.044027290739309145,-0.9974251989563937,1.9974251989563938,0.00013055117408101015,0.0005224903364044393
unrestricted,centroid,175,200,187.5,1867,0.7770510589558314,-0.7748355882713055,-0.03320766067896743,-0.9971488737335962,1.9971488737335963,0.9997735559662455,0.00041620303104222356
unrestricted,centroid,200,225,212.5,1865,0.8526859722594191,-0.8507559159465246,-0.03325182181343994,-0.997736498106354,1.9977364981063541,0.9991741262328737,0.0004572042746699298
unrestricted,centroid,225,250,237.5,1870,0.7205634357377767,-0.7189549496751478,-0.02615719604344497,-0.9977677384351568,1.9977677384351566,0.9987445764623504,0.00038532804050148486
unrestricted,centroid,250,275,262.5,1865,0.7941585980434194,-0.7921635343327904,-0.03653023099852022,-0.9974878270970757,1.9974878270970757,0.00029087086187026703,0.0004258223045809219
unrestricted,centroid,275,300,287.5,1865,0.9087665648006211,-0.9066864568118412,-0.041644903881580986,-0.9977110645688904,1.9977110645688905,0.00026170693870193216,0.0004872742974802258
unrestricted,centroid,300,325,312.5,1870,0.6802583192836558,-0.6786214414507278,-0.02669230751830295,-0.9975937408091508,1.9975937408091506,0.9992135522183483,0.000363774502290725
unrestricted,centroid,325,350,337.5,1863,0.6465246298422331,-0.6449165630619592,-0.02661645445063514,-0.9975127524829699,1.9975127524829699,0.99952149843733,0.00034703415450468766
unrestricted,centroid,350,375,362.5,1863,0.7262442204380529,-0.7246573923795984,-0.02978757817045384,-0.9978150214297093,1.9978150214297092,0.999495215625368,0.000389825131743453
unrestricted,centroid,375,400,387.5,1869,0.6941349546721879,-0.643446964837068,0.03426523675209207,-0.9269767507111671,1.9269767507111673,0.9844892952872378,0.00037139376922000423
unrestricted,centroid,400,425,412.5,1861,0.6545862425973774,-0.5840191001492244,-0.07947631691274547,-0.8921958057533491,1.892195805753349,0.014483102939383673,0.00035173898043921407
unrestricted,centroid,425,450,437.5,1864,0.6439654729281045,-0.6423619771661804,-0.029497494033835683,-0.997509966249226,1.997509966249226,0.00026003686765681115,0.0003454750391245196
unrestricted,centroid,450,475,462.5,1682,11.465745933416548,-1.8717520056441919,-0.3219296469747125,-0.16324729472585214,1.163247294725852,0.020065141271123646,0.00681673361083029
unrestricted,centroid,475,500,487.5,31,0.8950006681311454,0.27932512150167366,-0.8251148334763682,0.3120948748395167,0.6879051251604833,0.2949079361514729,0.02887098929455308
