candidate,n,largest_gap,circular_star_discrepancy,union_coverage,overlap_loss,flat_mean,flat_p05,flat_min,beam7_mean,beam7_p05,beam7_min,beam7_cycle23_mean,beam7_cycle23_p05,beam7_cycle23_min,beam7_decay_mean,beam7_decay_p05,beam7_decay_min,largest_gap_rank,discrepancy_rank
phi_reverse,26,0.0557280900008,0.0384615384615,0.0609375,0,0.0609375,0.0609375,0.0609375,0.0609375,0.0586432958363,0.058611225531,0.0606131516058,0.0580957873723,0.0580006161671,0.0592883083015,0.058881264605,0.058875760613,,
phi_reverse,27,0.0557280900008,0.0418823347233,0.06328125,0,0.06328125,0.06328125,0.06328125,0.06328125,0.0619805415875,0.0619621443563,0.0631190222418,0.0610511957384,0.0609525930165,0.0642995703056,0.0597704574593,0.0597071453279,,
phi_reverse,28,0.0557280900008,0.040523635535,0.065625,0,0.065625,0.065625,0.065625,0.065625,0.0646820314891,0.0646685383188,0.065537023716,0.0644693003237,0.0644417643984,0.0655912272408,0.0613403315928,0.0612817990709,,
phi_reverse,29,0.0557280900008,0.0344827586207,0.06796875,0,0.06796875,0.06796875,0.06796875,0.06796875,0.0656897756569,0.0656567884915,0.0675568793817,0.0654733089105,0.0654378666456,0.0685179125583,0.0658949006295,0.0658560137214,,
phi_reverse,30,0.0557280900008,0.0388026216662,0.0703125,0,0.0703125,0.0703125,0.0703125,0.0703125,0.0688892346002,0.0688684074599,0.0696132601885,0.0667408201916,0.0666085936331,0.0692671206856,0.0660183611209,0.0659713093339,,
phi_reverse,31,0.0557280900008,0.0359153406041,0.07265625,0,0.07265625,0.07265625,0.07265625,0.07265625,0.0718555378301,0.0718439531708,0.0719133467069,0.0701352064098,0.0700725491807,0.0710548862021,0.068206824335,0.0681673922231,,
phi_reverse,32,0.0557280900008,0.0346359549996,0.075,0,0.075,0.075,0.075,0.075,0.0727443207778,0.0727120586332,0.0745498279824,0.0725232663197,0.0724580734167,0.0751090947565,0.073654519153,0.0736320240362,,
phi_reverse,33,0.0557280900008,0.0329635594294,0.07734375,0,0.07734375,0.07734375,0.07734375,0.07734375,0.0758021264647,0.0757803319265,0.077047716525,0.0748401486004,0.074812503774,0.0761427643498,0.0741427676686,0.0741120376843,,
phi_reverse,34,0.0344418537486,0.0294117647059,0.0796875,0,0.0796875,0.0796875,0.0796875,0.0796875,0.0790319598493,0.0790228004958,0.0793658033983,0.0772437053553,0.0771395449924,0.0786164260939,0.0777094705496,0.0776967526206,,
phi_reverse,35,0.0344418537486,0.0314009628555,0.08203125,0,0.08203125,0.08203125,0.08203125,0.08203125,0.0798089616334,0.0797776323558,0.0816776909615,0.0793800456455,0.0792909749312,0.0842338049016,0.0804863771745,0.0804312992727,,
phi_reverse,36,0.0344418537486,0.0342693193033,0.084375,0,0.084375,0.084375,0.084375,0.084375,0.0827232700624,0.0826997114802,0.0841527917679,0.0816854619628,0.0815725018534,0.0856600843737,0.0823667993653,0.0823180851738,,
phi_reverse,37,0.0344418537486,0.0306146598988,0.08671875,0,0.08671875,0.08671875,0.08671875,0.08671875,0.0862121422485,0.0862048327752,0.0866028469079,0.0855381778,0.0855128089554,0.0890817113537,0.0870198757476,0.0869910928078,,
phi_reverse,38,0.0344418537486,0.0317346838173,0.0890625,0,0.0890625,0.0890625,0.0890625,0.0890625,0.0868857510319,0.0868539843148,0.0887162712656,0.0869108030262,0.086893710896,0.0899253274788,0.0872670531768,0.0872295608094,,
phi_reverse,39,0.0344418537486,0.0291431070181,0.09140625,0,0.09140625,0.09140625,0.09140625,0.09140625,0.0896522267397,0.0896267684122,0.0907456493419,0.0877710276253,0.0876567076617,0.0918936174115,0.0903917689977,0.0903691862734,,
phi_reverse,40,0.0344418537486,0.0315778087482,0.09375,0,0.09375,0.09375,0.09375,0.09375,0.0933941555965,0.0933890496178,0.0929590835958,0.091190842349,0.0910713028242,0.0966249790403,0.0932824920449,0.0932380023427,,
phi_reverse,41,0.0344418537486,0.0304509867698,0.09609375,0,0.09609375,0.09609375,0.09609375,0.09609375,0.0939692803944,0.0939391476587,0.095589815753,0.0936263134474,0.0935572565231,0.0977942647872,0.0943759852452,0.0943302981756,,
phi_reverse,42,0.0344418537486,0.0238095238095,0.0984375,0,0.0984375,0.0984375,0.0984375,0.0984375,0.0965871076561,0.0965611679976,0.0981535151181,0.0961963997915,0.0961749955716,0.100511029123,0.0989554736425,0.0989343917705,,
phi_reverse,43,0.0344418537486,0.0287352296197,0.10078125,0,0.10078125,0.10078125,0.10078125,0.10078125,0.100577742906,0.100574883324,0.10054714003,0.098501107222,0.0984108300086,0.101219794995,0.0990779561098,0.099049517603,,
phi_reverse,44,0.0344418537486,0.0271248978408,0.103125,0,0.103125,0.103125,0.103125,0.103125,0.101063776876,0.101034473071,0.102771376285,0.100696475821,0.100612102678,0.102840651277,0.100589223411,0.100558887662,,
phi_reverse,45,0.0344418537486,0.0264104556945,0.10546875,0,0.10546875,0.10546875,0.10546875,0.10546875,0.103532388432,0.103504539719,0.105196010171,0.102514257264,0.102392056084,0.106591321511,0.10567055204,0.105657234498,,
phi_reverse,46,0.0344418537486,0.0277130802729,0.1078125,0,0.1078125,0.1078125,0.1078125,0.1078125,0.10776241368,0.107761685058,0.10763495229,0.106641668007,0.106619229027,0.107570774388,0.106329201758,0.106312288625,,
phi_reverse,47,0.0344418537486,0.0212765957447,0.11015625,0,0.11015625,0.11015625,0.11015625,0.11015625,0.108168453722,0.1081395103,0.109867170445,0.108091378209,0.108055501055,0.109817748007,0.109010251791,0.108998933885,,
phi_reverse,48,0.0344418537486,0.0276052433325,0.1125,0,0.1125,0.1125,0.1125,0.1125,0.110485488839,0.110456489561,0.111886110255,0.108962606248,0.10887456304,0.114997079597,0.111417084059,0.111362397086,,
phi_reverse,49,0.0344418537486,0.0259045630604,0.11484375,0,0.11484375,0.11484375,0.11484375,0.11484375,0.114740285343,0.11473881305,0.114043542118,0.111744926737,0.111611917295,0.116350195678,0.113269218159,0.113223913972,,
phi_reverse,50,0.0344418537486,0.0229123600034,0.1171875,0,0.1171875,0.1171875,0.1171875,0.1171875,0.115279549558,0.115252714791,0.116609286442,0.114762858282,0.114694539207,0.119465225376,0.117554232666,0.117525748218,,
phi_reverse,51,0.0344418537486,0.0243816756631,0.11953125,0,0.11953125,0.11953125,0.11953125,0.11953125,0.117446494467,0.117417296917,0.119242164991,0.117257479254,0.117205350772,0.120240507155,0.11779058663,0.117753550668,,
phi_reverse,52,0.0344418537486,0.021971391926,0.121875,0,0.121875,0.121875,0.121875,0.121875,0.121618402366,0.121614766263,0.12171201895,0.119832515153,0.119764353238,0.12210931674,0.120710303374,0.12068925832,,
phi_reverse,53,0.0344418537486,0.0221619198363,0.12421875,0,0.12421875,0.12421875,0.12421875,0.12421875,0.122401246568,0.12237519139,0.123901411268,0.122024511477,0.121940306922,0.126427670792,0.123690548839,0.123652033056,,
phi_reverse,54,0.0344418537486,0.0207686329164,0.1265625,0,0.1265625,0.1265625,0.1265625,0.1265625,0.124419304382,0.124388225841,0.126249821009,0.123524070205,0.123406965878,0.127498879068,0.124795172984,0.124754605567,,
