time_us,prompt_rate,delayed_rate,cumulative_ara
2.370499999999999829e+00,2.351065166426174764e-05,5.414536058990621070e-02,1.434461576104473224e+00
2.375500000000000167e+00,2.348011863578832237e-05,5.400820795219263976e-02,1.436156415587757085e+00
2.380500000000000060e+00,2.345084836903000913e-05,5.387151634389289456e-02,1.437846965224007567e+00
2.385499999999999954e+00,2.342130586847245149e-05,5.373522315955783085e-02,1.439533237392901732e+00
2.390499999999999847e+00,2.339211736107865868e-05,5.359932596374272079e-02,1.441215245808342704e+00
2.395500000000000185e+00,2.336286046458797312e-05,5.346382036420690986e-02,1.442893001804348652e+00
2.400500000000000078e+00,2.333447148419362353e-05,5.332876119119595720e-02,1.444566519726209863e+00
2.405499999999999972e+00,2.330572214841718722e-05,5.319411158849859239e-02,1.446235811922286896e+00
2.410499999999999865e+00,2.327936724960511138e-05,5.305988048778462890e-02,1.447900892099649228e+00
2.415500000000000203e+00,2.325252205498127612e-05,5.292603728756258702e-02,1.449561772114815295e+00
2.420500000000000096e+00,2.322719862919507184e-05,5.279255432223595168e-02,1.451218464283719145e+00
2.425499999999999989e+00,2.320257975830444656e-05,5.265945931819980552e-02,1.452870979981376598e+00
2.430499999999999883e+00,2.317931078727600356e-05,5.252678200033825129e-02,1.454519332359627493e+00
2.435500000000000220e+00,2.315548168113137014e-05,5.239442904880089319e-02,1.456163532714582320e+00
2.440500000000000114e+00,2.313251451534929971e-05,5.226253748982546965e-02,1.457803593546827869e+00
2.445500000000000007e+00,2.310954543099851826e-05,5.213099814864617654e-02,1.459439527520085988e+00
2.450499999999999901e+00,2.308713008847097518e-05,5.199984558149527147e-02,1.461071345916796993e+00
2.455499999999999794e+00,2.306339726265195251e-05,5.186904790386525493e-02,1.462699060715598964e+00
2.460500000000000131e+00,2.304069860823605573e-05,5.173866088078466624e-02,1.464322683804960556e+00
2.465500000000000025e+00,2.301573160605006326e-05,5.160861997301983972e-02,1.465942227073450788e+00
2.470499999999999918e+00,2.299205220485894509e-05,5.147895935561289799e-02,1.467557701370556966e+00
2.475499999999999812e+00,2.296706097978153601e-05,5.134962743337567748e-02,1.469169118381852712e+00
2.480500000000000149e+00,2.294213789756833523e-05,5.122069276365813495e-02,1.470776489190064540e+00
2.485500000000000043e+00,2.291643571966932815e-05,5.109205138712046707e-02,1.472379824671042670e+00
