pair,family,n_from,n_to,amplitude_floor,valid,q_real,q_imag,s,log_s,delta_rad,quadrant
control_phi_time_vs_pi3,beam7,269,270,6.95763149054e-10,True,0.884110460708,0.0127520855713,0.884202421632,-0.123069258811,0.0144226337415,contracting_forward
control_phi_time_vs_pi3,beam7,270,271,6.95763149054e-10,True,1.03610190244,-0.176164222424,1.05097144848,0.0497149254705,-0.16841538956,expanding_reverse
control_phi_time_vs_pi3,beam7,271,272,6.95763149054e-10,True,1.10940759432,0.0777931078332,1.11213172689,0.106278648247,0.0700067137077,expanding_forward
control_phi_time_vs_pi3,beam7,272,273,6.95763149054e-10,True,0.887795236165,0.0176120711646,0.887969913008,-0.118817418311,0.0198353861423,contracting_forward
control_phi_time_vs_pi3,beam7,273,274,6.95763149054e-10,True,1.0244248506,-0.171650333017,1.03870597926,0.0379756877164,-0.166015561436,expanding_reverse
control_phi_time_vs_pi3,beam7,274,275,6.95763149054e-10,True,1.10996793532,0.0692318735275,1.11212493441,0.106272540609,0.0622921627093,expanding_forward
control_phi_time_vs_pi3,beam7,275,276,6.95763149054e-10,True,0.890783135262,0.0223853274315,0.891064361846,-0.115338618603,0.0251246528082,contracting_forward
control_phi_time_vs_pi3,beam7,276,277,6.95763149054e-10,True,1.01356321978,-0.167979227763,1.02738864187,0.0270202837765,-0.164238527742,expanding_reverse
control_phi_time_vs_pi3,beam7,277,278,6.95763149054e-10,True,1.11081480038,0.0614853446944,1.11251515422,0.106623356734,0.055295146402,expanding_forward
control_phi_time_vs_pi3,beam7,278,279,6.95763149054e-10,True,0.893173682725,0.0271604240233,0.893586546534,-0.112512086697,0.030399526357,contracting_forward
control_phi_time_vs_pi3,beam7,279,280,6.95763149054e-10,True,1.0032560394,-0.165029679586,1.01673864672,0.0166000994944,-0.163034067826,expanding_reverse
control_phi_time_vs_pi3,beam7,280,281,6.95763149054e-10,True,1.11198909882,0.0543758833955,1.11331778598,0.107344553539,0.0488607350148,expanding_forward
control_phi_time_vs_pi3,beam7,281,282,6.95763149054e-10,True,0.89504050932,0.0320198433564,0.895613076999,-0.11024679298,0.0357594918828,contracting_forward
control_phi_time_vs_pi3,beam7,282,283,6.95763149054e-10,True,0.993284355249,-0.162711389458,1.00652312772,0.00650194419741,-0.162369387268,expanding_reverse
control_phi_time_vs_pi3,beam7,283,284,6.95763149054e-10,True,1.11353515507,0.0477546465352,1.11455867851,0.108458522534,0.0428593584806,expanding_forward
control_phi_time_vs_pi3,beam7,284,285,6.95763149054e-10,True,0.89643722379,0.0370447025093,0.897202321765,-0.10847388855,0.0413008696923,contracting_forward
control_phi_time_vs_pi3,beam7,285,286,6.95763149054e-10,True,0.983454458896,-0.160957234845,0.996538962696,-0.00346704054967,-0.162226882174,contracting_reverse
control_phi_time_vs_pi3,beam7,286,287,6.95763149054e-10,True,1.11550442148,0.041491861728,1.11627581221,0.109997976985,0.0371784655928,expanding_forward
control_phi_time_vs_pi3,beam7,287,288,6.95763149054e-10,True,0.897401229229,0.0423190682697,0.89839850276,-0.107141542122,0.0471224450563,contracting_forward
control_phi_time_vs_pi3,beam7,288,289,6.95763149054e-10,True,0.97358488909,-0.159717914517,0.986598879222,-0.0134917261839,-0.162602969953,contracting_reverse
control_phi_time_vs_pi3,beam7,289,290,6.95763149054e-10,True,1.11795931197,0.0354689669655,1.11852182403,0.112008013633,0.0317158890059,expanding_forward
control_phi_time_vs_pi3,beam7,290,291,6.95763149054e-10,True,0.897956051503,0.0479343633442,0.899234548725,-0.106211378956,0.0533310173855,contracting_forward
control_phi_time_vs_pi3,beam7,291,292,6.95763149054e-10,True,0.963495270062,-0.158958148581,0.976519753222,-0.0237603002759,-0.163507855012,contracting_reverse
control_phi_time_vs_pi3,beam7,292,293,6.95763149054e-10,True,1.12097774212,0.0295716206023,1.12136772697,0.114549125059,0.0263740862775,expanding_forward
control_phi_time_vs_pi3,beam7,293,294,6.95763149054e-10,True,0.898112484606,0.0539943544017,0.89973408589,-0.105656019437,0.0600475372355,contracting_forward
control_phi_time_vs_pi3,beam7,294,295,6.95763149054e-10,True,0.952995510959,-0.158653862158,0.966111531805,-0.0344759940793,-0.164966202329,contracting_reverse
control_phi_time_vs_pi3,beam7,295,296,6.95763149054e-10,True,1.12465903855,0.0236827082328,1.12490836234,0.117701576637,0.0210545666234,expanding_forward
control_phi_time_vs_pi3,beam7,296,297,6.95763149054e-10,True,0.897868665065,0.0606213009167,0.899912819016,-0.10545738811,0.0674145782275,contracting_forward
