event,time_s,ridge_frequency_hz,median_excess_frequency_hz,centroid_excess_frequency_hz,h1_l1_lag_ms,h1_l1_activity_corr
GW170814,0.031982421875,280.0,280.0,284.21989205434204,0.0,0.6891250092203417
GW170814,0.035888671875,280.0,280.0,289.3212687692772,0.0,0.6891250092203417
GW170814,0.039794921875,280.0,280.0,290.22641368752676,0.0,0.6891250092203417
GW170814,0.043701171875,280.0,280.0,295.84413492015904,0.0,0.6891250092203417
GW170814,0.047607421875,280.0,280.0,296.7601406897119,0.0,0.6891250092203417
GW170818,-0.24770498275756836,120.0,216.0,235.1853756353575,-8.0,0.40890874777065117
GW170818,-0.24379873275756836,120.0,216.0,239.0894946788343,-8.0,0.40890874777065117
GW170818,-0.23989248275756836,120.0,216.0,244.7819270684761,-8.0,0.40890874777065117
GW170818,-0.23598623275756836,512.0,224.0,252.81578438813824,-8.0,0.40890874777065117
GW170818,-0.23207998275756836,504.0,256.0,261.70406391709116,-8.0,0.40890874777065117
GW170818,-0.22817373275756836,504.0,264.0,271.2017046185715,-8.0,0.40890874777065117
GW170818,-0.22426748275756836,504.0,280.0,281.3486368582493,-8.0,0.40890874777065117
GW170818,-0.22036123275756836,504.0,320.0,292.0299890913326,-8.0,0.40890874777065117
GW170818,-0.21645498275756836,504.0,376.0,302.09904992248215,-8.0,0.40890874777065117
GW170818,-0.21254873275756836,504.0,384.0,310.5960750737579,-8.0,0.40890874777065117
GW170818,-0.20864248275756836,464.0,384.0,319.5425915941604,-8.0,0.40890874777065117
GW170818,-0.20473623275756836,464.0,384.0,330.3105395812978,-8.0,0.40890874777065117
GW170818,-0.20082998275756836,472.0,392.0,339.53961254235224,-8.0,0.40890874777065117
GW170818,-0.19692373275756836,472.0,400.0,345.796154768257,-8.0,0.40890874777065117
GW170818,-0.19301748275756836,472.0,400.0,346.58607124735283,-8.0,0.40890874777065117
GW170818,-0.18911123275756836,424.0,408.0,340.7788914141623,-8.0,0.40890874777065117
GW170818,-0.18520498275756836,424.0,400.0,329.5347867789552,-8.0,0.40890874777065117
GW170818,-0.18129873275756836,424.0,392.0,313.49783694472364,-8.0,0.40890874777065117
GW170818,-0.17739248275756836,432.0,368.0,297.9922481785865,-8.0,0.40890874777065117
GW170818,-0.17348623275756836,440.0,320.0,284.30034424702586,-8.0,0.40890874777065117
GW170818,-0.16957998275756836,440.0,312.0,273.10294236926575,-8.0,0.40890874777065117
GW170818,-0.16567373275756836,440.0,304.0,265.80199900521677,-8.0,0.40890874777065117
GW170818,-0.16176748275756836,440.0,304.0,261.9525496835958,-8.0,0.40890874777065117
GW170818,-0.15786123275756836,440.0,304.0,261.41940725026774,-8.0,0.40890874777065117
GW170818,-0.15395498275756836,312.0,312.0,266.521560922299,-8.0,0.40890874777065117
GW170818,-0.15004873275756836,312.0,312.0,277.12101863191816,-8.0,0.40890874777065117
GW170818,-0.14614248275756836,312.0,320.0,291.66414931380336,-8.0,0.40890874777065117
GW170818,-0.14223623275756836,312.0,320.0,308.3160683918135,-8.0,0.40890874777065117
GW170818,-0.13832998275756836,312.0,336.0,325.5307987344458,-8.0,0.40890874777065117
GW170818,-0.13442373275756836,432.0,360.0,339.636996920691,-8.0,0.40890874777065117
GW170818,-0.13051748275756836,432.0,360.0,348.8835255057971,-8.0,0.40890874777065117
GW170818,-0.12661123275756836,432.0,368.0,351.8570869983819,-8.0,0.40890874777065117
GW170818,-0.12270498275756836,440.0,368.0,348.33615158567613,-8.0,0.40890874777065117
GW170818,-0.11879873275756836,440.0,360.0,337.88895852279114,-8.0,0.40890874777065117
GW170818,-0.11489248275756836,440.0,328.0,322.5325721876744,-8.0,0.40890874777065117
GW170818,-0.11098623275756836,440.0,320.0,304.85192485980156,-8.0,0.40890874777065117
GW170818,-0.10707998275756836,112.0,304.0,286.7476159244684,-8.0,0.40890874777065117
GW170818,-0.10317373275756836,112.0,280.0,270.3463064333654,-8.0,0.40890874777065117
GW170818,-0.09926748275756836,112.0,272.0,257.9880818138483,-8.0,0.40890874777065117
GW170818,-0.09536123275756836,112.0,264.0,251.38552311962374,-8.0,0.40890874777065117
GW170818,-0.09145498275756836,264.0,264.0,249.38548733838263,-8.0,0.40890874777065117
GW170818,-0.08754873275756836,256.0,264.0,250.81337976672728,-8.0,0.40890874777065117
GW170818,-0.08364248275756836,336.0,264.0,254.14008573518694,-8.0,0.40890874777065117
GW170818,-0.07973623275756836,336.0,264.0,259.11583965584884,-8.0,0.40890874777065117
GW170818,-0.07582998275756836,336.0,280.0,266.1573443202543,-8.0,0.40890874777065117
GW170818,-0.07192373275756836,376.0,312.0,274.37008251095807,-8.0,0.40890874777065117
GW170818,-0.06801748275756836,376.0,328.0,282.2629045260785,-8.0,0.40890874777065117
GW170818,-0.06411123275756836,376.0,336.0,286.7139599377346,-8.0,0.40890874777065117
GW170818,-0.06020498275756836,376.0,336.0,284.23241311184296,-8.0,0.40890874777065117
GW170818,-0.05629873275756836,376.0,336.0,272.6946076367462,-8.0,0.40890874777065117
GW170818,-0.05239248275756836,376.0,280.0,252.14371442247517,-8.0,0.40890874777065117
GW170818,-0.04848623275756836,80.0,224.0,227.45507180715495,-8.0,0.40890874777065117
GW170818,-0.04457998275756836,80.0,128.0,203.8998554502489,-8.0,0.40890874777065117
GW170818,-0.04067373275756836,80.0,120.0,185.48124935661903,-8.0,0.40890874777065117
GW170818,-0.03676748275756836,88.0,120.0,174.86519207188726,-8.0,0.40890874777065117
GW170818,-0.03286123275756836,112.0,120.0,170.46351905213947,-8.0,0.40890874777065117
GW170818,-0.02895498275756836,112.0,128.0,170.0417387875787,-8.0,0.40890874777065117
GW170818,-0.02504873275756836,112.0,128.0,171.51667612169095,-8.0,0.40890874777065117
GW170818,-0.02114248275756836,112.0,128.0,173.66567923010683,-8.0,0.40890874777065117
GW170818,-0.01723623275756836,112.0,136.0,176.21227927543856,-8.0,0.40890874777065117
GW170818,-0.01332998275756836,112.0,136.0,179.35382031118505,-8.0,0.40890874777065117
GW170818,-0.00942373275756836,112.0,144.0,183.40560205324542,-8.0,0.40890874777065117
GW170818,-0.005517482757568359,112.0,152.0,187.896331222513,-8.0,0.40890874777065117
GW170818,-0.0016112327575683594,112.0,152.0,191.58994847259814,-8.0,0.40890874777065117
GW170818,0.0022950172424316406,112.0,152.0,194.2540433203485,-8.0,0.40890874777065117
GW170818,0.006201267242431641,112.0,152.0,197.4426597600333,-8.0,0.40890874777065117
GW170818,0.01010751724243164,112.0,144.0,203.55626654956077,-8.0,0.40890874777065117
GW170818,0.01401376724243164,120.0,144.0,217.08728085372022,-8.0,0.40890874777065117
GW170818,0.01792001724243164,120.0,192.0,239.70676888579428,-8.0,0.40890874777065117
GW170818,0.02182626724243164,128.0,264.0,266.0431012523441,-8.0,0.40890874777065117
GW170818,0.02573251724243164,456.0,272.0,289.5086253516173,-8.0,0.40890874777065117
GW170818,0.02963876724243164,456.0,376.0,308.0354493821159,-8.0,0.40890874777065117
GW170818,0.03354501724243164,456.0,384.0,321.3283580691096,-8.0,0.40890874777065117
GW170818,0.03745126724243164,392.0,392.0,332.8724984782597,-8.0,0.40890874777065117
GW170818,0.04135751724243164,392.0,392.0,339.6454010602172,-8.0,0.40890874777065117
GW170818,0.04526376724243164,392.0,392.0,338.8537905503972,-8.0,0.40890874777065117
GW170818,0.04917001724243164,392.0,392.0,328.41041120064403,-8.0,0.40890874777065117
