time_M,actual_separation_M,common_horizon_time_M,predicted_handover_time_M,series,relation_ara
2577.5,11.447292104992652,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.0834592166805987
2577.5,11.447292104992652,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.4404866532439373
2613.0,11.362851361568847,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.0591480127184012
2613.0,11.362851361568847,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.4293873434922317
2649.0,11.276704007649789,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.034345461165552
2649.0,11.276704007649789,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.417337287578456
2684.5,11.191857564523879,3685.496267868691,3723.0384611894415,Hidden horizon A–B,1.0099174528290045
2684.5,11.191857564523879,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.405501145928121
2720.5,11.105544041401314,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.9850670597575367
2720.5,11.105544041401314,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.3929707754532197
2756.0,11.018922749229954,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.9601280573747917
2756.0,11.018922749229954,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.380214875858194
2792.0,10.927746896936029,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.9338777586248173
2792.0,10.927746896936029,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.367048752378576
2827.5,10.833032811161988,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.9066087725408244
2827.5,10.833032811161988,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.3531629951076802
2863.5,10.731531209283833,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.8773856031832943
2863.5,10.731531209283833,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.3378961566994487
2899.0,10.626453279306642,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.8471327787288753
2899.0,10.626453279306642,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.3222117326122593
2934.5,10.517564563230469,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.8157827967370852
2934.5,10.517564563230469,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.305394752407249
2970.5,10.404606663796551,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.7832612624524263
2970.5,10.404606663796551,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.2866815750729699
3006.0,10.291181812149327,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.750605288677564
3006.0,10.291181812149327,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.2656617279729458
3042.0,10.173303207937485,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.7166670418837142
3042.0,10.173303207937485,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.2394497175431562
3077.5,10.052484792910041,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.6818823987005094
3077.5,10.052484792910041,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.192427196049545
3113.5,9.92293957964265,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.6445852365205982
3113.5,9.92293957964265,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.1390843910644919
3149.0,9.786537326425552,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.6053138745641933
3149.0,9.786537326425552,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.0866257142189233
3184.5,9.641017705462412,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.5634175453480861
3184.5,9.641017705462412,3685.496267868691,3723.0384611894415,Blind ARA inversion,1.0294753113431043
3220.5,9.484375531923948,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.5183189392064691
3220.5,9.484375531923948,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.9759851472802337
3256.0,9.321516390420411,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.47143041542442143
3256.0,9.321516390420411,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.9211921139955315
3292.0,9.147236860602085,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.4212538652893269
3292.0,9.147236860602085,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.8654487122633278
3327.5,8.963933211556707,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.36847919493154624
3327.5,8.963933211556707,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.8076806434313689
3363.5,8.762763950861205,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.3105608639293337
3363.5,8.762763950861205,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.7493082216391798
3399.0,8.544187320249906,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.2476308039523495
3399.0,8.544187320249906,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.6915821459057445
3434.5,8.300342796378207,3685.496267868691,3723.0384611894415,Hidden horizon A–B,0.17742590387044688
3434.5,8.300342796378207,3685.496267868691,3723.0384611894415,Blind ARA inversion,0.6333783038452916
