split,run,period,field_G,time_us,parent_ARA,state_x_L,state_x_C,spin_radius,rational_closure_R,irrational_parent_I,coupled_amount_A,coupled_balance_B,local_loss,null_loss,raw_loss_ratio_q,child_x,child_anti_x,wrong_frequency_child_x,cycle_bins
development,EMU00070049,RF on,446.0,4.9070000648498535,1.7843869703269897,0.8899147675327442,0.9418873202740533,1.5068272177486282,0.143318475529189,2.0,1.0716592377645946,1.866264881149558,0.9603627906295429,0.7287374040054645,1.3178447892903018,1.1371294535160061,0.8628705464839939,1.0685022706685832,10
development,EMU00070049,RF on,446.0,4.9710001945495605,1.7905607085430049,1.2755882503276894,0.8773665780812037,2.6707067954296986,0.15475240172283183,2.0,1.0773762008614158,1.8563617781796853,0.927873142590289,0.7423777868201469,1.2498665222254035,1.111058376022349,0.8889416239776511,1.066962634213306,10
development,EMU00070049,RF on,446.0,5.035000324249268,1.7965576715260125,0.5831915263900098,1.0716364671975844,1.3089227472075815,0.1496990096856341,2.0,1.074849504842817,1.8607256094815283,1.0331597451440087,0.7491895905920126,1.3790364389975063,1.1593235113108344,0.8406764886891656,1.0661461387624789,10
development,EMU00070049,RF on,446.0,5.098999977111816,1.8023828781812998,1.2279949953341218,1.2957311318231506,2.3968449311146536,0.17263041738774912,2.0,1.0863152086938745,1.8410862556221312,0.96146520504783,0.6862492527425141,1.401043718744243,1.167028911474378,0.8329710885256221,1.0754317793947297,10
development,EMU00070049,RF on,446.0,5.163000106811523,1.8080413320278101,1.4386196308485246,0.7434821052749534,3.35430674614294,0.16764528275806312,2.0,1.0838226413790315,1.8453203722103668,1.017847866117031,0.6920421622520433,1.4707888068622161,1.1905419053035518,0.8094580946964482,1.133034731343149,10
development,EMU00070049,RF on,446.0,5.2270002365112305,1.8135377649945588,1.3516564195204295,0.5299090929641386,3.5069102463793156,0.17306419730009684,2.0,1.0865320986500484,1.8407187440522566,0.8335274511350435,0.6844995173519403,1.2177180991443701,1.098172125315823,0.901827874684177,1.0910087111708706,10
development,EMU00070049,RF on,446.0,5.2910003662109375,1.818876816293279,1.1179244251555034,0.6843006324184171,3.0377119242595576,0.17583979144080936,2.0,1.0879198957204046,1.838370644628399,0.8784250784851145,0.6756666436355152,1.3000864949594526,1.1304674826868817,0.8695325173131183,1.1391511312139435,10
development,EMU00070049,RF on,446.0,5.355000019073486,1.8240629542178166,0.6171512111575902,1.29762192583564,1.5650980233245164,0.19258327137117165,2.0,1.0962916356855859,1.8243320799842202,0.823587297407558,0.6654706014372842,1.2376013239785095,1.106185727293032,0.893814272706968,1.1304317679315545,10
development,EMU00070049,RF on,446.0,5.419000148773193,1.8291006333636712,0.9157538983736369,1.4254389220654844,1.6715467921975984,0.18155523823353992,2.0,1.09077761911677,1.8335543056145884,0.8220240709270554,0.6608579541553201,1.2438740666710002,1.1086843822001162,0.8913156177998838,1.1191985992172033,10
development,EMU00070049,RF on,446.0,5.4830002784729,1.8339940665318595,1.2750726235183991,1.3021476853061367,2.1585925854741297,0.22946913735846824,2.0,1.114734568679234,1.794149079246061,0.8188031376325299,0.6495285912485286,1.2606113859570378,1.1152835854830958,0.8847164145169042,1.1006637163034334,10
development,EMU00070049,RF on,446.0,5.547000408172607,1.838747383977896,0.4131327266574412,0.7910194735048452,0.8240254571485631,0.2434559138594942,2.0,1.1217279569297471,1.7829634963130965,0.8297882215126577,0.6341777960397242,1.3084472945827965,1.1336167801216974,0.8663832198783026,1.0710404627812935,10
development,EMU00070049,RF on,446.0,5.611000061035156,1.8433645637903782,0.9275116396245289,0.6365332954267073,1.8667985800177187,0.2360182593024181,2.0,1.1180091296512091,1.7888941574417694,0.8517247041129472,0.5973786772407459,1.425770179891605,1.1755195869011097,0.8244804130988903,1.0743304343683437,10
development,EMU00070049,RF on,446.0,5.675000190734863,1.8478495718623675,0.9879375247604794,0.8250462299006294,3.2419797489234137,0.2565792584313402,2.0,1.12828962921567,1.7725945078391907,0.8491802282158346,0.563747083567901,1.5063141840866912,1.2020154485424954,0.7979845514575046,1.0354982403234136,10
development,EMU00070049,RF on,446.0,5.73900032043457,1.8522061588191063,0.8229582070594472,1.058265702600892,1.7993990022505841,0.24290344325089197,2.0,1.121451721625446,1.7834026747944027,0.8421333157535698,0.5315309781992107,1.5843541586356036,1.2261122596850695,0.7738877403149305,1.0090349393820213,10
development,EMU00070049,RF on,446.0,5.802999973297119,1.8564379707223382,1.2465499520986512,1.3689738514993004,3.5358636947702387,0.2403618551961586,2.0,1.1201809275980792,1.785425863559433,0.7879185734890554,0.5777598583719262,1.3637475190978774,1.1538859443146878,0.8461140556853122,1.0376583685032779,10
development,EMU00070049,RF on,446.0,5.867000102996826,1.8605486424561584,0.7609438697571718,1.022686791181562,1.1333727284787196,0.25279124683000187,2.0,1.126395623415001,1.775575080748291,0.8287164710237719,0.5946556532662719,1.3936073195838155,1.164441057797339,0.835558942202661,1.0498331766359468,10
development,EMU00070049,RF on,446.0,5.931000232696533,1.8645416116039377,1.1841828200236346,0.6221569463184353,2.6118809913938583,0.28983735653545756,2.0,1.1449186782677288,1.7468489578889943,0.780132235038827,0.538992355165181,1.4473901671569085,1.1828029601330932,0.8171970398669068,1.0800385359457254,10
development,EMU00070049,RF on,446.0,5.99500036239624,1.8684202483931376,0.7836188186979652,0.6825618561314162,2.2778791501912248,0.25649408591977485,2.0,1.1282470429598874,1.7726614153162195,0.795027904935973,0.5943792089686353,1.3375769087137193,1.1444131773612853,0.8555868226387147,1.055178456411542,10
development,EMU00070049,RF off,446.0,2.2829999923706055,1.290480240652085,0.426654909406159,1.6392827938032322,0.35245312063732614,0.9953975820790718,1.2053299899691365,1.1003637860241042,1.095392274153491,0.6128293804281577,1.0168657305935775,0.6026649949845683,0.7520785652280016,1.2479214347719982,0.8660495034524573,10
development,EMU00070049,RF off,446.0,2.3469998836517334,1.3107961426068178,1.022729114314373,1.4224997638104038,1.2929696793165337,0.9281945486612888,1.14028353649845,1.0342390425798693,1.1025338336232264,0.6102771896623134,1.07039551151696,0.570141768249225,0.7262296689106709,1.2737703310893291,0.8705819089953543,10
development,EMU00070049,RF off,446.0,2.4110000133514404,1.3305304054176792,1.0745538422293432,1.6373011297250288,1.6783584116208798,0.9096931224776081,1.108831973308477,1.0092625478930426,1.098655622982591,0.5884218286906866,1.061336330219597,0.5544159866542385,0.7133431351894116,1.2866568648105883,0.88664978190849,10
development,EMU00070049,RF off,446.0,2.4749999046325684,1.3496995384347905,1.1938600421982606,1.4697423294709915,0.9123067589510718,0.9180686891257417,0.9724490435517023,0.945258866338722,1.028764794683473,0.5250785807794408,1.0799097068606947,0.4862245217758511,0.6543083022138191,1.3456916977861808,0.9054102928467811,10
development,EMU00070049,RF off,446.0,2.5390000343322754,1.3683198640131937,0.7972050441853699,1.712254189995,0.7756700338812546,0.8756183542165574,1.0066295269089267,0.9411239405627421,1.0696035702874385,0.5463060159675796,1.0854162357925863,0.5033147634544634,0.669606626223636,1.330393373776364,0.9230579785833346,10
development,EMU00070049,RF off,446.0,2.6029999256134033,1.3864069596019823,1.3424016218380892,1.114640932454957,1.6619031929115342,0.8392666365235786,1.1333424241832757,0.9863045303534271,1.1490796090910027,0.591417791466757,1.0436700838988753,0.5666712120916378,0.7234079591404301,1.27659204085957,0.9618010178614638,10
development,EMU00070049,RF off,446.0,2.6670000553131104,1.4039762262104571,0.9522265182951977,1.2127036127845636,0.9276617581250095,0.8141676290927682,1.1401963922148721,0.9771820106538202,1.1668208990584032,0.6266936624092332,1.099273189580715,0.5700981961074361,0.7261943202289066,1.2738056797710935,0.9193787141916947,10
development,EMU00070049,RF off,446.0,2.7309999465942383,1.4210423619895745,1.2951683828039058,0.5196062317270145,1.9418761378044982,0.7931854083506438,1.2284888789052668,1.0108371436279553,1.2153182999350802,0.685323681173783,1.1157181687871522,0.6142444394526334,0.7610302683290205,1.2389697316709793,0.921804101094039,10
development,EMU00070049,RF off,446.0,2.7950000762939453,1.4376198986099702,0.7098347501057731,0.5046734243252053,0.9693565115018442,0.7443499025198514,1.3282291453836557,1.0362895239517536,1.2817162720303183,0.7285733488432251,1.0970597225266858,0.6641145726918278,0.79815967432768,1.20184032567232,0.953934677757537,10
