repetition,auc_grandchild_flip_minus_child_flip
966,0.014088592762434016
967,0.009288765527846299
968,0.02546239252252258
969,0.012240993621104312
970,0.012052291195407627
971,0.021174249516793142
972,0.00433168846280696
973,0.017940039773506555
974,0.014671310856036568
975,0.0058638582274856965
976,0.00777065673399624
977,0.012242095952213816
978,0.020330335908767205
979,0.00266719614281985
980,0.010344403735954799
981,0.011315173742458828
982,0.017251784093262224
983,0.018073633058219518
984,0.004127384020487845
985,0.027135241061945425
986,0.007960580459218103
987,0.011869092422025163
988,0.010121600346927218
989,0.01564635760176314
990,0.013504701694033061
991,0.0058282997435522566
992,0.006454511950742758
993,0.02028438674987587
994,0.007220705374140546
995,0.005589525764065129
996,0.03059865652605065
997,0.022729307894478912
998,0.010208474332182194
999,0.019322776868889058
1000,0.017323283594257055
1001,0.005461748566312319
1002,-0.0029322385318242272
1003,0.011158995546435957
1004,0.007606947790546048
1005,0.01387487968290424
1006,0.004477123187265897
1007,0.020515838842669387
1008,0.00466620508447646
1009,0.014011862588263035
1010,0.01813649324863209
1011,0.020338984071564203
1012,0.0247734681418057
1013,0.02590867282311682
1014,0.011459057623454116
1015,0.01513947098700541
1016,0.005537446222386833
1017,0.019973721890374274
1018,0.004531783849274329
1019,0.02324148995759734
1020,0.007859846719449726
1021,-0.0008446853768802054
1022,0.01913825494717103
1023,0.01223466270185447
1024,0.009698597599966385
1025,0.012529960740341961
1026,0.026283012142937934
1027,0.008353155455622319
1028,0.01849144370277711
1029,0.030712004293884876
1030,0.021454688852859727
1031,0.0041333437133563855
1032,0.013031548784140923
1033,0.01184663727885693
1034,0.014214033056335618
1035,0.02399560363240283
1036,0.016411445208463826
1037,0.008113578735076454
1038,0.009900644234479006
1039,0.01686757104045744
1040,0.01163821701545581
1041,0.006978435124525784
1042,0.0018002911909210662
1043,0.0013854313245094119
1044,0.01342913734916773
1045,0.009206629418676449
1046,0.019367961209780793
1047,0.012986359255672375
1048,0.018427791592043663
1049,0.006129721870617111
1050,0.010674667466799681
1051,0.012965608394618022
1052,0.0046573708598024455
1053,0.006872344592234958
1054,0.010488403277241098
1055,0.012148323264382643
1056,0.012115177416679224
1057,0.009061368620530641
1058,0.027977330914210174
1059,0.013048255863149838
1060,0.020818508876297548
1061,0.01928223659627748
1062,0.01375823548502686
1063,0.0019398988408035889
1064,0.0038493396206148445
1065,0.018295830613448416
1066,0.004049755512293363
1067,0.01117255000709888
1068,0.008299401394998962
1069,0.011129028541599806
1070,0.013281913403398127
1071,6.773093605783043e-05
1072,0.013390056622557545
1073,0.012361733535512953
1074,0.011995036948095228
1075,0.0076572416322922
1076,0.01202003181153144
1077,0.003731945327626107
1078,0.007358912562116626
1079,0.022094912626700713
1080,0.01987371042379893
1081,0.009067762806204693
1082,0.0037660295887100848
1083,0.0006388562369150641
1084,0.009186858480088045
1085,0.007267429316468621
1086,0.007611503554689869
1087,0.019224660309733244
1088,0.006219183684890495
1089,0.017698464240906042
1090,-0.005990508838970898
1091,0.004946386355536236
1092,0.0097078797429625
1093,0.003569457250757857
1094,0.013374397230178081
1095,0.00735696031045896
1096,0.006997471070634087
1097,0.015472363838895165
1098,0.024558873390109648
1099,0.01837722328217173
1100,0.026025632778546526
1101,0.009605072643080859
1102,0.017400000179409902
1103,0.012680235219182379
1104,0.022777375603979744
1105,0.018234674486894864
1106,0.02559584052651609
1107,0.008688493125621477
1108,0.012695791697855618
1109,0.02389603350693892
1110,0.01040900389277799
1111,0.012643340013292814
1112,0.010857447907196671
1113,-0.0001724141732527551
1114,0.012918318779474913
1115,0.017636678154683727
1116,0.016906562380308077
1117,0.01596885119758984
