time_M,series,coordinate
3420.7545982560596,rho coherence,0.9999418762621659
3431.951876586966,x_P openness,1.6679700005769251
3431.951876586966,x_R residual,0.7095121191457163
3431.951876586966,rho coherence,0.9999999602507382
3440.1785361396164,x_P openness,0.9101493570766489
3440.1785361396164,x_R residual,0.5454729055904958
3440.1785361396164,rho coherence,0.9999503361703435
3451.1102605764245,x_P openness,1.033985000288462
3451.1102605764245,x_R residual,0.7382709918794228
3451.1102605764245,rho coherence,0.9999579949242803
3459.5397427796556,x_P openness,1.033985000288462
3459.5397427796556,x_R residual,0.5592247468791564
3459.5397427796556,rho coherence,0.9999591249674272
3470.4237705095925,x_P openness,1.033985000288462
3470.4237705095925,x_R residual,0.69606727856853
3470.4237705095925,rho coherence,0.9999957989333084
3478.725888681678,x_P openness,1.5101493570766484
3478.725888681678,x_R residual,0.6898812038831669
3478.725888681678,rho coherence,0.9999402350527626
3487.772700191425,x_P openness,0.9101493570766489
3487.772700191425,x_R residual,0.5742147980730357
3487.772700191425,rho coherence,0.9999523684066117
3497.7727539071643,x_P openness,1.6679700005769251
3497.7727539071643,x_R residual,0.7664764240500398
3497.7727539071643,rho coherence,0.9999167606643912
3506.120996256388,x_P openness,0.9101493570766489
3506.120996256388,x_R residual,0.8010019402341901
3506.120996256388,rho coherence,0.9999267661275899
3514.3243295647662,x_P openness,1.5101493570766484
3514.3243295647662,x_R residual,0.614827709625002
3514.3243295647662,rho coherence,0.999946079492045
3522.3889195992397,x_P openness,0.9101493570766489
3522.3889195992397,x_R residual,0.5467304394564034
3522.3889195992397,rho coherence,0.9999373665125073
3530.7353779058412,x_P openness,1.5101493570766484
3530.7353779058412,x_R residual,0.5569934657826467
3530.7353779058412,rho coherence,0.9999508561033059
3538.774046891673,x_P openness,1.1509775004326936
3538.774046891673,x_R residual,0.5614738146909407
3538.774046891673,rho coherence,0.9999506450913778
3546.74745103633,x_P openness,1.7509775004326937
3546.74745103633,x_R residual,0.5747555323233791
3546.74745103633,rho coherence,0.999960902688812
3554.290493892229,x_P openness,1.1509775004326936
3554.290493892229,x_R residual,0.6384566758688068
3554.290493892229,rho coherence,0.9999695175330964
3561.9603596472903,x_P openness,1.7509775004326937
3561.9603596472903,x_R residual,0.8661677027509377
3561.9603596472903,rho coherence,0.9999689350631495
3568.983389026781,x_P openness,0.9101493570766489
3568.983389026781,x_R residual,0.6849398586629137
3568.983389026781,rho coherence,0.9999791826213313
3575.8976424757884,x_P openness,1.7509775004326937
3575.8976424757884,x_R residual,0.7297764478887537
3575.8976424757884,rho coherence,0.9999861542484423
3584.252599110388,x_P openness,1.284412953234562
3584.252599110388,x_R residual,0.9010491874742633
3584.252599110388,rho coherence,0.999829497085716
3595.852219340078,x_P openness,1.4493481196986289
3595.852219340078,x_R residual,0.7189537027731847
3595.852219340078,rho coherence,0.9999993709880263
3607.051848710426,x_P openness,1.4493481196986289
3607.051848710426,x_R residual,0.7209001142345978
3607.051848710426,rho coherence,0.9999991106935564
3618.251473068217,x_P openness,1.4493481196986289
3618.251473068217,x_R residual,0.7233365741311593
3618.251473068217,rho coherence,0.9999986967952895
3629.4510908415,x_P openness,1.1591718566439546
3629.4510908415,x_R residual,0.7265059040813392
3629.4510908415,rho coherence,0.99999799312648
3641.050685360228,x_P openness,1.2416739708939157
