time_to_horizon_M,series,ara_coordinate
-3121.496267868691,waveform Time/Traversal,0.2334564044305595
-3121.496267868691,horizon angular traversal,0.23146833285998297
-3113.496267868691,waveform Space/Connection,0.5012780460096563
-3113.496267868691,horizon radial closure,0.39676228344220393
-3113.496267868691,waveform Time/Traversal,0.23913660891792105
-3113.496267868691,horizon angular traversal,0.23601249644987218
-3105.996267868691,waveform Space/Connection,0.35756887247940927
-3105.996267868691,horizon radial closure,0.4271513774495882
-3105.996267868691,waveform Time/Traversal,0.24197671116160183
-3105.996267868691,horizon angular traversal,0.24027264981539334
-3097.996267868691,waveform Space/Connection,0.22436807725078103
-3097.996267868691,horizon radial closure,0.4481681340528259
-3097.996267868691,waveform Time/Traversal,0.24680488497585912
-3097.996267868691,horizon angular traversal,0.24481681340528258
-3089.996267868691,waveform Space/Connection,0.1820505538199375
-3089.996267868691,horizon radial closure,0.46520874751491054
-3089.996267868691,waveform Time/Traversal,0.25276909968758876
-3089.996267868691,horizon angular traversal,0.24936097699517182
-3082.496267868691,waveform Space/Connection,0.09997159897756319
-3082.496267868691,horizon radial closure,0.47884123828457825
-3082.496267868691,waveform Time/Traversal,0.2561772223800057
-3082.496267868691,horizon angular traversal,0.253621130360693
-3074.496267868691,waveform Space/Connection,0.07270661743822777
-3074.496267868691,horizon radial closure,0.49133768815677364
-3074.496267868691,waveform Time/Traversal,0.25816529395058224
-3074.496267868691,horizon angular traversal,0.25816529395058224
-3066.496267868691,waveform Space/Connection,0.08917921045157626
-3066.496267868691,horizon radial closure,0.5012780460096563
-3066.496267868691,waveform Time/Traversal,0.26185742686736724
-3066.496267868691,horizon angular traversal,0.2627094575404715
-3058.496267868691,waveform Space/Connection,0.053109911956830444
-3058.496267868691,horizon radial closure,0.4916216983811417
-3058.496267868691,waveform Time/Traversal,0.26498153933541607
-3058.496267868691,horizon angular traversal,0.2672536211303607
-3050.996267868691,waveform Space/Connection,0.052257881283726215
-3050.996267868691,horizon radial closure,0.48082930985515476
-3050.996267868691,waveform Time/Traversal,0.27378585629082647
-3050.996267868691,horizon angular traversal,0.2715137744958819
-3042.996267868691,waveform Space/Connection,0.08406702641295087
-3042.996267868691,horizon radial closure,0.466912808861119
-3042.996267868691,waveform Time/Traversal,0.2760579380857711
-3042.996267868691,horizon angular traversal,0.2760579380857711
-3034.996267868691,waveform Space/Connection,0.10281170122124396
-3034.996267868691,horizon radial closure,0.4507242260721386
-3034.996267868691,waveform Time/Traversal,0.2806021016756603
-3034.996267868691,horizon angular traversal,0.2806021016756603
-3027.496267868691,waveform Space/Connection,0.12382845782448168
-3027.496267868691,horizon radial closure,0.4325475717125817
-3027.496267868691,waveform Time/Traversal,0.28486225504118146
-3027.496267868691,horizon angular traversal,0.28486225504118146
-3019.496267868691,waveform Space/Connection,0.2612894064186311
-3019.496267868691,horizon radial closure,0.4067026412950866
-3019.496267868691,waveform Time/Traversal,0.2894064186310707
-3019.496267868691,horizon angular traversal,0.2894064186310707
-3011.496267868691,waveform Space/Connection,0.5387673956262425
-3011.496267868691,horizon radial closure,0.378585629082647
-3011.496267868691,waveform Time/Traversal,0.29139449020164726
-3011.496267868691,horizon angular traversal,0.29395058222095993
-3003.996267868691,waveform Space/Connection,0.8463504686168702
-3003.996267868691,horizon radial closure,0.3680772507810281
-3003.996267868691,waveform Time/Traversal,0.294234592445328
-3003.996267868691,horizon angular traversal,0.2982107355864811
-2995.996267868691,waveform Space/Connection,0.9650667424027265
-2995.996267868691,horizon radial closure,0.35671684180630503
-2995.996267868691,waveform Time/Traversal,0.297642715137745
-2995.996267868691,horizon angular traversal,0.30275489917637033
-2987.996267868691,waveform Space/Connection,0.981539335416075
-2987.996267868691,horizon radial closure,0.34535643283158196
-2987.996267868691,waveform Time/Traversal,0.30360692984947457
-2987.996267868691,horizon angular traversal,0.30729906276625957
-2980.496267868691,waveform Space/Connection,0.996307867083215
-2980.496267868691,horizon radial closure,0.3342800340812269
-2980.496267868691,waveform Time/Traversal,0.3146833285998296
-2980.496267868691,horizon angular traversal,0.3115592161317807
-2972.496267868691,waveform Space/Connection,0.9798352740698665
-2972.496267868691,horizon radial closure,0.32291962510650385
-2972.496267868691,waveform Time/Traversal,0.32007952286282304
-2972.496267868691,horizon angular traversal,0.31610337972166996
-2964.496267868691,waveform Space/Connection,0.8974723090031241
-2964.496267868691,horizon radial closure,0.31127520590741264
-2964.496267868691,waveform Time/Traversal,0.3203635330871911
-2964.496267868691,horizon angular traversal,0.3206475433115592
-2956.996267868691,waveform Space/Connection,0.797784720249929
-2956.996267868691,horizon radial closure,0.30019880715705766
-2956.996267868691,waveform Time/Traversal,0.3220675944333996
-2956.996267868691,horizon angular traversal,0.32490769667708036
-2948.996267868691,waveform Space/Connection,0.5268389662027833
-2948.996267868691,horizon radial closure,0.2885543879579665
-2948.996267868691,waveform Time/Traversal,0.32632774779892076
-2948.996267868691,horizon angular traversal,0.3294518602669696
-2940.996267868691,waveform Space/Connection,0.23146833285998297
-2940.996267868691,horizon radial closure,0.2769099687588753
-2940.996267868691,waveform Time/Traversal,0.33001988071570576
-2940.996267868691,horizon angular traversal,0.33399602385685884
-2933.496267868691,waveform Space/Connection,0.14058506106219823
-2933.496267868691,horizon radial closure,0.2658335700085203
-2933.496267868691,waveform Time/Traversal,0.3325759727350185
-2933.496267868691,horizon angular traversal,0.33825617722238
-2925.496267868691,waveform Space/Connection,0.10195967054813973
-2925.496267868691,horizon radial closure,0.25475717125816527
-2925.496267868691,waveform Time/Traversal,0.33825617722238
-2925.496267868691,horizon angular traversal,0.34280034081226923
-2917.496267868691,waveform Space/Connection,0.03351320647543311
-2917.496267868691,horizon radial closure,0.2433967622834422
-2917.496267868691,waveform Time/Traversal,0.3445044021584777
-2917.496267868691,horizon angular traversal,0.34734450440215847
-2909.496267868691,waveform Space/Connection,0.0062482249360976995
-2909.496267868691,horizon radial closure,0.21556376029537064
-2909.496267868691,waveform Time/Traversal,0.3518886679920477
-2909.496267868691,horizon angular traversal,0.3518886679920477
-2901.996267868691,waveform Space/Connection,0.007952286282306162
