replicate,shifted_di_ara_brier,improvement_over_child_state
324,0.08181497563644619,-0.008659822883046953
325,0.08340759597432867,-0.010252443220929441
326,0.08165773349081674,-0.008502580737417512
327,0.08133273270815732,-0.008177579954758082
328,0.08074788185402335,-0.007592729100624113
329,0.07967476719690755,-0.00651961444350832
330,0.07949494323337779,-0.006339790479978555
331,0.0823080738668321,-0.009152921113432869
332,0.08084902400724825,-0.007693871253849016
333,0.083653834913789,-0.010498682160389766
334,0.08188536800981326,-0.008730215256414028
335,0.08337724067221434,-0.010222087918815112
336,0.08236858445220996,-0.009213431698810726
337,0.08371437608803721,-0.010559223334637977
338,0.08182794322680469,-0.008672790473405453
339,0.08269936535439182,-0.009544212600992585
340,0.08082738304406575,-0.007672230290666521
341,0.08155819901170519,-0.008403046258305957
342,0.08208154529500222,-0.00892639254160299
343,0.08221652476480504,-0.009061372011405805
344,0.07937089000110514,-0.00621573724770591
345,0.08121349841961736,-0.00805834566621813
346,0.08014960239173674,-0.006994449638337508
347,0.08046923775586035,-0.007314085002461113
348,0.08221772869618744,-0.009062575942788212
349,0.08144567452172168,-0.008290521768322442
350,0.07944315711557276,-0.006288004362173527
351,0.07988753568280754,-0.006732382929408309
352,0.07874587695600666,-0.005590724202607422
353,0.08259834537204043,-0.009443192618641197
354,0.08196707366352436,-0.008811920910125129
355,0.0820211335320721,-0.008865980778672872
356,0.08151233174517436,-0.008357178991775127
357,0.08075275022495886,-0.007597597471559622
358,0.08109125164582877,-0.007936098892429536
359,0.08294831278109771,-0.009793160027698478
360,0.08026803190386844,-0.007112879150469209
361,0.08246389259528461,-0.009308739841885377
362,0.08165833014107537,-0.008503177387676142
363,0.08197844267807766,-0.008823289924678429
364,0.082007082868888,-0.008851930115488765
365,0.081112012202727,-0.007956859449327766
366,0.0833022092044058,-0.010147056451006567
367,0.08157456449234957,-0.008419411738950333
368,0.08257563023025548,-0.009420477476856245
369,0.08343195632383935,-0.010276803570440113
370,0.07981042096378183,-0.006655268210382592
371,0.08219524228618559,-0.009040089532786358
372,0.08055197665810385,-0.007396823904704614
373,0.08003189663101581,-0.006876743877616581
374,0.08401885838861094,-0.010863705635211704
375,0.08001605874719042,-0.006860905993791189
376,0.08270745801904952,-0.00955230526565029
377,0.08008705273860037,-0.006931899985201134
378,0.08212465762638455,-0.008969504872985312
379,0.08095569314279223,-0.007800540389392999
380,0.08285797730270403,-0.009702824549304795
381,0.07996399499799746,-0.006808842244598226
382,0.08262959708071056,-0.00947444432731133
383,0.08322213035758586,-0.010066977604186622
384,0.08366936067111425,-0.010514207917715013
385,0.08237175972419104,-0.00921660697079181
386,0.07958739454438192,-0.006432241790982687
387,0.0844622653748293,-0.011307112621430068
388,0.0815426724749249,-0.008387519721525669
389,0.08261000130888567,-0.009454848555486436
390,0.0822533810407433,-0.009098228287344065
391,0.07948823660232013,-0.006333083848920895
392,0.08186308890484721,-0.008707936151447979
393,0.08158638417730874,-0.008431231423909502
394,0.08191235699872873,-0.008757204245329497
395,0.08317215246043887,-0.010016999707039634
396,0.08065090552437197,-0.007495752770972738
397,0.08254221811161679,-0.009387065358217553
398,0.0829113799881023,-0.009756227234703069
399,0.08301556103286739,-0.009860408279468158
400,0.08004506656768981,-0.006889913814290577
401,0.08285494986646191,-0.00969979711306268
402,0.08195881670928602,-0.00880366395588679
403,0.08019182023968,-0.007036667486280762
404,0.08285712105650328,-0.009701968303104047
405,0.08046285443647014,-0.007307701683070905
406,0.08111184642241559,-0.007956693669016357
407,0.07995433692529631,-0.00679918417189708
408,0.08133283515585937,-0.00817768240246014
409,0.081583653287771,-0.00842850053437176
410,0.0820294457517886,-0.008874292998389363
411,0.08247355212157037,-0.009318399368171137
412,0.07925177013112836,-0.006096617377729124
413,0.08150889313767211,-0.008353740384272876
414,0.08159508980275651,-0.008439937049357277
415,0.08059158952037294,-0.007436436766973711
416,0.08201194566828152,-0.008856792914882283
417,0.08036269978906206,-0.0072075470356628285
418,0.08151168885431895,-0.008356536100919715
419,0.0825640064526078,-0.00940885369920856
420,0.08099711475261426,-0.007841961999215025
421,0.08144038319314362,-0.008285230439744384
422,0.08409702435214331,-0.010941871598744074
423,0.08128708804718882,-0.008131935293789583
424,0.08156147314814648,-0.008406320394747244
425,0.08081952431110738,-0.007664371557708147
426,0.0817262535101962,-0.00857110075679697
427,0.0828237609296383,-0.00966860817623906
428,0.08199208227882712,-0.008836929525427889
429,0.08105148097835534,-0.007896328224956103
430,0.08147986042904751,-0.008324707675648274
431,0.08048725376691307,-0.0073321010135138365
432,0.08080472969381929,-0.0076495769404200525
433,0.08277223088144882,-0.009617078128049586
434,0.08074641091575605,-0.007591258162356812
435,0.08098606800833455,-0.007830915254935317
436,0.08057820851635093,-0.0074230557629517
437,0.08180338801895268,-0.008648235265553444
438,0.08260933961416739,-0.009454186860768155
439,0.08167860875778155,-0.008523456004382313
440,0.08298487971106802,-0.009829726957668788
441,0.08188255377591151,-0.00872740102251228
442,0.08000500123845591,-0.006849848485056681
443,0.081816663463418,-0.008661510710018763
444,0.08217172324033317,-0.00901657048693394
445,0.08143294580956215,-0.008277793056162913
446,0.08182112220029136,-0.00866596944689213
