model,domain,snr_db,method,replicate,scored_samples,declared_stream,sign_accuracy,correlation,nrmse,integrated_error,declared_child_occupancy,switch_count
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,11,5761,oscillator 2,0.959563543003851,0.6768487216711271,0.2041256011724807,0.6797395763233113,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,12,5761,oscillator 2,0.9435173299101413,0.6701619299316215,0.20453491413399139,0.6795594216068981,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,13,5761,oscillator 2,0.9467265725288831,0.600603079373975,0.20876311531798764,0.6991661507127116,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,14,5761,oscillator 2,0.9521822849807445,0.6943051653216874,0.20276965167927916,0.6734572596670615,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,compressed_parent,15,5761,oscillator 2,0.9698331193838254,0.7159948611170683,0.20100085890481267,0.6660528999865004,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,0,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,1,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,2,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,3,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,4,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,5,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,6,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,7,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,8,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,9,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,10,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,11,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,12,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,13,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,14,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,zero_other,15,5761,oscillator 2,0.0,0.0,0.2556953423179962,1.0,nan,-1
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,0,5521,oscillator 2,0.8818998716302953,0.8229083602893261,0.1421432090838713,0.017651677002823885,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,1,5521,oscillator 2,0.8940949935815148,0.8284676958265279,0.13847527453305153,0.020812635450100623,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,2,5521,oscillator 2,0.8944159178433889,0.8250224104565046,0.14166775282761904,0.01884691537720465,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,3,5521,oscillator 2,0.8921694480102695,0.8290542479627093,0.13876156933822953,0.020236201646589944,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,4,5521,oscillator 2,0.8844672657252889,0.8183734588689017,0.14376284773521622,0.0200121203672675,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,5,5521,oscillator 2,0.8886392811296534,0.8260818488795706,0.1406711956635605,0.018295376277367808,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,6,5521,oscillator 2,0.8956996148908858,0.8303915384268623,0.13778390742008853,0.02233916360785439,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,7,5521,oscillator 2,0.8905648267008985,0.8313261679241085,0.13835134649707975,0.020622673783757327,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,8,5521,oscillator 2,0.8835044929396663,0.825172458799513,0.13968884187134162,0.018180088753376927,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,9,5521,oscillator 2,0.8851091142490373,0.8244050088912865,0.14109080160339724,0.021696880335092927,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,10,5521,oscillator 2,0.8886392811296534,0.8250934686841082,0.14031602757161968,0.020985544980151122,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,11,5521,oscillator 2,0.8886392811296534,0.8270679939596345,0.14009331657802582,0.01998427934294012,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,12,5521,oscillator 2,0.8844672657252889,0.8280437866785368,0.14112536814706242,0.01950370997266183,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,13,5521,oscillator 2,0.8812580231065469,0.8209506368677685,0.1430518297131665,0.019394722480855494,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,14,5521,oscillator 2,0.8886392811296534,0.831130085523129,0.13828437406446323,0.019855499679219776,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,24,offline_centered_child,15,5521,oscillator 2,0.8918485237483954,0.8282887786948423,0.13895183429402538,0.018603169723062446,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,0,5761,oscillator 2,0.9239409499358151,0.3295903447460309,0.23294333961754604,0.02214315380214024,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,1,5761,oscillator 2,0.9345314505776636,0.34191000609451844,0.23245940574478366,0.05067047483473504,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,2,5761,oscillator 2,0.8761232349165597,0.32637557579455667,0.2346312338211073,0.010879801086155237,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,3,5761,oscillator 2,0.8979460847240052,0.3623521187797985,0.23403424856621577,0.095953341231379,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,4,5761,oscillator 2,0.9043645699614891,0.33510807251537483,0.23348568109687381,0.02761359098298195,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,5,5761,oscillator 2,0.9104621309370988,0.3598185650922963,0.2348652942389157,0.08699010593083802,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,6,5761,oscillator 2,0.9011553273427471,0.3098723680156706,0.23732440997789597,0.014822838549303444,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,7,5761,oscillator 2,0.944801026957638,0.34668766197305345,0.2319828305155643,0.05128701845724251,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,8,5761,oscillator 2,0.9232991014120667,0.3263772549559835,0.23275826838934743,0.01292208042899098,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,9,5761,oscillator 2,0.8677792041078306,0.36867479328084113,0.23158669089018763,0.07723999704747246,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,10,5761,oscillator 2,0.9326059050064185,0.36418906975925525,0.23037075199399282,0.07025041192593787,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,11,5761,oscillator 2,0.8950577663671374,0.2741954207528809,0.24057328231211836,0.02991837382412578,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,12,5761,oscillator 2,0.9107830551989731,0.3859452975327851,0.22971919282519598,0.08890519938371681,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,13,5761,oscillator 2,0.8764441591784339,0.3659513566613628,0.2325789424661448,0.08783263041255368,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,14,5761,oscillator 2,0.9017971758664955,0.35457167815414947,0.23197931108849285,0.06410402542391168,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,fixed_time_lineage,15,5761,oscillator 2,0.9422336328626444,0.3687714403421628,0.24053536647980117,0.14234311340774575,1.0,0
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,0,5761,oscillator 2,0.745186136071887,0.16356409823993578,0.34235155104846315,0.5705890097024579,0.36243707689637217,32
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,1,5761,oscillator 2,0.6957637997432606,0.20752887278290408,0.329620958135789,0.6160934903665554,0.3502864086096164,40
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,2,5761,oscillator 2,0.7130937098844673,0.1875051141429623,0.33934931911902083,0.6021088808866387,0.34264884568651277,31
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,3,5761,oscillator 2,0.7471116816431322,0.16668809388756342,0.34901123333422907,0.5070959613681316,0.3775386217670543,48
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,4,5761,oscillator 2,0.6960847240051348,0.17802160930424357,0.3523186682418813,0.6557129880098668,0.42023954174622463,39
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,5,5761,oscillator 2,0.7310654685494223,0.18018904084831336,0.3520716511545939,0.6282980446209318,0.46380836660302033,27
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,6,5761,oscillator 2,0.7374839537869063,0.1859291854075415,0.3352922031967716,0.5672010786875008,0.5160562402360701,24
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,7,5761,oscillator 2,0.7265725288831836,0.1835797455937395,0.3380042325793617,0.49139815630846645,0.46051032806804376,49
Damped coupled oscillators,Newton/Hamilton mechanics,18,repeated_parent_reselection,8,5761,oscillator 2,0.7567394094993581,0.18566966268115492,0.338361025512431,0.5404501690742317,0.33865648324943587,55
