split,cycle,start_sample,stop_sample,start_time_s,stop_time_s,period_s,p_AA,p_AB,p_BB,p_BA,all_four_seen,completion_u,transition_count,inequality,phi_template_distance,equal_template_distance,paired_template_distance,linear_template_distance,parent_amplitude,parent_retention,period_retention,child_allocation_retention,one_wave_phi_distance,one_wave_equal_distance
development,66,34785,35312,69.57000000000001,70.62400000000001,1.054000000000002,0.4857685009487666,0.018975332068311195,0.476280834914611,0.018975332068311195,True,0.9810246679316889,4,0.3836258264009287,0.43418529086295693,0.4620493358633776,0.037950664136622396,0.36204933586337756,1.2377411403072847,0.8305417497459145,0.9658444022770386,0.9895542474547332,0.12165414841287239,0.03700189753320686
development,67,35312,35821,70.62400000000001,71.64200000000001,1.0180000000000007,0.48919449901768175,0.015717092337917484,0.48330058939096265,0.011787819253438114,True,0.9882121807465619,4,0.409355800344011,0.4446310434082238,0.4724950884086444,0.0275049115913556,0.37249508840864437,1.0279956924033158,0.9222670345525289,0.9881139489194462,0.9844235178321037,0.1153986263675627,0.030451866404715103
development,68,35821,36324,71.64200000000001,72.6479,1.005899999999997,0.49304174950298213,0.007952286282306162,0.49502982107355864,0.003976143141153081,True,0.9960238568588469,4,0.4538276614201958,0.46020752557612016,0.4880715705765407,0.011928429423459236,0.38807157057654074,0.9480865387655797,0.8973672850589829,0.9804093567251467,0.9900208883153322,0.12152863550457836,0.018886679920477156
development,69,36324,36837,72.6479,73.6739,1.0259999999999962,0.4951267056530214,0.001949317738791423,0.5029239766081871,0.0,False,nan,3,0.49081719233227195,0.47018663726078797,0.4980506822612085,0.004873294346978557,0.3980506822612085,1.0565200610174497,0.837957431145178,0.9697542533081186,0.9960718852371424,0.12465606972963734,0.010721247563352826
development,70,36837,37366,73.6739,74.73190000000001,1.058000000000007,0.497164461247637,0.0,0.500945179584121,0.001890359168241966,False,nan,3,0.49103687172018406,0.4702455958313374,0.498109640831758,0.002835538752362967,0.398109640831758,1.2608278436931784,0.8933346778036325,0.9796296296296376,0.9870755443534271,0.1267675235374398,0.006616257088846889
development,71,37366,37906,74.73190000000001,75.81190000000001,1.0799999999999983,0.49444444444444446,0.005555555555555556,0.49074074074074076,0.009259259259259259,True,0.9907407407407407,4,0.4447220230871549,0.45732114018476455,0.48518518518518516,0.014814814814814798,0.3851851851851852,1.4113723277742567,0.997081667577512,1.0,0.9833333333333333,0.12270675199084592,0.014814814814814808
development,72,37906,38446,75.81190000000001,76.8919,1.0799999999999983,0.4888888888888889,0.014814814814814815,0.47962962962962963,0.016666666666666666,True,0.9833333333333333,4,0.39918731169164934,0.44065447351809783,0.46851851851851856,0.03148148148148149,0.36851851851851847,1.4072534741499108,nan,nan,nan,0.1198858406017467,0.027777777777777776
frozen,0,317,1368,0.6339999999999999,2.736,2.1020000000000003,0.3691722169362512,0.06374881065651761,0.42435775451950525,0.142721217887726,True,0.4519505233111323,7,0.14522191667643425,0.2656659264553358,0.29352997145575643,0.20647002854424357,0.1935299714557564,0.526709785200592,0.7134483108272676,0.9300884955752213,0.9373458063538307,0.07664483556245433,0.0696955280685062
frozen,1,1368,2498,2.736,4.996,2.2600000000000002,0.42566371681415927,0.06991150442477877,0.42389380530973453,0.08053097345132744,True,0.731858407079646,8,0.19479866991735006,0.3216934771234732,0.3495575221238938,0.1504424778761062,0.24955752212389376,0.3757802065475553,0.7270005773891344,0.9424778761061942,0.7645269849183598,0.11360920998883292,0.06017699115044249
frozen,2,2498,3563,4.996,7.1259999999999994,2.129999999999999,0.27699530516431925,0.1352112676056338,0.3370892018779343,0.2507042253521127,True,0.4197183098591549,8,0.03372718641723094,0.14194855204267415,0.11478873239436621,0.38591549295774646,0.11220657276995304,0.5168912078406991,0.7842586428653067,0.9239436619718314,0.8645282262681782,0.03998836052837933,0.13286384976525822
frozen,3,3563,4547,7.1259999999999994,9.094,1.968,0.27540650406504064,0.12195121951219512,0.4725609756097561,0.13008130081300814,True,0.6239837398373984,7,0.11181930879774771,0.2201034346743761,0.2479674796747967,0.2520325203252033,0.16991869918699182,0.40537639717015583,0.8905008810890626,0.9153488372093022,0.8036273397617697,0.01539171232713063,0.11686991869918699
