run,field_g,turn_fraction,correlation_real,correlation_imag,anti_similarity
EMU00066580,400.0,0.55,-0.6721356000281855,-0.08868839112236518,0.6721356000281855
EMU00066580,400.0,0.56,-0.6678176484476968,-0.11564218913080923,0.6678176484476968
EMU00066580,400.0,0.57,-0.6554746163847811,-0.1421840963121222,0.6554746163847811
EMU00066580,400.0,0.58,-0.6349949811677967,-0.16729165489764694,0.6349949811677967
EMU00066580,400.0,0.59,-0.6071379678617267,-0.1900624350057833,0.6071379678617267
EMU00066580,400.0,0.6,-0.5733989890687539,-0.20986939216354464,0.5733989890687539
EMU00066580,400.0,0.61,-0.5356840819282384,-0.22643289238265035,0.5356840819282384
EMU00066580,400.0,0.62,-0.4985866742547462,-0.2410432637117525,0.4985866742547462
EMU00066580,400.0,0.63,-0.4836807567591662,-0.2677783871699232,0.4836807567591662
EMU00066580,400.0,0.64,-0.46290414466569585,-0.29383335431683844,0.46290414466569585
EMU00066580,400.0,0.65,-0.43588397485723873,-0.3180396851447025,0.43588397485723873
EMU00066580,400.0,0.66,-0.4028286888120532,-0.33921883305549083,0.4028286888120532
EMU00066580,400.0,0.67,-0.3646138494150876,-0.3564047236394279,0.3646138494150876
EMU00066580,400.0,0.68,-0.3226867589640373,-0.36903911572455456,0.3226867589640373
EMU00066580,400.0,0.69,-0.27880544781533634,-0.37705762506073714,0.27880544781533634
EMU00066580,400.0,0.7,-0.23471457538110868,-0.3808376197035866,0.23471457538110868
