scale_days,horizon_windows,candidate_model,control,n,mae,rmse,bias,r2,improvement_vs_clock_pct
30,2,full_child,pole_reversed_chronology,117,0.0003790670320809794,0.0005004635988279855,0.0003055110583298611,0.24301556693182358,-12.816192721770332
30,2,full_child,traversal_reflected,117,0.0004388669622080747,0.0005037087599154373,-0.0003571180193457633,0.2331666951914968,-30.613573847031482
30,2,full_child,pole_year_blocks_permuted,117,0.00041563556153787677,0.0005519016415269725,0.00014694218317332018,0.07941195447165339,-23.699550855325306
30,4,clock_raw_pole,real_pole_child,117,0.0005802514007418483,0.000656303140139523,-0.000525403754555588,-0.30181995319771526,-27.825710992113667
30,4,clock_raw_pole,pole_shift_365d,117,0.0005417491345689828,0.0006158829399004,-0.00048313280953295943,-0.1464056236023774,-19.343905447031098
30,4,clock_raw_pole,pole_reversed_chronology,117,0.0004819915700026395,0.0006299585970001422,0.00036760209176058163,-0.1994053276006491,-6.179692197249847
30,4,clock_raw_pole,traversal_reflected,117,0.0005802514007418483,0.000656303140139523,-0.000525403754555588,-0.30181995319771526,-27.825710992113667
30,4,clock_raw_pole,pole_year_blocks_permuted,117,0.00048382161141996555,0.0006043012810853921,0.00014912167716824902,-0.10369478183561864,-6.582838738586312
30,4,clock_pole_diara,real_pole_child,117,0.0004483620581845335,0.0006013030103104994,0.00028520738945239855,-0.09276987867172726,1.2286764046547793
30,4,clock_pole_diara,pole_shift_365d,117,0.0004470701146666347,0.0006030685152180322,0.00028757763773495,-0.09919633214431656,1.5132833845361502
30,4,clock_pole_diara,pole_reversed_chronology,117,0.00046140875721981545,0.0006257399248702801,0.00033003869913222287,-0.18339489317194224,-1.6454288162079118
30,4,clock_pole_diara,traversal_reflected,117,0.00044304250806446424,0.0005855149927047868,0.0002500015872975658,-0.03613894955043073,2.4005396270213177
30,4,clock_pole_diara,pole_year_blocks_permuted,117,0.0004563327975002485,0.0006130490515305077,0.00030598143833357027,-0.13587988578335675,-0.527227017312745
30,4,full_child,real_pole_child,117,0.0005994834526221967,0.0006780866904988715,-0.0005490374802357569,-0.3896722958866503,-32.062410295725456
30,4,full_child,pole_shift_365d,117,0.0005569863737555763,0.0006335949887188871,-0.0005031208506236181,-0.2132922588039159,-22.70057279861882
30,4,full_child,pole_reversed_chronology,117,0.0004913815439909018,0.0006428388733589475,0.00038982574466068067,-0.24895336357244724,-8.248244034802559
30,4,full_child,traversal_reflected,117,0.0006071248840304713,0.0006860413493827623,-0.0005587717216201209,-0.42246812812087997,-33.74576926997589
30,4,full_child,pole_year_blocks_permuted,117,0.0004829214421755401,0.0006064276275482414,0.0001510369700581749,-0.11147555762126293,-6.384537151490083
90,1,clock_raw_pole,real_pole_child,39,0.0003764227316870638,0.0004157587380084032,-0.0001838736616827399,0.4724108010232936,-17.540028208352158
90,1,clock_raw_pole,pole_shift_365d,39,0.00036375580081915286,0.00040342317753403465,-0.0001670764362214315,0.5032534994652025,-13.584710725652252
90,1,clock_raw_pole,pole_reversed_chronology,39,0.0003270461305744942,0.00045673565615290826,0.0002064316535928616,0.36328811128678307,-2.121918197852397
90,1,clock_raw_pole,traversal_reflected,39,0.0003764227316870638,0.0004157587380084032,-0.0001838736616827399,0.4724108010232936,-17.540028208352158
90,1,clock_raw_pole,pole_year_blocks_permuted,39,0.00041577134096549114,0.0005499453138948653,7.096975967702359e-05,0.0768928043839403,-29.826843682585437
90,1,clock_pole_diara,real_pole_child,39,0.0003226040637896903,0.0004846374623914406,0.00016964790212448336,0.28311896924363356,-0.7348588859740347
90,1,clock_pole_diara,pole_shift_365d,39,0.0003269387956139218,0.00048547958120295553,0.0001662036300441523,0.2806254620340396,-2.088402277501678
90,1,clock_pole_diara,pole_reversed_chronology,39,0.00031731642617675073,0.0004749352254382895,0.00015491823861595326,0.3115349650489403,0.916234477582844
90,1,clock_pole_diara,traversal_reflected,39,0.0004462134207522693,0.0004832453857078521,-0.00017831569972717972,0.28723140453958695,-39.332547285611966
90,1,clock_pole_diara,pole_year_blocks_permuted,39,0.00034894514525315415,0.0005026392275036069,0.00015170505987389965,0.2288730467991379,-8.960003643777839
90,1,full_child,real_pole_child,39,0.0003614284199080134,0.0004056902129438739,-0.00014072627997283334,0.4976548817111869,-12.857973483401082
