n,mae,rmse,bias,r2,scale_days,horizon_windows,horizon_days,split,model
9128,6.685435283959124e-05,9.646014927462461e-05,-4.1429636038885185e-19,0.9865838651283,1,2,2,development,clock_raw_pole
9128,6.68702804234405e-05,9.643185113314028e-05,-4.158167140049577e-19,0.9865917356530121,1,2,2,development,clock_pole_diara
9128,6.685705226225899e-05,9.630834647879433e-05,-4.1277600677274594e-19,0.9866260588063629,1,2,2,development,full_child
2922,0.00019173100616016428,0.00023115959072908258,-9.77412731006162e-08,0.8188053262578953,1,2,2,validation,persistence
2922,6.191370868962783e-05,8.063103259306339e-05,5.6400999478709205e-06,0.9779541911875492,1,2,2,validation,clock_only
2922,6.177182635846896e-05,8.048375660728252e-05,5.970110659940622e-06,0.9780346528384936,1,2,2,validation,clock_raw_pole
2922,6.185553245757662e-05,8.060737637286824e-05,3.894215937985024e-06,0.9779671252648345,1,2,2,validation,clock_pole_diara
2922,6.175149665292598e-05,8.04955353996437e-05,5.029920293275535e-06,0.9780282231138765,1,2,2,validation,full_child
3497,0.00024241541321132402,0.0002872753130592323,7.623963397197597e-07,0.817954862299744,1,2,2,holdout,persistence
3497,8.105595763180727e-05,0.00010614103043597535,1.9036998631347807e-05,0.975148702433794,1,2,2,holdout,clock_only
3497,8.143779300034238e-05,0.00010658942676997764,2.195856326414262e-05,0.9749382886446399,1,2,2,holdout,clock_raw_pole
3497,8.086264620350192e-05,0.00010590960066038919,1.7478334216963198e-05,0.9752569557661466,1,2,2,holdout,clock_pole_diara
3497,8.128705289127422e-05,0.00010641269312907628,2.0855937680050887e-05,0.9750213283158167,1,2,2,holdout,full_child
9126,0.0004301068266491343,0.0005109838039780697,3.6961428884505796e-07,0.6235963078615276,1,4,4,development,persistence
9126,0.0001847968436379272,0.00024885543413543943,-3.1326148240300003e-19,0.9107241771042314,1,4,4,development,clock_only
9126,0.0001845682455978069,0.00024837366757906833,-3.2542697686525244e-19,0.911069505898424,1,4,4,development,clock_raw_pole
9126,0.00018469729083371008,0.0002486123506704672,-3.2238560324968933e-19,0.9108985022289983,1,4,4,development,clock_pole_diara
9126,0.00018451297325083229,0.00024822139420287506,-3.26947663673034e-19,0.9111785158076959,1,4,4,development,full_child
2922,0.00034241331279945237,0.00041175157605026453,-4.145448323066394e-07,0.4251002312325646,1,4,4,validation,persistence
2922,0.00016898203414925157,0.00021243637251552365,1.797290393536858e-05,0.8469690242039928,1,4,4,validation,clock_only
2922,0.000167916010802923,0.00021136619481912215,1.3220972842077341e-05,0.8485069701529373,1,4,4,validation,clock_raw_pole
2922,0.0001685959091005858,0.0002122795534913118,1.3507113288071333e-05,0.8471948735759773,1,4,4,validation,clock_pole_diara
2922,0.0001677870183156473,0.0002113764024588335,1.1355589744500046e-05,0.8484923375045227,1,4,4,validation,full_child
3497,0.000431912296253932,0.0005090786164668287,1.6061481269659704e-06,0.428321076807311,1,4,4,holdout,persistence
3497,0.00020905304975724914,0.0002629654573719547,6.218767738637016e-05,0.8474613568891604,1,4,4,holdout,clock_only
3497,0.0002085276663883643,0.0002624414898158296,6.248998142164665e-05,0.8480686280791744,1,4,4,holdout,clock_raw_pole
3497,0.00020823145322469805,0.0002621128521214107,5.834346738230339e-05,0.8484488965618738,1,4,4,holdout,clock_pole_diara
3497,0.00020810814150243548,0.0002619844442645474,6.032760304932492e-05,0.8485973485395057,1,4,4,holdout,full_child
1301,0.0003630449983529154,0.00043488186464085726,7.703963983748769e-07,0.700559061068998,7,1,7,development,persistence
