Name,fluid,split,D0_mm,v_mm_s,H0_D0,tbrk_s,n_reliable,window_frames,window_ms,unmeasured_tail_ms,cross_u,cross_t_s,cross_D_mm,cross_r_mechanical,cross_r_unresolved,rho_time_x,Bo0,Bo_cross,G_height_cross,capillary_rate_mm_s,late_unresolved_to_capillary,excluded,reason
241112b,S3,development,2.0,2.07,0.09,2.797,2496.0,375.0,375.00000000000034,269.0000000000001,0.7888127770118661,2.206,0.08909525042392619,0.056217974480036716,0.056051992608462144,0.8101895632497365,0.326106832829511,0.0006471560460995932,0.06895259591757419,0.0661190355648726,0.6060797776437072,False,
241112c,S3,development,2.0,2.06,0.18,3.699,3389.0,369.0,369.00000000000034,280.9999999999997,0.7951736558942222,2.941,0.10064757386170095,0.05548574054099846,0.05537367621463089,0.9413581160266269,0.32601254009915415,0.0008256213887206796,0.1053024460565686,0.06670326598533818,0.7194919991434333,False,
241112d,S3,development,2.0,2.08,0.43,5.59,5228.0,365.0,365.00000000000034,254.9999999999999,0.613371635742277,3.429,0.25960638717726076,0.073341691227884,0.07342291156623756,0.9558176727018365,0.3259182473687974,0.005491353876074313,0.3381169306967692,0.06729225659201044,0.919606886483455,False,
241112f,S3,development,2.0,4.1,0.28,3.241,2920.0,351.0,351.0000000000003,221.00000000000009,0.7561973202350806,2.451,0.11573321678491671,0.06383791376099729,0.06393138578744148,0.8500890294162277,0.3254467837170132,0.0010897729943237962,0.19979589257536953,0.07030985886802664,0.7803169135818689,False,
241112g,S3,development,2.0,6.16,0.36,3.023,2780.0,333.0,333.0000000000003,205.99999999999997,0.614186730084698,1.857,0.16960376578212122,0.09122052985301962,0.0912450153308017,0.8691484477239821,0.32488102733487223,0.0023363362109206833,0.33499011319623073,0.07409561375518789,0.766887581226462,False,
241112h,S3,development,2.0,8.2,0.33,2.789,2606.0,323.0,323.0000000000003,58.00000000000027,0.746054062786891,2.081,0.09919263064679906,0.05882628729989503,0.05910776141610778,0.8173412086356394,0.3245981491438017,0.000798444739915526,0.28533962990863465,0.07605819120321286,0.5198394214548999,False,
241112l,S3,development,2.0,10.2,0.33,2.312,2089.0,325.0,325.0000000000003,223.99999999999974,0.8939296951407335,2.067,0.061496209695637655,0.05117128647993271,0.05120979783144942,0.8553312418188714,0.3246924418741586,0.0003069791547280503,0.21707908783156676,0.07539873411233383,0.645853605733447,False,
241112o,S3,development,2.0,16.43,0.07,0.997,788.0,243.0,243.00000000000023,140.0,0.06715229789378753,0.067,0.6020781529735543,3.8667010884511064,3.8720943819815923,-0.17176116106151945,0.32440956368308815,0.029399462799803166,0.1211774493276659,0.07739309327432271,-0.7165657964706907,False,
241112q,S3,development,2.0,16.4,0.26,1.885,1617.0,365.0,365.00000000000034,159.00000000000003,,,,,,-0.27629355503963116,0.3259182473687974,,,0.06729225659201044,0.2967306936112421,False,
241113a,S3,development,2.0,16.33,0.11,1.369,882.0,273.0,273.0000000000002,488.0,0.06261910734693892,0.086,0.5880023506674582,3.3665967165991564,3.3829764698781952,-0.658207294916687,0.3275212237848634,0.02830985084820478,0.1564141893943346,0.05790345325438928,,False,
