domain,split,radial_candidate,angular_candidate,alpha,tau,linear_budget_loss,euclidean_budget_loss
recorded_qutrit,calibration,sqrt2,phi_inverse_squared,1.4142135623730951,0.38196601125010515,1.397024772327307,0.8969227749480411
recorded_qutrit,calibration,sqrt2,two_fifths,1.4142135623730951,0.4,1.365276331789896,0.8847978758891507
recorded_qutrit,calibration,sqrt2,sqrt2_minus_1,1.4142135623730951,0.41421356237309515,1.3426078088846336,0.8762313506972756
recorded_qutrit,calibration,three_halves,quarter,1.5,0.25,1.527920648370756,0.9594897887036095
recorded_qutrit,calibration,three_halves,third,1.5,0.3333333333333333,1.2535668982669383,0.7646456750441142
recorded_qutrit,calibration,three_halves,one_over_e,1.5,0.36787944117144233,1.1770568678225084,0.7319067614113769
recorded_qutrit,calibration,three_halves,three_eighths,1.5,0.375,1.1636429967368296,0.727154387770836
recorded_qutrit,calibration,three_halves,phi_inverse_squared,1.5,0.38196601125010515,1.15063028013366,0.722108128156441
recorded_qutrit,calibration,three_halves,two_fifths,1.5,0.4,1.1190386709542581,0.7123632889380576
recorded_qutrit,calibration,three_halves,sqrt2_minus_1,1.5,0.41421356237309515,1.0960678886992161,0.7056163734570382
recorded_qutrit,calibration,phi,quarter,1.618033988749895,0.25,1.3071697883030773,0.8275378605296353
recorded_qutrit,calibration,phi,third,1.618033988749895,0.3333333333333333,1.0270913527034597,0.6272843625150408
recorded_qutrit,calibration,phi,one_over_e,1.618033988749895,0.36787944117144233,0.9508960705710874,0.5958126795181145
recorded_qutrit,calibration,phi,three_eighths,1.618033988749895,0.375,0.9378389328212576,0.5915852396213748
recorded_qutrit,calibration,phi,phi_inverse_squared,1.618033988749895,0.38196601125010515,0.9256820093662279,0.5874383534186505
recorded_qutrit,calibration,phi,two_fifths,1.618033988749895,0.4,0.8967516598923833,0.5789681355477033
recorded_qutrit,calibration,phi,sqrt2_minus_1,1.618033988749895,0.41421356237309515,0.8764294742463941,0.5741330367905251
recorded_qutrit,calibration,octave,quarter,2.0,0.25,0.9541978878497674,0.6241289796637753
recorded_qutrit,calibration,octave,third,2.0,0.3333333333333333,0.7050358331515664,0.4585884704760921
recorded_qutrit,calibration,octave,one_over_e,2.0,0.36787944117144233,0.6478527561691705,0.4200062434571276
recorded_qutrit,calibration,octave,three_eighths,2.0,0.375,0.6378270025859555,0.4157041466985044
