genotype,meristem,plant,split,angle_deg,u_ara,position_ara,heldout
e2,2,6,confirmation,127.32,0.707333333333,1.41195555556,False
e2,3,6,confirmation,159.775,0.887638888889,0.299594444444,True
e2,4,6,confirmation,115.78,0.643222222222,0.942816666667,True
e2,5,6,confirmation,143.048,0.794711111111,1.73752777778,True
e2,6,6,confirmation,146.412,0.8134,0.550927777778,True
e2,1,7,development,88.453,0.491405555556,0.491405555556,False
e2,2,7,development,73.129,0.406272222222,0.897677777778,False
e2,3,7,development,115.96,0.644222222222,1.5419,True
e2,4,7,development,120.563,0.669794444444,0.211694444444,True
e2,5,7,development,92.807,0.515594444444,0.727288888889,True
e2,6,7,development,70.575,0.392083333333,1.11937222222,True
e2,7,7,development,225.758,1.25421111111,0.373583333333,True
e2,1,8,confirmation,125.517,0.697316666667,0.697316666667,False
e2,2,8,confirmation,134.37,0.7465,1.44381666667,False
e2,3,8,confirmation,151.955,0.844194444444,0.288011111111,True
e2,4,8,confirmation,120.228,0.667933333333,0.955944444444,True
e2,5,8,confirmation,150.534,0.8363,1.79224444444,True
e2,6,8,confirmation,140.113,0.778405555556,0.57065,True
e2,7,8,confirmation,116.542,0.647455555556,1.21810555556,True
e2,1,9,development,133.275,0.740416666667,0.740416666667,False
e2,2,9,development,128.222,0.712344444444,1.45276111111,False
e2,3,9,development,155.486,0.863811111111,0.316572222222,True
e2,4,9,development,118.51,0.658388888889,0.974961111111,True
e2,5,9,development,149.352,0.829733333333,1.80469444444,True
e2,1,10,confirmation,129.736,0.720755555556,0.720755555556,False
e2,2,10,confirmation,146.268,0.8126,1.53335555556,False
e2,3,10,confirmation,139.759,0.776438888889,0.309794444444,True
e2,4,10,confirmation,127.675,0.709305555556,1.0191,True
e2,5,10,confirmation,152.862,0.849233333333,1.86833333333,True
e2,6,10,confirmation,140.406,0.780033333333,0.648366666667,True
e2,1,11,development,138.197,0.767761111111,0.767761111111,False
e2,2,11,development,135.575,0.753194444444,1.52095555556,False
e2,3,11,development,145.1,0.806111111111,0.327066666667,True
e2,4,11,development,128.196,0.7122,1.03926666667,True
e2,5,11,development,142.907,0.793927777778,1.83319444444,True
e2,6,11,development,134.468,0.747044444444,0.580238888889,True
e2,7,11,development,133.966,0.744255555556,1.32449444444,True
e2,1,12,confirmation,169.609,0.942272222222,0.942272222222,False
e2,2,12,confirmation,121.638,0.675766666667,1.61803888889,False
e2,3,12,confirmation,142.117,0.789538888889,0.407577777778,True
e2,4,12,confirmation,150.744,0.837466666667,1.24504444444,True
e2,5,12,confirmation,114.104,0.633911111111,1.87895555556,True
e2,6,12,confirmation,163.695,0.909416666667,0.788372222222,True
e2,7,12,confirmation,136.152,0.7564,1.54477222222,True
e2,1,13,development,128.402,0.713344444444,0.713344444444,False
e2,2,13,development,140.511,0.780616666667,1.49396111111,False
e2,3,13,development,144.416,0.802311111111,0.296272222222,True
e2,4,13,development,124.415,0.691194444444,0.987466666667,True
e2,5,13,development,149.703,0.831683333333,1.81915,True
e2,6,13,development,120.24,0.668,0.48715,True
e2,7,13,development,129.75,0.720833333333,1.20798333333,True
e2,1,14,confirmation,134.754,0.748633333333,0.748633333333,False
e2,2,14,confirmation,124.228,0.690155555556,1.43878888889,False
e2,3,14,confirmation,174.826,0.971255555556,0.410044444444,True
e2,4,14,confirmation,114.496,0.636088888889,1.04613333333,True
e2,5,14,confirmation,139.649,0.775827777778,1.82196111111,True
e2,6,14,confirmation,147.571,0.819838888889,0.6418,True
e2,7,14,confirmation,119.025,0.66125,1.30305,True
e2,8,14,confirmation,175.354,0.974188888889,0.277238888889,True
Col,1,19,development,169.495,0.941638888889,0.941638888889,False
Col,2,19,development,117.146,0.650811111111,1.59245,False
Col,3,19,development,136.559,0.758661111111,0.351111111111,True
Col,4,19,development,152.812,0.848955555556,1.20006666667,True
Col,5,19,development,117.406,0.652255555556,1.85232222222,True
Col,6,19,development,154.645,0.859138888889,0.711461111111,True
Col,1,20,confirmation,170.839,0.949105555556,0.949105555556,False
Col,2,20,confirmation,116.438,0.646877777778,1.59598333333,False
Col,3,20,confirmation,131.898,0.732766666667,0.32875,True
Col,4,20,confirmation,158.265,0.87925,1.208,True
Col,5,20,confirmation,121.346,0.674144444444,1.88214444444,True
Col,6,20,confirmation,144.669,0.803716666667,0.685861111111,True
Col,7,20,confirmation,136.659,0.759216666667,1.44507777778,True
Col,1,21,development,175.485,0.974916666667,0.974916666667,False
Col,2,21,development,123.806,0.687811111111,1.66272777778,False
Col,3,21,development,127.134,0.7063,0.369027777778,True
Col,4,21,development,153.388,0.852155555556,1.22118333333,True
Col,5,21,development,125.734,0.698522222222,1.91970555556,True
Col,6,21,development,138.753,0.77085,0.690555555556,True
Col,7,21,development,138.178,0.767655555556,1.45821111111,True
e2,1,15,development,136.065,0.755916666667,0.755916666667,False
e2,2,15,development,146.152,0.811955555556,1.56787222222,False
e2,3,15,development,133.552,0.741955555556,0.309827777778,True
e2,4,15,development,144.829,0.804605555556,1.11443333333,True
e2,5,15,development,137.137,0.761872222222,1.87630555556,True
e2,6,15,development,123.38,0.685444444444,0.56175,True
e2,1,16,confirmation,151.897,0.843872222222,0.843872222222,False
e2,2,16,confirmation,83.192,0.462177777778,1.30605,False
e2,3,16,confirmation,217.607,1.20892777778,0.514977777778,True
e2,4,16,confirmation,140.999,0.783327777778,1.29830555556,True
e2,5,16,confirmation,116.139,0.645216666667,1.94352222222,True
e2,6,16,confirmation,163.102,0.906122222222,0.849644444444,True
e2,7,16,confirmation,123.89,0.688277777778,1.53792222222,True
e2,1,17,development,161.24,0.895777777778,0.895777777778,False
e2,2,17,development,77.426,0.430144444444,1.32592222222,False
e2,3,17,development,135.731,0.754061111111,0.0799833333333,True
e2,4,17,development,144.617,0.803427777778,0.883411111111,True
e2,5,17,development,132.857,0.738094444444,1.62150555556,True
e2,6,17,development,143.81,0.798944444444,0.42045,True
e2,1,18,confirmation,182.039,1.01132777778,1.01132777778,False
e2,2,18,confirmation,114.703,0.637238888889,1.64856666667,False
e2,3,18,confirmation,129.86,0.721444444444,0.370011111111,True
e2,4,18,confirmation,156.621,0.870116666667,1.24012777778,True
e2,5,18,confirmation,114.553,0.636405555556,1.87653333333,True
e2,6,18,confirmation,163.497,0.908316666667,0.78485,True
e2,1,19,development,154.164,0.856466666667,0.856466666667,False
e2,2,19,development,129.331,0.718505555556,1.57497222222,False
e2,3,19,development,134.229,0.745716666667,0.320688888889,True
e2,4,19,development,158.859,0.88255,1.20323888889,True
e2,5,19,development,116.4,0.646666666667,1.84990555556,True
e2,6,19,development,142.588,0.792155555556,0.642061111111,True
e1e2,1,13,development,118.634,0.659077777778,0.659077777778,False
e1e2,2,13,development,90.517,0.502872222222,1.16195,False
e1e2,3,13,development,100.147,0.556372222222,1.71832222222,True
e1e2,4,13,development,101.17,0.562055555556,0.280377777778,True
e1e2,5,13,development,115.741,0.643005555556,0.923383333333,True
e1e2,6,13,development,83.049,0.461383333333,1.38476666667,True
e1e2,1,14,confirmation,157.27,0.873722222222,0.873722222222,False
e1e2,2,14,confirmation,133.258,0.740322222222,1.61404444444,False
e1e2,3,14,confirmation,124.726,0.692922222222,0.306966666667,True
e1e2,4,14,confirmation,146.313,0.81285,1.11981666667,True
e1e2,5,14,confirmation,137.717,0.765094444444,1.88491111111,True
e1e2,6,14,confirmation,132.646,0.736922222222,0.621833333333,True
e1e2,1,15,development,104.983,0.583238888889,0.583238888889,False
e1e2,2,15,development,90.58,0.503222222222,1.08646111111,False
e1e2,3,15,development,215.143,1.19523888889,0.2817,True
e1e2,4,15,development,259.827,1.44348333333,1.72518333333,True
e1e2,5,15,development,168.396,0.935533333333,0.660716666667,True
e1e2,6,15,development,87.696,0.4872,1.14791666667,True
e1e2,1,16,confirmation,261.661,1.45367222222,1.45367222222,False
e1e2,2,16,confirmation,207.174,1.15096666667,0.604638888889,False
e1e2,3,16,confirmation,86.144,0.478577777778,1.08321666667,True
e1e2,4,16,confirmation,101.458,0.563655555556,1.64687222222,True
e1e2,5,16,confirmation,104.585,0.581027777778,0.2279,True
e1e2,6,16,confirmation,97.239,0.540216666667,0.768116666667,True
e1e2,7,16,confirmation,103.164,0.573133333333,1.34125,True
e1e2,1,17,development,161.772,0.898733333333,0.898733333333,False
e1e2,2,17,development,118.483,0.658238888889,1.55697222222,False
e1e2,3,17,development,127.427,0.707927777778,0.2649,True
e1e2,4,17,development,149.929,0.832938888889,1.09783888889,True
e1e2,5,17,development,129.156,0.717533333333,1.81537222222,True
e1e2,6,17,development,143.341,0.796338888889,0.611711111111,True
e1e2,1,18,confirmation,109.699,0.609438888889,0.609438888889,False
e1e2,2,18,confirmation,158.645,0.881361111111,1.4908,False
e1e2,3,18,confirmation,264.819,1.47121666667,0.962016666667,True
e1e2,4,18,confirmation,143.896,0.799422222222,1.76143888889,True
e1e2,5,18,confirmation,105.298,0.584988888889,0.346427777778,True
e1e2,6,18,confirmation,166.199,0.923327777778,1.26975555556,True
