horizon_bins,horizon_us,run,field_G,model,rmse_log_rate,parent_rmse_log_rate,improvement_fraction
4,0.064,EMU00069986,68.0,M3 + environment,0.05702453091197567,0.08222544567844473,0.3064855965028285
4,0.064,EMU00069992,104.0,M3 + environment,0.06248392422551233,0.08263646737205393,0.24386985295255748
4,0.064,EMU00069998,140.0,M3 + environment,0.056900131109533805,0.08184399086049272,0.30477325810610834
4,0.064,EMU00070004,176.0,M3 + environment,0.05601973249134432,0.08232450214206602,0.31952540211331004
4,0.064,EMU00070010,212.0,M3 + environment,0.05794079560845621,0.08156774663489143,0.28966046018400793
4,0.064,EMU00070016,248.0,M3 + environment,0.05653701515594213,0.08185685930797723,0.30931853929029984
4,0.064,EMU00070022,284.0,M3 + environment,0.059124802505218385,0.08215093950721193,0.28029061067490424
4,0.064,EMU00070028,320.0,M3 + environment,0.05366442430205336,0.08187001214671888,0.344516717477926
4,0.064,EMU00070034,356.0,M3 + environment,0.05441510294497287,0.08343861330640764,0.3478426739290731
4,0.064,EMU00070040,392.0,M3 + environment,0.05821556857029479,0.08157420136830795,0.28634828666662404
4,0.064,EMU00070046,428.0,M3 + environment,0.051819704934280626,0.08236866822548086,0.37088086950214727
4,0.064,EMU00070052,464.0,M3 + environment,0.05813744811724293,0.08228209742032659,0.2934374555347574
4,0.064,EMU00070058,500.0,M3 + environment,0.054992639438464365,0.0817495286394,0.32730328414444065
4,0.064,EMU00069986,68.0,M4 full lock,0.05710827531777393,0.08222544567844473,0.30546712338775706
4,0.064,EMU00069992,104.0,M4 full lock,0.06259796884527159,0.08263646737205393,0.2424897767781271
4,0.064,EMU00069998,140.0,M4 full lock,0.056913987783620196,0.08184399086049272,0.3046039521626822
4,0.064,EMU00070004,176.0,M4 full lock,0.05601614109585179,0.08232450214206602,0.3195690269807442
4,0.064,EMU00070010,212.0,M4 full lock,0.05797809370371492,0.08156774663489143,0.2892031949437941
4,0.064,EMU00070016,248.0,M4 full lock,0.0565487405634322,0.08185685930797723,0.3091752964687551
