x_e_child,charged_parent,joint_neutral_parent,nu_e_parent_mean,anti_nu_mu_parent_mean,pair_mass_parent,nu_e_internal_ara,anti_nu_mu_internal_ara,probability_anti_nu_mu_heavier
0.44499999999999995,0.22249999999999998,0.7775000000000001,0.35948755924170595,0.41801244075829413,0.2775,0.9247268404931341,1.0752731595068659,0.6972748815165877
0.4499999999999999,0.22499999999999995,0.775,0.35803571428571396,0.41696428571428606,0.275,0.9239631336405522,1.076036866359448,0.6964285714285714
0.4549999999999999,0.22749999999999995,0.7725000000000001,0.35658791866028683,0.41591208133971325,0.2725000000000001,0.9232049674052732,1.0767950325947266,0.6955741626794258
0.4599999999999999,0.22999999999999995,0.77,0.3551442307692306,0.41485576923076944,0.27,0.9224525474525469,1.077547452547453,0.6947115384615379
0.4649999999999999,0.23249999999999996,0.7675000000000001,0.35370471014492744,0.41379528985507263,0.26750000000000007,0.9217060850682147,1.0782939149317852,0.6938405797101447
0.4699999999999999,0.23499999999999996,0.765,0.352269417475728,0.412730582524272,0.265,0.9209657973221647,1.0790342026778355,0.6929611650485434
0.4749999999999999,0.23749999999999996,0.7625000000000001,0.3508384146341462,0.41166158536585384,0.26250000000000007,0.9202319072371048,1.0797680927628952,0.6920731707317073
0.4799999999999999,0.23999999999999996,0.76,0.34941176470588214,0.41058823529411786,0.26,0.9195046439628477,1.0804953560371522,0.6911764705882352
0.48499999999999993,0.24249999999999997,0.7575000000000001,0.34798953201970434,0.4095104679802957,0.25750000000000006,0.918784242956315,1.0812157570436849,0.6902709359605907
0.48999999999999994,0.24499999999999997,0.755,0.34657178217821755,0.40842821782178246,0.255,0.9180709461674637,1.0819290538325363,0.6893564356435644
0.49499999999999994,0.24749999999999997,0.7525000000000001,0.3451585820895521,0.407341417910448,0.25250000000000006,0.9173650022313676,1.0826349977686325,0.6884328358208953
0.49999999999999994,0.24999999999999997,0.75,0.3437499999999999,0.4062500000000001,0.25,0.9166666666666664,1.0833333333333337,0.6874999999999998
0.5049999999999999,0.25249999999999995,0.7475,0.34234610552763806,0.405153894472362,0.24750000000000005,0.9159762020806369,1.0840237979193632,0.6865577889447234
0.5099999999999999,0.25499999999999995,0.7450000000000001,0.3409469696969695,0.4040530303030306,0.24500000000000005,0.9152938783811261,1.0847061216188738,0.6856060606060609
