split,hours_before,windows,ara_A_median,ara_A_q25,ara_A_q75,ara_B_median,ara_B_q25,ara_B_q75,dominance_median,dominance_q25,dominance_q75,resolved_fraction_median,resolved_fraction_q25,resolved_fraction_q75,share_unstereotyped_median,share_unstereotyped_q25,share_unstereotyped_q75,share_on_edge_median,share_on_edge_q25,share_on_edge_q75
development,40.5,257,1.0223075294204913,0.6853288782021302,1.4226775851132616,0.9387064433668018,0.6626541523108864,1.3197743462308176,-0.05985403863338923,-0.8843748844861121,0.9116126320495269,0.9433333333333334,0.8816666666666667,0.9833333333333332,0.0566666666666666,0.0166666666666666,0.1066666666666666,0.0,0.0,0.0016666666666666
development,43.5,200,1.028007247865705,0.7673961435132002,1.3033117339430265,0.955005179769082,0.7119191960564377,1.3213970366909358,0.049222671057326785,-0.9885649953317293,0.7923144626730223,0.9316666666666666,0.8645833333333333,0.98,0.062499999999999944,0.02,0.12708333333333327,0.0,0.0,0.0033333333333333
development,46.5,191,1.0161592347113129,0.7367779136750925,1.3190490159342652,1.0958811340632273,0.7653252263132012,1.4412860701610577,-0.21397049350030975,-1.0700538458912707,0.6576038542649506,0.8833333333333333,0.835,0.95,0.1,0.05,0.15249999999999994,0.0,0.0,0.0066666666666666
development,49.5,201,1.0162343653553434,0.756279119050965,1.2968855682635576,1.16126715793297,0.8474369173886124,1.552141344438526,-0.3297610891156828,-1.2815264311134336,0.46428087516667027,0.8866666666666667,0.8383333333333334,0.9533333333333334,0.1083333333333333,0.0416666666666666,0.1483333333333333,0.0,0.0,0.0083333333333333
development,52.5,220,1.012808388650074,0.6231442949872693,1.2557118077262117,1.103107323844477,0.8185200208999934,1.5236002306396452,-0.4134335196733002,-1.3104378954890359,0.4052916662685048,0.8908333333333334,0.84125,0.9570833333333334,0.10249999999999995,0.042916666666666624,0.1470833333333333,0.0,0.0,0.0066666666666666
development,55.5,209,1.0423175189949714,0.625584497516096,1.3213439346928757,1.1712945791762723,0.7214752384577048,1.638007577724395,-0.39632550455982685,-1.4909003313115552,0.7803951979951764,0.9333333333333332,0.8666666666666667,0.9783333333333334,0.065,0.0216666666666666,0.1216666666666666,0.0,0.0,0.0033333333333333
development,58.5,193,1.0680836887362715,0.6734785146161091,1.4474744435341826,1.0340030770113762,0.6784364837542383,1.5117733092991046,-0.12204983371362221,-1.18606610993758,0.9208746057894167,0.9466666666666668,0.885,0.985,0.05,0.015,0.11,0.0,0.0,0.0016666666666666
development,61.5,276,1.077319622349775,0.728066193490892,1.3733171601496459,1.1869980758259757,0.808915147552884,1.5773863731843374,-0.34901195229932613,-1.3034781675575848,0.6327010073649302,0.9416666666666668,0.8816666666666667,0.9754166666666667,0.0566666666666666,0.024583333333333325,0.11541666666666665,0.0,0.0,0.00041666666666665
development,64.5,263,0.978241489934597,0.698044403747843,1.411162674043787,1.2054419593976817,0.8091899103340446,1.6692211292680883,-0.6470818398631255,-1.5900082930479964,0.7294860602232911,0.9483333333333334,0.8808333333333334,0.9833333333333332,0.0516666666666666,0.0166666666666666,0.11,0.0,0.0,0.0
development,67.5,242,0.9598257134823844,0.6059294458463733,1.2950462918260406,1.1071103107572804,0.8025043136999074,1.5239810048993467,-0.5711895520152088,-1.526153436628077,0.5694245271115834,0.9366666666666665,0.8787499999999999,0.9833333333333332,0.06,0.0166666666666666,0.11249999999999998,0.0,0.0,0.0016666666666666
development,70.5,171,1.0805893452581952,0.8291814476326519,1.3675988532089942,1.115659746382742,0.7851706771841953,1.384018581762383,-0.14352443191620456,-1.0009644320143063,0.7719275894740707,0.9233333333333332,0.8466666666666667,0.9800000000000001,0.0733333333333333,0.01999999999999995,0.12416666666666665,0.0,0.0,0.00916666666666665
development,73.5,188,1.011860260850188,0.7024244162840969,1.3742223758013017,1.2482039247428138,0.9163112292298009,1.6132138602683863,-0.47172714453122233,-1.3421271559350947,0.5320362195080112,0.905,0.8483333333333334,0.9554166666666667,0.0883333333333333,0.04124999999999995,0.13708333333333328,0.0,0.0,0.01
development,76.5,219,0.9141875661796033,0.6369849745866525,1.1584487475621925,1.2988553313015274,0.9489073640631074,1.6509678721140029,-0.7804692807089995,-1.7817771489498528,0.20008451704928348,0.8833333333333333,0.8391666666666666,0.9658333333333333,0.1033333333333333,0.0333333333333333,0.1366666666666666,0.0,0.0,0.0116666666666666
