event,method,time_s,M,C,speed_rank,display_shift_ms,selected_pair_lag_ms
GW170814,T427 direct,0.1607324218750006,0.16590506911901604,0.4995709550155475,0.9139784946236559,0,-4
GW170814,T427 direct,0.1647324218750006,0.16590506911901604,0.4067558257934647,0.978494623655914,0,-4
GW170814,T427 direct,0.1687324218750006,0.16590506911901604,0.3041909136369771,0.9623655913978495,0,-4
GW170814,T427 direct,0.1727324218750006,0.16590506911901604,0.23584827640982098,0.6989247311827957,0,-4
GW170814,T427 direct,0.1767324218750006,0.16590506911901604,0.23584827640982098,0.4381720430107527,0,-4
GW170814,T427 direct,0.1807324218750006,0.1973516362552353,0.23584827640982098,0.4381720430107527,0,-4
GW170814,T427 direct,0.1847324218750006,0.1973516362552353,0.23584827640982098,0.7258064516129032,0,-4
GW170814,T427 direct,0.1887324218750006,0.1576817100124697,0.29513858900707857,0.8763440860215054,0,-4
GW170814,T427 direct,0.19273242187500061,0.13491068598505918,0.3345683429215505,0.532258064516129,0,-4
GW170814,T427 direct,0.19673242187500062,0.1576817100124697,0.3345683429215505,0.3172043010752688,0,-4
GW170814,T427 direct,0.20073242187500062,0.1576817100124697,0.3345683429215505,0.021505376344086023,0,-4
GW170814,T427 direct,0.20473242187500063,0.1576817100124697,0.3345683429215505,0.7956989247311828,0,-4
GW170814,T427 direct,0.20873242187500063,0.1576817100124697,0.2509160727962848,0.9247311827956989,0,-4
GW170814,T427 direct,0.21273242187500063,0.15777293844391438,0.1790555077418981,0.8494623655913979,0,-4
GW170814,T427 direct,0.21673242187500064,0.15777293844391438,0.1446356686821892,0.478494623655914,0,-4
GW170814,T427 direct,0.22073242187500064,0.1601767857002223,0.1446356686821892,0.4838709677419355,0,-4
GW170814,T427 direct,0.22473242187500064,0.192733722624574,0.1446356686821892,0.45698924731182794,0,-4
GW170814,T427 direct,0.22873242187500065,0.192733722624574,0.13961860392593714,0.46774193548387094,0,-4
GW170814,T427 direct,0.23273242187500065,0.1601767857002223,0.1361051290910686,0.6075268817204301,0,-4
GW170814,T427 direct,0.23673242187500065,0.14088196749072338,0.1403703988866289,0.5376344086021505,0,-4
GW170814,T427 direct,0.24073242187500066,0.12158714928122444,0.1446356686821892,0.07526881720430108,0,-4
GW170814,T427 direct,0.24473242187500066,0.14088196749072338,0.14184550320457368,0.5161290322580645,0,-4
GW170814,T429 separated,-0.491267578125,1.175751525506468,1.589902367586038,0.7365591397849462,4,-4
GW170814,T429 separated,-0.487267578125,1.1656773248718575,1.5201415670002436,0.7526881720430108,4,-4
GW170814,T429 separated,-0.483267578125,1.148554552111301,1.4468079082255296,0.7634408602150538,4,-4
GW170814,T429 separated,-0.479267578125,1.1314317793507442,1.3734742494508154,1.0,4,-4
GW170814,T429 separated,-0.475267578125,1.1165086648767388,0.8336148401269216,0.9946236559139785,4,-4
GW170814,T429 separated,-0.471267578125,1.0956992921649986,0.7870002440810346,0.6182795698924731,4,-4
GW170814,T429 separated,-0.46726757812499997,1.091883817427386,0.7360907981449836,0.44086021505376344,4,-4
GW170814,T429 separated,-0.46326757812499997,1.079697339516719,0.7196856236270447,0.5053763440860215,4,-4
GW170814,T429 separated,-0.45926757812499996,1.079697339516719,0.6595713937027086,0.4032258064516129,4,-4
GW170814,T429 separated,-0.45526757812499996,1.079697339516719,0.6582035635831105,0.11290322580645161,4,-4
GW170814,T429 separated,-0.45126757812499996,1.079697339516719,0.6582035635831105,0.5860215053763441,4,-4
GW170814,T429 separated,-0.44726757812499995,1.1708752745911652,0.6582035635831105,0.8279569892473119,4,-4
GW170814,T429 separated,-0.44326757812499995,1.2698237734928008,0.6582035635831105,0.9247311827956989,4,-4
GW170814,T429 separated,-0.43926757812499995,1.3911105687088132,0.7338198681962421,0.9086021505376344,4,-4
GW170814,T429 separated,-0.43526757812499994,1.4300112277276038,0.8112960702953391,0.7473118279569892,4,-4
GW170814,T429 separated,-0.43126757812499994,1.4300112277276038,0.870329509397119,0.3924731182795699,4,-4
GW170814,T429 separated,-0.42726757812499994,1.4300112277276038,0.870329509397119,0.051075268817204304,4,-4
GW170814,T429 separated,-0.42326757812499993,1.4300112277276038,0.870329509397119,0.6881720430107527,4,-4
GW170814,T429 separated,-0.41926757812499993,1.3036065413717333,0.870329509397119,0.9354838709677419,4,-4
GW170814,T429 separated,-0.4152675781249999,1.1893922382230886,0.870329509397119,0.7419354838709677,4,-4
GW170814,T429 separated,-0.4112675781249999,1.1622338296314387,0.870329509397119,0.25268817204301075,4,-4
GW170814,T429 separated,-0.4072675781249999,1.1622338296314387,0.870329509397119,0.2849462365591398,4,-4
GW170814,T429 separated,-0.4032675781249999,1.1622338296314387,0.9137075909201867,0.44623655913978494,4,-4
GW170814,T429 separated,-0.3992675781249999,1.1622338296314387,0.9396875762753217,0.4731182795698925,4,-4
GW170814,T429 separated,-0.3952675781249999,1.2307053941908732,0.9396875762753217,0.43010752688172044,4,-4
GW170814,T429 separated,-0.3912675781249999,1.2307053941908732,0.9396875762753217,0.051075268817204304,4,-4
GW170814,T429 separated,-0.3872675781249999,1.2307053941908732,0.9396875762753217,0.543010752688172,4,-4
GW170814,T429 separated,-0.3832675781249999,1.2307053941908732,0.8559541127654359,0.8440860215053764,4,-4
GW170814,T429 separated,-0.3792675781249999,1.1789162802050248,0.7539780327068559,0.9032258064516129,4,-4
GW170814,T429 separated,-0.3752675781249999,1.0396045887234524,0.7539780327068559,0.946236559139785,4,-4
GW170814,T429 separated,-0.3712675781249999,0.9136509641200846,0.7539780327068559,0.8817204301075269,4,-4
GW170814,T429 separated,-0.3672675781249999,0.8296714669270177,0.7539780327068559,0.6989247311827957,4,-4
GW170814,T429 separated,-0.3632675781249999,0.7794483768611167,0.7436846473029082,0.3387096774193548,4,-4
GW170814,T429 separated,-0.3592675781249999,0.7794483768611167,0.7436846473029082,0.051075268817204304,4,-4
GW170814,T429 separated,-0.35526757812499987,0.7794483768611167,0.7436846473029082,0.5645161290322581,4,-4
GW170814,T429 separated,-0.35126757812499987,0.7794483768611167,0.6557549426409595,0.6075268817204301,4,-4
GW170814,T429 separated,-0.34726757812499986,0.8110685867708094,0.6557549426409595,0.9139784946236559,4,-4
GW170814,T429 separated,-0.34326757812499986,1.0021801318037658,0.6557549426409595,0.9838709677419355,4,-4
GW170814,T429 separated,-0.33926757812499986,1.1525291676836757,0.6557549426409595,0.967741935483871,4,-4
GW170814,T429 separated,-0.33526757812499985,1.3043983402489678,0.7290261166707372,0.8763440860215054,4,-4
GW170814,T429 separated,-0.33126757812499985,1.3043983402489678,0.7976851354649769,0.6505376344086021,4,-4
GW170814,T429 separated,-0.32726757812499985,1.3043983402489678,0.8448806443739328,0.41397849462365593,4,-4
GW170814,T429 separated,-0.32326757812499984,1.3043983402489678,0.8599980473517217,0.27956989247311825,4,-4
GW170814,T429 separated,-0.31926757812499984,1.2975338052233305,0.8843553819868217,0.6827956989247311,4,-4
GW170814,T429 separated,-0.31526757812499984,1.206614596045886,0.9382035635831126,0.7688172043010753,4,-4
GW170814,T429 separated,-0.31126757812499983,1.206614596045886,1.0055777398096175,0.42473118279569894,4,-4
GW170814,T429 separated,-0.30726757812499983,1.206614596045886,1.0055777398096175,0.051075268817204304,4,-4
GW170814,T429 separated,-0.3032675781249998,1.206614596045886,1.0055777398096175,0.3172043010752688,4,-4
GW170814,T429 separated,-0.2992675781249998,1.2551711008054702,1.0055777398096175,0.6290322580645161,4,-4
GW170814,T429 separated,-0.2952675781249998,1.3136929460580928,0.9955089089577722,0.6129032258064516,4,-4
GW170814,T429 separated,-0.2912675781249998,1.3413346350988538,0.958365633390284,0.5268817204301075,4,-4
GW170814,T429 separated,-0.2872675781249998,1.3573951671955098,0.9265794483768601,0.3548387096774194,4,-4
GW170814,T429 separated,-0.2832675781249998,1.3741957529899935,0.9137476202099111,0.27419354838709675,4,-4
GW170814,T429 separated,-0.2792675781249998,1.3951916036124004,0.9137476202099111,0.3064516129032258,4,-4
GW170814,T429 separated,-0.2752675781249998,1.4195606541371746,0.9137476202099111,0.25806451612903225,4,-4
GW170814,T429 separated,-0.2712675781249998,1.4195606541371746,0.9010231876983146,0.1774193548387097,4,-4
GW170814,T429 separated,-0.2672675781249998,1.4195606541371746,0.9006834268977303,0.10215053763440861,4,-4
GW170814,T429 separated,-0.2632675781249998,1.4195606541371746,0.9006834268977303,0.1935483870967742,4,-4
GW170814,T429 separated,-0.2592675781249998,1.4154796192335846,0.8849255552843519,0.489247311827957,4,-4
GW170814,T429 separated,-0.2552675781249998,1.3987600683426893,0.8296656089821786,0.3817204301075269,4,-4
GW170814,T429 separated,-0.2512675781249998,1.3987600683426893,0.8296656089821786,0.051075268817204304,4,-4
GW170814,T429 separated,-0.24726757812499978,1.3987600683426893,0.8296656089821786,0.051075268817204304,4,-4
GW170814,T429 separated,-0.24326757812499977,1.3987600683426893,0.8296656089821786,0.13440860215053763,4,-4
GW170814,T429 separated,-0.23926757812499977,1.40400195264828,0.8334410544300752,0.553763440860215,4,-4
GW170814,T429 separated,-0.23526757812499977,1.40400195264828,0.9155772516475518,0.7204301075268817,4,-4
GW170814,T429 separated,-0.23126757812499976,1.40400195264828,0.9707112521357109,0.45161290322580644,4,-4
GW170814,T429 separated,-0.22726757812499976,1.40400195264828,0.9849890163534286,0.20967741935483872,4,-4
GW170814,T429 separated,-0.22326757812499975,1.391557725164752,0.9849890163534286,0.2903225806451613,4,-4
GW170814,T429 separated,-0.21926757812499975,1.3604481327800848,0.9849890163534286,0.26344086021505375,4,-4
GW170814,T429 separated,-0.21526757812499975,1.3604481327800848,0.9849890163534286,0.3763440860215054,4,-4
GW170814,T429 separated,-0.21126757812499974,1.348603368318278,0.9285028069318966,0.7096774193548387,4,-4
GW170814,T429 separated,-0.20726757812499974,1.3364422748352416,0.8513107151574273,0.5161290322580645,4,-4
GW170814,T429 separated,-0.20326757812499974,1.3242255308762552,0.8513107151574273,0.17204301075268819,4,-4
GW170814,T429 separated,-0.19926757812499973,1.3242255308762552,0.8513107151574273,0.20430107526881722,4,-4
GW170814,T429 separated,-0.19526757812499973,1.3195752989992664,0.8335894556992854,0.3333333333333333,4,-4
GW170814,T429 separated,-0.19126757812499973,1.2811618257261381,0.8237246765926335,0.45698924731182794,4,-4
GW170814,T429 separated,-0.18726757812499972,1.2481933121796416,0.8237246765926335,0.3870967741935484,4,-4
GW170814,T429 separated,-0.18326757812499972,1.2232667805711483,0.8237246765926335,0.3978494623655914,4,-4
GW170814,T429 separated,-0.17926757812499972,1.2024593605076872,0.7837969245789629,0.3010752688172043,4,-4
GW170814,T429 separated,-0.1752675781249997,1.2024593605076872,0.7837969245789629,0.051075268817204304,4,-4
GW170814,T429 separated,-0.1712675781249997,1.2024593605076872,0.7837969245789629,0.051075268817204304,4,-4
GW170814,T429 separated,-0.1672675781249997,1.2024593605076872,0.7837969245789629,0.5376344086021505,4,-4
GW170814,T429 separated,-0.1632675781249997,1.2651296070295392,0.8375064681474289,0.7150537634408602,4,-4
GW170814,T429 separated,-0.1592675781249997,1.32185892116183,0.8501811081279008,0.6666666666666666,4,-4
GW170814,T429 separated,-0.1552675781249997,1.3796387600683482,0.8729304369050503,0.7043010752688172,4,-4
GW170814,T429 separated,-0.1512675781249997,1.4546985599219007,0.8733756407127168,0.7849462365591398,4,-4
GW170814,T429 separated,-0.1472675781249997,1.5397285818891917,0.8843758847937566,0.5483870967741935,4,-4
GW170814,T429 separated,-0.14326757812499968,1.5397285818891917,0.8843758847937566,0.051075268817204304,4,-4
GW170814,T429 separated,-0.13926757812499968,1.5397285818891917,0.8843758847937566,0.051075268817204304,4,-4
GW170814,T429 separated,-0.13526757812499968,1.5397285818891917,0.8843758847937566,0.22043010752688172,4,-4
GW170814,T429 separated,-0.13126757812499967,1.519373199902374,0.8843758847937566,0.24193548387096775,4,-4
GW170814,T429 separated,-0.12726757812499967,1.519373199902374,0.8960253844276258,0.15053763440860216,4,-4
GW170814,T429 separated,-0.12326757812499967,1.519373199902374,0.8960253844276258,0.051075268817204304,4,-4
GW170814,T429 separated,-0.11926757812499966,1.519373199902374,0.8960253844276258,0.4838709677419355,4,-4
GW170814,T429 separated,-0.11526757812499966,1.5911691481571928,0.9133902855748159,0.6344086021505376,4,-4
GW170814,T429 separated,-0.11126757812499966,1.601813033927257,0.9668518428118164,0.4946236559139785,4,-4
GW170814,T429 separated,-0.10726757812499965,1.601813033927257,0.9887722723944333,0.23118279569892472,4,-4
GW170814,T429 separated,-0.10326757812499965,1.601813033927257,0.9887722723944333,0.051075268817204304,4,-4
GW170814,T429 separated,-0.09926757812499964,1.601813033927257,0.9887722723944333,0.532258064516129,4,-4
