cell,progress,q_end,entity,observed_survival,observed_phase,model,predicted_survival,predicted_phase
20,0.8333333333333334,68171,candidate,0.3107231599943523,1.9590295124897585,circle_secant_rho1,0.3058431408932061,1.9695973351356262
20,0.8333333333333334,68171,candidate,0.3107231599943523,1.9590295124897585,circle_shared_rho_primary,0.3112962940576649,1.9577913925124886
20,0.8333333333333334,68171,candidate,0.3107231599943523,1.9590295124897585,circle_candidate_rho_sensitivity,0.31073527135708445,1.9590033422903657
20,0.8333333333333334,68171,edge,0.09581777502405898,2.5121647946563415,home_r10,0.11420103863789968,2.452145685990213
20,0.8333333333333334,68171,edge,0.09581777502405898,2.5121647946563415,direct_log_rung,0.09451039266736981,2.516620162634248
20,0.8333333333333334,68171,edge,0.09581777502405898,2.5121647946563415,circle_secant_rho1,0.09239316259307934,2.523894364975522
20,0.8333333333333334,68171,edge,0.09581777502405898,2.5121647946563415,circle_shared_rho_primary,0.09586541052840647,2.5120029749170483
20,0.8333333333333334,68171,edge,0.09581777502405898,2.5121647946563415,circle_edge_rho_sensitivity,0.09612261243489273,2.51112986976489
20,0.8333333333333334,68171,edge,0.09581777502405898,2.5121647946563415,circle_candidate_plus_j_secondary,0.09641639641890097,2.5101338581611654
21,0.875,100183,candidate,0.2953991041779596,1.992375414547471,home_r10,0.32298059491503683,1.9326824369822733
21,0.875,100183,candidate,0.2953991041779596,1.992375414547471,direct_log_rung,0.2929051399904709,1.9978487181278988
21,0.875,100183,candidate,0.2953991041779596,1.992375414547471,circle_secant_rho1,0.290685265262927,2.0027319873035125
