rung,entity,axis,axis_bin,coordinate_low,coordinate_high,starting_events,threshold_index,threshold_q,adult_progress,conditional_survival,global_survival,redistribution_log2
r9,edge,u,11,1.8333333333333333,2.0,0,10,631,0.43467667236173446,nan,0.2980127460800043,nan
r9,edge,u,0,0.0,0.16666666666666666,0,11,853,0.47816191223012056,nan,0.27442629344348024,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,11,853,0.47816191223012056,nan,0.27442629344348024,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,11,853,0.47816191223012056,0.26578845408756296,0.27442629344348024,-0.04614028125010596
r9,edge,u,3,0.5,0.6666666666666666,65805,11,853,0.47816191223012056,0.2732923030164881,0.27442629344348024,-0.005973887735771533
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,11,853,0.47816191223012056,0.2748280408002326,0.27442629344348024,0.0021104941245044294
r9,edge,u,5,0.8333333333333334,1.0,306444,11,853,0.47816191223012056,0.2748495646839227,0.27442629344348024,0.002223478171758472
r9,edge,u,6,1.0,1.1666666666666667,608675,11,853,0.47816191223012056,0.27418408838871317,0.27442629344348024,-0.001273865991840287
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,11,853,0.47816191223012056,0.2746690922777743,0.27442629344348024,0.0012758610110669634
r9,edge,u,8,1.3333333333333333,1.5,83755,11,853,0.47816191223012056,0.2728911706763775,0.27442629344348024,-0.008092998876041882
r9,edge,u,9,1.5,1.6666666666666667,6073,11,853,0.47816191223012056,0.2876667215544212,0.27442629344348024,0.06797961773773803
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,11,853,0.47816191223012056,nan,0.27442629344348024,nan
r9,edge,u,11,1.8333333333333333,2.0,0,11,853,0.47816191223012056,nan,0.27442629344348024,nan
r9,edge,u,0,0.0,0.16666666666666666,0,12,1153,0.5216340667032948,nan,0.2533983004382494,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,12,1153,0.5216340667032948,nan,0.2533983004382494,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,12,1153,0.5216340667032948,0.24370399070127857,0.2533983004382494,-0.056276972572686525
r9,edge,u,3,0.5,0.6666666666666666,65805,12,1153,0.5216340667032948,0.2519261454296786,0.2533983004382494,-0.008405992452107025
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,12,1153,0.5216340667032948,0.2542447137730656,0.2533983004382494,0.004810929799387766
r9,edge,u,5,0.8333333333333334,1.0,306444,12,1153,0.5216340667032948,0.25348187597081356,0.2533983004382494,0.00047574954821399566
r9,edge,u,6,1.0,1.1666666666666667,608675,12,1153,0.5216340667032948,0.25338809709615145,0.2533983004382494,-5.8092763021307045e-05
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,12,1153,0.5216340667032948,0.253320839345085,0.2533983004382494,-0.0004410835394472898
r9,edge,u,8,1.3333333333333333,1.5,83755,12,1153,0.5216340667032948,0.25137603725150737,0.2533983004382494,-0.011559718718148414
