parent_prime,child_gate_count,child_centroid,mean_ridge_distance,mean_phi_pair_distance,minimum_phi_pair_distance,nearest_phi_residue_hit_count,nearest_phi_residue_hit_share
4000004521,6337,1.0007623088934303,0.5005781941725015,0.263100181754119,5.092211207898529e-05,4,0.0006312135079690705
4000004531,6337,1.0009663096769923,0.5006171409000432,0.2627880754078681,1.5528434673308724e-05,8,0.001262427015938141
4000004537,6337,1.002224894461476,0.5004997186542655,0.26287440300844706,1.939600038703603e-06,3,0.0004734101309768029
4000004549,6337,1.0031640302605156,0.5007367096647533,0.2625725647125427,1.3031674665730693e-05,10,0.0015780337699226763
4000004581,6337,1.002933133856764,0.5008693429809754,0.26248897565816315,5.15802364841124e-05,9,0.0014202303929304087
4000004599,6337,1.0022903936544312,0.5011693030500153,0.2625865043373915,3.070613131312941e-05,6,0.0009468202619536059
4000004611,6337,1.0007046754215958,0.5017443962609418,0.2628201553118888,8.934449179536502e-05,7,0.0011046236389458735
4000004633,6337,1.000585384988262,0.5012239207859983,0.2631737973484473,5.110269272479709e-05,6,0.0009468202619536059
4000004663,6337,0.9996193535690315,0.5013968452910728,0.2629266023056284,0.0001431260211665717,6,0.0009468202619536059
4000004683,6337,1.0000273551361585,0.5014370032796548,0.26304956314425115,3.7612631027720635e-05,3,0.0004734101309768029
4000004699,6337,0.9999119069342796,0.501837314384552,0.2627724372297532,1.6446289184862713e-05,10,0.0015780337699226763
4000004747,6337,0.9970407082967759,0.5001158079057358,0.26276951467443554,7.650630828923335e-05,5,0.0007890168849613382
4000004809,6337,0.9996310615216085,0.50107349921552,0.2619615197691441,0.00013342364914712725,6,0.0009468202619536059
4000004857,6337,1.0027563912098068,0.501590230203952,0.2615352390576741,8.746137061142051e-05,4,0.0006312135079690705
4000004881,6337,1.0036878425459348,0.5019015242917161,0.26153691015503383,2.484348081291248e-05,9,0.0014202303929304087
4000004929,6337,1.002394677678353,0.5023145876668507,0.2607792411303349,8.888659530201713e-05,6,0.0009468202619536059
4000004941,6337,1.0017557797074705,0.5024684314029455,0.26064101791209227,0.00012373848937915005,4,0.0006312135079690705
4000004947,6337,1.0014363307220335,0.5024403797911033,0.2608049244544293,5.6460660007242115e-05,6,0.0009468202619536059
4000005007,6337,0.9991886611295885,0.5019553404583076,0.26026181980547103,2.898541223005985e-05,7,0.0011046236389458735
4000005017,6337,1.001286302437058,0.5017953910412309,0.260320656402053,2.8099679079675938e-05,7,0.0011046236389458735
4000005019,6337,1.0013902239445645,0.5020328756843605,0.2602727957555324,8.257086383412499e-05,5,0.0007890168849613382
4000005041,6337,1.0006397200032646,0.5017878151176186,0.2600276616544486,8.502659705104406e-05,5,0.0007890168849613382
4000005047,6337,1.0015826980337634,0.5014917054228163,0.2602960935981628,7.281582910446291e-05,4,0.0006312135079690705
4000005091,6337,1.001344117167096,0.5018107727836625,0.2601029653049586,3.936620734870888e-05,4,0.0006312135079690705
4000005109,6337,1.0019638039806982,0.5017017100703353,0.25992129312579604,1.7624820668623153e-06,10,0.0015780337699226763
4000005127,6337,1.0041615245642257,0.5017723665754218,0.26000923262882414,7.60966678091805e-05,5,0.0007890168849613382
4000005179,6337,1.0056010567435392,0.502398695158295,0.2601592966720615,4.814655765457304e-05,6,0.0009468202619536059
4000005193,6337,1.004119260018216,0.5023386780146967,0.2602685222196976,9.462981450773844e-05,7,0.0011046236389458735
4000005203,6337,1.0065325080796748,0.5026034738906787,0.2601917931079866,0.00012699279714027326,4,0.0006312135079690705
4000005239,6337,1.0033533871510867,0.502664268207361,0.26024739542940134,2.8667345581032684e-05,5,0.0007890168849613382
4000005263,6337,1.001759984455341,0.5025134769914442,0.26042802359513945,3.782137295357028e-05,5,0.0007890168849613382
4000005307,6337,1.0024682238506335,0.5025510226131009,0.2600029503798123,5.5166744304427634e-06,7,0.0011046236389458735
