base,factors,voice_count,first_missing_prime,harmonic_repeat_count,event_x_old_lock,event_x_echo,last_pure_repeat_x,phi_crossed_before_expansion
883230,2;3;5;59;499,5,7,5,1.7511186409557744,0.24888135904422548,1.7685528835914621,False
883246,2;7;13;23;211,5,3,1,1.851438212486601,0.1485617875133992,1.9036258638146728,False
883282,2;29;97;157,4,3,1,1.851438621889165,0.14856137811083503,1.9036261368861127,False
883286,2;17;83;313,4,3,1,1.8514386673771697,0.14856133262283053,1.9036261672266013,False
883298,2;13;53;641,4,3,1,1.8514388038397798,0.1485611961602201,1.903626258247128,False
883338,2;3;23;37;173,5,5,3,1.7896283491517735,0.21037165084822662,1.8161139869495344,False
883402,2;13;61;557,4,3,1,1.8514399864275848,0.14856001357241524,1.9036270470326984,False
883414,2;7;89;709,4,3,1,1.8514401228698536,0.1485598771301466,1.9036271380396115,False
883418,2;487;907,3,3,1,1.8514401683501422,0.14855983164985792,1.9036271683749362,False
883462,2;19;67;347,4,3,1,1.8514406686178886,0.14855933138211125,1.9036275020531839,False
883482,2;3;229;643,4,5,3,1.7896305902751324,0.21036940972486778,1.8161159749085558,False
883506,2;3;13;47;241,5,5,3,1.789630963755536,0.21036903624446385,1.8161163061993788,False
883526,2;7;223;283,4,3,1,1.8514413962295766,0.14855860377042346,1.9036279873695732,False
883554,2;3;7;109;193,5,5,3,1.7896317106819304,0.21036828931806936,1.8161169687504464,False
883570,2;5;149;593,4,3,1,1.851441896427905,0.14855810357209515,1.9036283210013634,False
883614,2;3;19;23;337,5,5,3,1.7896326442754054,0.2103673557245944,1.816117796881953,False
883630,2;5;11;29;277,5,3,1,1.8514425784709656,0.14855742152903428,1.9036287759233084,False
883670,2;5;97;911,4,3,1,1.851443033137132,0.1485569668628677,1.9036290791850585,False
883694,2;7;17;47;79,5,3,1,1.8514433059256177,0.14855669407438224,1.9036292611346033,False
883714,2;13;41;829,4,3,1,1.8514435332429313,0.14855646675706888,1.9036294127549245,False
883722,2;3;7;53;397,5,5,3,1.7896343245630413,0.21036567543695878,1.8161192873581753,False
883770,2;3;5;89;331,5,7,5,1.7511283684774048,0.24887163152259514,1.7685620197561678,False
883802,2;647;683,3,3,1,1.8514445333697325,0.14855546663026753,1.9036300798379078,False
883902,2;3;179;823,4,5,3,1.7896371245265235,0.21036287547347646,1.8161217710267978,False
883910,2;5;157;563,4,3,1,1.851445760643584,0.14855423935641604,1.9036308984272656,False
883934,2;31;53;269,4,3,1,1.851446033347989,0.14855396665201115,1.9036310803205405,False
883938,2;3;11;59;227,5,5,3,1.7896376844418538,0.21036231555814636,1.8161222676917783,False
883946,2;7;103;613,4,3,1,1.851446169697039,0.14855383030296077,1.9036311712650684,False
883990,2;5;109;811,4,3,1,1.85144666962558,0.1485533303744198,1.9036315047163068,False
883994,2;19;43;541,4,3,1,1.8514467150722287,0.1485532849277714,1.9036315350291184,False
884002,2;7;233;271,4,3,1,1.8514468059648252,0.14855319403517486,1.903631595654273,False
884010,2;3;5;79;373,5,7,5,1.7511326896687152,0.24886731033128479,1.7685660782506996,False
884022,2;3;251;587,4,5,3,1.7896389908106918,0.21036100918930817,1.8161234264876414,False
884030,2;5;7;73;173,5,3,1,1.8514471240815595,0.14855287591844044,1.9036318078373917,False
884078,2;13;37;919,4,3,1,1.8514476693979225,0.14855233060207754,1.9036321715620728,False
884090,2;5;211;419,4,3,1,1.8514478057217614,0.14855219427823846,1.9036322624897286,False
884146,2;19;53;439,4,3,1,1.8514484418719044,0.14855155812809578,1.9036326868002016,False
884162,2;653;677,3,3,1,1.8514486236206864,0.14855137637931348,1.9036328080261429,False
884166,2;3;23;43;149,5,5,3,1.7896412299736195,0.21035877002638068,1.8161254127047144,False
884170,2;5;7;17;743,5,3,1,1.8514487144936775,0.14855128550632246,1.9036328686381765,False
884198,2;7;137;461,4,3,1,1.8514490325417958,0.14855096745820426,1.903633080775375,False
884226,2;3;7;37;569,5,5,3,1.7896421628364758,0.21035783716352427,1.8161262401870275,False
884234,2;13;71;479,4,3,1,1.851449441444005,0.148550558555995,1.9036333535119585,False
884258,2;23;47;409,4,3,1,1.8514497140349788,0.14855028596502134,1.9036335353293212,False
884274,2;3;293;503,4,5,3,1.7896429090752293,0.2103570909247708,1.8161269021270894,False
884282,2;7;83;761,4,3,1,1.8514499866175536,0.14855001338244647,1.9036337171410633,False
884306,2;17;31;839,4,3,1,1.8514502591917303,0.14854974080826985,1.9036338989471846,False
884326,2;29;79;193,4,3,1,1.8514504863304624,0.1485495136695377,1.9036340504479925,False
884330,2;5;191;463,4,3,1,1.8514505317575087,0.14854946824249105,1.9036340807476857,False
884338,2;7;13;43;113,5,3,1,1.8514506226109024,0.14854937738909751,1.903634141346604,False
884366,2;7;181;349,4,3,1,1.8514509405904322,0.1485490594095676,1.9036343534379008,False
884370,2;3;5;41;719,5,7,5,1.7511391689753013,0.24886083102469858,1.768572163660278,False
884378,2;11;61;659,4,3,1,1.851451076863875,0.14854892313612483,1.9036344443318294,False
884418,2;3;223;661,4,5,3,1.7896451475167099,0.21035485248329022,1.816128887703119,False
884442,2;3;13;17;23;29,6,5,3,1.7896455205502249,0.21035447944977517,1.8161292185968572,False
884470,2;5;241;367,4,3,1,1.8514521215572048,0.1485478784427952,1.9036351411386154,False
884530,2;5;197;449,4,3,1,1.8514528028124835,0.1485471971875163,1.9036355955333477,False
884534,2;7;23;41;67,5,3,1,1.8514528482276371,0.14854715177236297,1.9036356258250815,False
884558,2;29;101;151,4,3,1,1.8514531207136613,0.1485468792863388,1.9036358075722084,False
884586,2;3;379;389,4,5,3,1.7896477585109851,0.21035224148901502,1.8161312037457418,False
884618,2;7;179;353,4,3,1,1.8514538018920048,0.1485461981079953,1.9036362619154528,False
884642,2;11;79;509,4,3,1,1.8514540743486567,0.14854592565134334,1.9036364436429227,False
884658,2;3;283;521,4,5,3,1.7896488773368973,0.2103511226631029,1.8161321961829306,False
884662,2;631;701,3,3,1,1.8514543013894569,0.14854569861054315,1.9036365950781908,False
884670,2;3;5;37;797,5,7,5,1.751144566125422,0.24885543387457798,1.7685772326986082,False
884678,2;19;31;751,4,3,1,1.8514544830179016,0.14854551698209828,1.903636716223598,False
884730,2;3;5;7;11;383,6,13,11,1.684469014057917,0.3155309859420828,1.6928031668519703,False
884766,2;3;167;883,4,5,3,1.7896505553827307,0.21034944461726934,1.8161336846671934,False
884770,2;5;103;859,4,3,1,1.8514555273090985,0.14854447269090162,1.9036374127612625,False
884774,2;11;131;307,4,3,1,1.851455572710267,0.14854442728973286,1.9036374430436374,False
884778,2;3;239;617,4,5,3,1.789650741817971,0.21034925818202893,1.8161338500416304,False
884782,2;17;53;491,4,3,1,1.8514556635119057,0.14854433648809437,1.9036375036079194,False
