ara_numerator,ara_denominator,ara_value,mirror_numerator,mirror_denominator,mirror_value,distance_from_ridge,count,share,mirror_count,count_minus_mirror,r7_count,r8_count,r9_count,r10_count,r11_count
2,61,0.03278688524590164,120,61,1.9672131147540983,-0.9672131147540983,2042,4.6032037260972955e-05,1978,64,0,1,9,129,1903
1,30,0.03333333333333333,59,30,1.9666666666666666,-0.9666666666666667,2292,5.166769314502939e-05,2260,32,0,0,10,175,2107
4,119,0.03361344537815126,234,119,1.9663865546218486,-0.9663865546218487,8,1.803409882898059e-07,9,-1,0,0,0,0,8
4,117,0.03418803418803419,230,117,1.9658119658119657,-0.9658119658119658,11,2.479688588984831e-07,12,-1,0,0,0,0,11
1,29,0.034482758620689655,57,29,1.9655172413793103,-0.9655172413793104,1961,4.420608475453867e-05,1908,53,1,0,7,135,1818
2,57,0.03508771929824561,112,57,1.9649122807017543,-0.9649122807017544,2515,5.669469819360773e-05,2451,64,0,2,9,168,2336
4,113,0.035398230088495575,222,113,1.9646017699115044,-0.9646017699115044,14,3.1559672950716033e-07,5,9,0,0,0,1,13
1,28,0.03571428571428571,55,28,1.9642857142857142,-0.9642857142857143,1,2.2542623536225736e-08,0,1,0,0,0,0,1
4,111,0.036036036036036036,218,111,1.9639639639639639,-0.963963963963964,16,3.606819765796118e-07,15,1,0,0,0,1,15
2,55,0.03636363636363636,108,55,1.9636363636363636,-0.9636363636363636,3709,8.361059069586126e-05,3635,74,0,1,18,280,3410
1,27,0.037037037037037035,53,27,1.962962962962963,-0.962962962962963,2635,5.939981301795482e-05,2750,-115,0,2,14,223,2396
4,107,0.037383177570093455,210,107,1.9626168224299065,-0.9626168224299065,36,8.115344473041265e-07,34,2,0,0,1,1,34
4,105,0.0380952380952381,206,105,1.9619047619047618,-0.9619047619047619,42,9.46790188521481e-07,50,-8,0,0,0,0,42
1,26,0.038461538461538464,51,26,1.9615384615384615,-0.9615384615384616,3335,7.517964949331283e-05,3269,66,0,0,16,265,3054
6,155,0.03870967741935484,304,155,1.961290322580645,-0.9612903225806452,1,2.2542623536225736e-08,0,1,0,0,0,0,1
2,51,0.0392156862745098,100,51,1.9607843137254901,-0.9607843137254902,5359,0.00012080591953063372,5220,139,0,1,33,412,4913
4,101,0.039603960396039604,198,101,1.9603960396039604,-0.9603960396039604,39,8.791623179128038e-07,36,3,0,0,0,4,35
1,25,0.04,49,25,1.96,-0.96,4,9.017049414490294e-08,1,3,0,0,0,0,4
6,149,0.040268456375838924,292,149,1.9597315436241611,-0.9597315436241611,1,2.2542623536225736e-08,0,1,0,0,0,0,1
4,99,0.04040404040404041,194,99,1.9595959595959596,-0.9595959595959596,53,1.194759047419964e-06,46,7,0,0,0,4,49
2,49,0.04081632653061224,96,49,1.9591836734693877,-0.9591836734693877,4954,0.0001116761569984623,4816,138,0,1,37,367,4549
6,145,0.041379310344827586,284,145,1.9586206896551723,-0.9586206896551724,3,6.762787060867721e-08,0,3,0,0,0,0,3
1,24,0.041666666666666664,47,24,1.9583333333333333,-0.9583333333333334,4292,9.675294021748087e-05,4258,34,0,1,31,348,3912
6,143,0.04195804195804196,280,143,1.9580419580419581,-0.958041958041958,1,2.2542623536225736e-08,1,0,0,0,0,0,1
4,95,0.042105263157894736,186,95,1.9578947368421054,-0.9578947368421052,104,2.3444328477674764e-06,88,16,0,0,1,6,97
3,71,0.04225352112676056,139,71,1.9577464788732395,-0.9577464788732395,3,6.762787060867721e-08,0,3,0,0,0,0,3
2,47,0.0425531914893617,92,47,1.9574468085106382,-0.9574468085106383,2,4.508524707245147e-08,2,0,0,0,0,0,2
3,70,0.04285714285714286,137,70,1.957142857142857,-0.9571428571428572,1,2.2542623536225736e-08,1,0,0,0,0,0,1
4,93,0.043010752688172046,182,93,1.956989247311828,-0.956989247311828,94,2.119006612405219e-06,88,6,0,0,0,5,89
6,139,0.04316546762589928,272,139,1.9568345323741008,-0.9568345323741008,1,2.2542623536225736e-08,0,1,0,0,0,0,1
1,23,0.043478260869565216,45,23,1.9565217391304348,-0.9565217391304348,7621,0.00017179733396957634,7851,-230,0,3,50,581,6987
6,137,0.043795620437956206,268,137,1.9562043795620438,-0.9562043795620438,1,2.2542623536225736e-08,1,0,0,0,0,0,1
3,68,0.04411764705882353,133,68,1.9558823529411764,-0.9558823529411765,1,2.2542623536225736e-08,3,-2,0,0,0,0,1
2,45,0.044444444444444446,88,45,1.9555555555555555,-0.9555555555555556,9566,0.0002156427367475354,9617,-51,0,3,60,796,8707
4,89,0.0449438202247191,174,89,1.9550561797752808,-0.9550561797752809,118,2.660029577274637e-06,123,-5,0,0,0,5,113
6,133,0.045112781954887216,260,133,1.9548872180451127,-0.9548872180451128,8,1.803409882898059e-07,3,5,0,0,0,0,8
1,22,0.045454545454545456,43,22,1.9545454545454546,-0.9545454545454546,6,1.3525574121735442e-07,4,2,0,0,0,0,6
6,131,0.04580152671755725,256,131,1.9541984732824427,-0.9541984732824428,4,9.017049414490294e-08,0,4,0,0,0,0,4
4,87,0.04597701149425287,170,87,1.9540229885057472,-0.9540229885057472,205,4.621237824926276e-06,194,11,0,0,1,8,196
3,65,0.046153846153846156,127,65,1.9538461538461538,-0.9538461538461538,1,2.2542623536225736e-08,4,-3,0,0,0,0,1
2,43,0.046511627906976744,84,43,1.9534883720930232,-0.9534883720930233,8843,0.0001993444199308442,8952,-109,0,6,59,699,8079
3,64,0.046875,125,64,1.953125,-0.953125,1,2.2542623536225736e-08,3,-2,0,0,0,0,1
1,21,0.047619047619047616,41,21,1.9523809523809523,-0.9523809523809523,9555,0.00021539476788863692,9541,14,0,4,65,740,8746
6,125,0.048,244,125,1.952,-0.952,3,6.762787060867721e-08,3,0,0,0,0,0,3
4,83,0.04819277108433735,162,83,1.9518072289156627,-0.9518072289156626,207,4.666323071998727e-06,179,28,0,0,0,9,198
3,62,0.04838709677419355,121,62,1.9516129032258065,-0.9516129032258065,3,6.762787060867721e-08,3,0,0,0,0,0,3
2,41,0.04878048780487805,80,41,1.951219512195122,-0.9512195121951219,14,3.1559672950716033e-07,10,4,0,0,0,0,14
3,61,0.04918032786885246,119,61,1.9508196721311475,-0.9508196721311475,4,9.017049414490294e-08,5,-1,0,0,0,1,3
4,81,0.04938271604938271,158,81,1.9506172839506173,-0.9506172839506173,215,4.8466640602885335e-06,206,9,0,0,2,7,206
6,121,0.049586776859504134,236,121,1.9504132231404958,-0.9504132231404958,8,1.803409882898059e-07,6,2,0,0,0,0,8
1,20,0.05,39,20,1.95,-0.95,14962,0.00033728273334900945,14721,241,0,6,117,1277,13562
8,159,0.050314465408805034,310,159,1.949685534591195,-0.949685534591195,1,2.2542623536225736e-08,0,1,0,0,0,0,1
6,119,0.05042016806722689,232,119,1.949579831932773,-0.9495798319327731,9,2.0288361182603164e-07,9,0,0,0,0,0,9
3,59,0.05084745762711865,115,59,1.9491525423728813,-0.9491525423728814,9,2.0288361182603164e-07,7,2,0,0,0,0,9
2,39,0.05128205128205128,76,39,1.9487179487179487,-0.9487179487179487,11855,0.0002672428020219561,12073,-218,1,10,82,1028,10734
3,58,0.05172413793103448,113,58,1.9482758620689655,-0.9482758620689655,9,2.0288361182603164e-07,9,0,0,0,0,1,8
